epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.654,1.0064,4.93023,0.4472,0.89621,1.13792,0.93288,0.89037,0.95255,0.70752,0.80381,0.6987,0.7039,0.44783,0.92105,2.99478,0.15869,0.6177,1.02229,0.00333053,0.00333053,0.0700253
2,363.091,0.86332,2.68031,0.31912,0.60988,1.02065,0.92002,0.92092,0.95902,0.7202,0.83668,0.80001,0.77964,0.59978,0.89013,2.0625,0.11615,0.56321,1.03047,0.00664579,0.00664579,0.0400072
3,530.773,0.94302,2.73465,0.29807,0.69724,1.06229,0.90568,0.84785,0.92061,0.66329,0.79345,0.72973,0.70993,0.49179,0.99269,2.52079,0.09974,0.72822,1.07451,0.00988906,0.00988906,0.00991711
4,697.779,0.95936,2.63115,0.25992,0.71343,1.07447,0.91892,0.85648,0.93006,0.69459,0.83069,0.74403,0.73765,0.57163,0.90448,2.25,0.07322,0.67745,1.03672,0.00975773,0.00975773,0.00975773
5,865.534,0.86489,2.33906,0.2041,0.63063,1.02435,0.94598,0.93644,0.977,0.78435,0.87057,0.84334,0.8109,0.67614,0.71822,1.7016,0.04846,0.48437,0.95067,0.00957205,0.00957205,0.00957205
6,1033.26,0.80397,2.11845,0.17023,0.57836,0.99549,0.95121,0.94995,0.97778,0.79833,0.87959,0.86887,0.82741,0.70201,0.68416,1.5428,0.04129,0.46088,0.93665,0.00933683,0.00933683,0.00933683
7,1201.41,0.76948,1.9618,0.15553,0.54477,0.9759,0.94534,0.94294,0.97797,0.79566,0.89618,0.87274,0.86154,0.74227,0.7105,1.41425,0.0375,0.46186,0.94045,0.00905463,0.00905463,0.00905463
8,1369.15,0.73229,1.86041,0.14571,0.51962,0.96121,0.96948,0.97047,0.9889,0.84293,0.90999,0.88839,0.86397,0.77477,0.5873,1.28097,0.03193,0.38802,0.89466,0.00872857,0.00872857,0.00872857
9,1537.43,0.70753,1.76329,0.13789,0.49708,0.95146,0.97013,0.97526,0.99117,0.8525,0.91589,0.88889,0.87454,0.78937,0.57338,1.21663,0.02746,0.37505,0.88769,0.0083622,0.0083622,0.0083622
10,1705.33,0.67868,1.65725,0.13126,0.47414,0.93925,0.97935,0.97299,0.99201,0.86574,0.92134,0.90282,0.8795,0.80137,0.54065,1.15097,0.02527,0.3512,0.87977,0.00795954,0.00795954,0.00795954
11,1873.51,0.66325,1.60606,0.12669,0.45904,0.93414,0.98295,0.98111,0.99291,0.87843,0.92771,0.91843,0.89235,0.82337,0.51133,1.01795,0.0232,0.32867,0.86909,0.007525,0.007525,0.007525
12,2042.06,0.63602,1.5077,0.12063,0.44089,0.92105,0.98101,0.98198,0.9933,0.88251,0.93227,0.92321,0.89952,0.83237,0.49536,0.98885,0.02179,0.31908,0.86145,0.00706335,0.00706335,0.00706335
13,2210.43,0.62685,1.50146,0.1169,0.43393,0.91683,0.98546,0.98379,0.99304,0.88644,0.93527,0.93294,0.91374,0.85222,0.48241,0.88022,0.02113,0.31185,0.85901,0.00657963,0.00657963,0.00657963
14,2378.33,0.60312,1.36647,0.11159,0.41676,0.90891,0.98426,0.98649,0.99385,0.89608,0.94632,0.93694,0.91451,0.8588,0.45396,0.82941,0.01896,0.29511,0.84798,0.00607916,0.00607916,0.00607916
15,2546.33,0.58641,1.32507,0.10898,0.40277,0.90449,0.98676,0.98899,0.9939,0.90092,0.94371,0.93973,0.92638,0.87251,0.44434,0.78604,0.01807,0.28579,0.84651,0.00556742,0.00556742,0.00556742
16,2714.48,0.57182,1.29863,0.10458,0.39476,0.89793,0.98921,0.98799,0.99413,0.90488,0.94409,0.94194,0.91879,0.86634,0.43248,0.80685,0.01681,0.27951,0.84116,0.00505,0.00505,0.00505
17,2882.73,0.5558,1.2139,0.10157,0.38135,0.89358,0.99301,0.98699,0.99462,0.91017,0.94736,0.94144,0.91783,0.86838,0.42521,0.7783,0.0156,0.26864,0.84116,0.00453258,0.00453258,0.00453258
