source_asset,pallet_type,frames,exposure_share,mesh_resolved,mesh_vertices,mesh_faces,mesh_aspect,mesh_thickness,frame_aspect_min,frame_aspect_med,frame_aspect_max,frame_thick_min,frame_thick_med,frame_thick_max,luma_med,material_top
eur_pallet_bk_cc0.glb,Pallet_3,10182,0.2545,False,,,,,1.125,1.496,1.982,0.0897,0.1206,0.159,55.8,pine_warm
woodpallet_block_jtoastie_ccby.glb,Pallet_2,10099,0.2525,False,,,,,1.0,1.175,1.564,0.1173,0.1562,0.2065,55.0,rough_tan
scene_1.usd,Pallet_1,10095,0.2524,True,4539,4390,1.2031,0.1143,1.0,1.202,1.604,0.0864,0.1144,0.1514,55.4,ind_blue
scene.usd,Pallet_0,9624,0.2406,True,413451,426540,1.2,0.125,1.0,1.198,1.609,0.0956,0.1252,0.1666,55.9,ind_blue
