aspect_bin,thickness_bin,before_broad4,after_local_bank,target_cell
LOW,THIN,0,0,0
LOW,MID,0,0,0
LOW,THICK,0,1,0
MID,THIN,0,0,1
MID,MID,1,1,0
MID,THICK,0,1,0
HIGH,THIN,0,0,0
HIGH,MID,0,0,0
HIGH,THICK,0,1,0
