aspect,aspect_bin,asset_id,faces,license,origin,path,rot_inv_sha,status,thickness,thickness_bin,topology_cluster,used_in_broad,vertices
1.2,MID,scene.usd,426540,UNKNOWN — 확인 필요,project (Isaac 시절 자산),data/pallet/raw_data/models_usd/scene.usd,f6abc74f735f14ec,OK,0.125,MID,0,True,413451
1.2031,MID,scene_1.usd,4390,UNKNOWN — 확인 필요,project,data/pallet/raw_data/models_usd/scene_1.usd,d33da7517cf6a783,OK,0.1143,MID,1,True,4539
1.0055,LOW,scene_2.usd,2354,UNKNOWN — 확인 필요,project (BROAD 미사용),data/pallet/raw_data/models_usd/scene_2.usd,5bef6147f33307bb,OK,0.1815,THICK,2,False,1775
1.7118,HIGH,scene_3.usd,110478,UNKNOWN — 확인 필요,project (BROAD 미사용),data/pallet/raw_data/models_usd/scene_3.usd,06f5d4652a1cc007,OK,0.5842,THICK,3,False,172656
1.2098,MID,SM_PaletteA_01.usd,304,NVIDIA Omniverse asset EULA — 확인 필요,NVIDIA Isaac Sim 4.5 Simple_Warehouse,data/isaac/isaac_assets/Assets/Isaac/4.5/Isaac/Environments/Simple_Warehouse/Props/SM_PaletteA_01.usd,26a723eb7d763064,OK,0.174,THICK,4,False,514
1.5105,HIGH,SM_PaletteA_02.usd,292,NVIDIA Omniverse asset EULA — 확인 필요,NVIDIA Isaac Sim 4.5 Simple_Warehouse,data/isaac/isaac_assets/Assets/Isaac/4.5/Isaac/Environments/Simple_Warehouse/Props/SM_PaletteA_02.usd,5a1bde597872b154,OK,0.1715,THICK,5,False,490
