file,category,rank,frame_id,domain,filter,accepted_by_filter,corner_median_px,corner_max_px,gross_keypoints_over_20px,box_conf,s_reproj,s_remove,s_flip,image_path
figures/pseudolabel_good_accepted_01.png,good_accepted,1,plastic_day_01:005838,DAY,F4_PROPOSED,True,2.303,3.803,0,0.9793,0.00619,0.01012,0.00829,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/005838.png
figures/pseudolabel_good_accepted_02.png,good_accepted,2,plastic_day_01:014739,DAY,F4_PROPOSED,True,2.71,3.988,0,0.8669,0.00846,0.01358,0.01175,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/014739.png
figures/pseudolabel_good_accepted_03.png,good_accepted,3,plastic_day_01:013584,DAY,F4_PROPOSED,True,2.908,4.027,0,0.9622,0.00549,0.00884,0.00722,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/013584.png
figures/pseudolabel_good_accepted_04.png,good_accepted,4,plastic_day_01:008418,DAY,F4_PROPOSED,True,2.914,4.124,0,0.9724,0.00363,0.00553,0.00702,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/008418.png
figures/pseudolabel_good_accepted_05.png,good_accepted,5,plastic_day_01:012036,DAY,F4_PROPOSED,True,2.972,4.28,0,0.9793,0.00614,0.01182,0.00444,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/012036.png
figures/pseudolabel_good_accepted_06.png,good_accepted,6,plastic_day_01:007666,DAY,F4_PROPOSED,True,1.94,4.376,0,0.9769,0.00556,0.00842,0.0068,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/007666.png
figures/pseudolabel_bad_accepted_01.png,bad_accepted,1,eval_pallet07:1778652166837872128,DAY,F4_PROPOSED,True,267.929,315.686,8,0.9267,0.01686,0.02326,0.04993,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_pallet07/rgb/1778652166837872128.png
figures/pseudolabel_bad_accepted_02.png,bad_accepted,2,plastic_night_01:037376,NIGHT,F4_PROPOSED,True,234.755,294.344,8,0.9759,0.02014,0.03113,0.01631,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_night_01/rgb/037376.png
figures/pseudolabel_bad_accepted_03.png,bad_accepted,3,eval_pallet09:1778653674184865536,DAY,F4_PROPOSED,True,211.711,245.915,8,0.935,0.00826,0.01363,0.00834,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_pallet09/rgb/1778653674184865536.png
figures/pseudolabel_bad_accepted_04.png,bad_accepted,4,plastic_day_01:011067,DAY,F4_PROPOSED,True,185.909,210.614,6,0.9726,0.01011,0.01396,0.00826,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/011067.png
figures/pseudolabel_bad_accepted_05.png,bad_accepted,5,plastic_day_01:014632,DAY,F4_PROPOSED,True,105.096,116.436,6,0.9533,0.01177,0.01764,0.00668,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/014632.png
