population,set,n,exploratory,availability,corner_med,R_med,success_5cm5
REAL_DEV_OPEN_56,eval_cad,22,False,1.0,11.431,2.708,0.8182
REAL_DEV_OPEN_56,eval_noapril,12,True,1.0,3.783,1.123,0.9167
REAL_DEV_OPEN_56,eval_outside,22,False,0.7273,7.787,3.344,0.1364
REAL_CHALLENGE_DEV_105,eval_night08,17,True,0.4118,16.767,2.464,0.1765
REAL_CHALLENGE_DEV_105,eval_night09,25,False,0.56,226.865,60.678,0.04
REAL_CHALLENGE_DEV_105,eval_pallet07,27,False,1.0,15.929,3.533,0.4074
REAL_CHALLENGE_DEV_105,eval_pallet09,36,False,0.5,16.701,9.531,0.0278
