population,keypoint,group_near_far,group_top_bottom,n,err_median,err_p90,conf_median,missing_rate
REAL_DEV_OPEN_56,0,near,top,50,7.383,23.659,0.993,0.1071
REAL_DEV_OPEN_56,1,near,top,50,5.867,12.466,0.987,0.1071
REAL_DEV_OPEN_56,2,near,bottom,50,8.344,18.56,0.991,0.1071
REAL_DEV_OPEN_56,3,near,bottom,50,5.735,18.21,0.991,0.1071
REAL_DEV_OPEN_56,4,far,top,50,14.951,33.573,0.996,0.1071
REAL_DEV_OPEN_56,5,far,top,50,7.557,25.524,0.996,0.1071
REAL_DEV_OPEN_56,6,far,bottom,50,7.636,30.779,0.998,0.1071
REAL_DEV_OPEN_56,7,far,bottom,50,17.058,34.039,0.998,0.1071
REAL_CHALLENGE_DEV_105,0,near,top,66,11.579,272.563,0.969,0.3714
REAL_CHALLENGE_DEV_105,1,near,top,66,13.724,237.751,0.993,0.3714
REAL_CHALLENGE_DEV_105,2,near,bottom,66,13.634,270.98,0.992,0.3714
REAL_CHALLENGE_DEV_105,3,near,bottom,66,11.052,336.794,0.975,0.3714
REAL_CHALLENGE_DEV_105,4,far,top,66,22.683,283.121,0.992,0.3714
REAL_CHALLENGE_DEV_105,5,far,top,66,26.403,197.194,0.99,0.3714
REAL_CHALLENGE_DEV_105,6,far,bottom,66,30.126,196.198,0.993,0.3714
REAL_CHALLENGE_DEV_105,7,far,bottom,66,25.686,305.469,0.994,0.3714
