asset_id,source_asset,topology,mesh_local,rz180_geometry_p95,control_2deg_p95,ratio,geometry_equivalent,appearance_evidence,appearance_equivalent,task_equivalent,role_symmetry_class
Pallet_0,scene.usd,industrial_plastic,data/pallet/raw_data/models_usd/scene.usd,0.002734,0.025796,0.11,True,mesh 7 · GeomSubset 0 · UV 보유 0 · bound material 1종. 렌더 재질은 flat color(black/ind_red/graphite/ind_blue/ind_green/mid_gray).,True,n_openings=2 (양쪽 면). 180도 회전 시 포크 삽입 기하 동일 [추정],SYM180_EQUIVALENT
Pallet_1,scene_1.usd,industrial_plastic,data/pallet/raw_data/models_usd/scene_1.usd,0.000861,0.038552,0.02,True,mesh 1 · GeomSubset 0 · bound material 1종(blinn1). flat color.,True,n_openings=2. 동일 [추정],SYM180_EQUIVALENT
Pallet_2,woodpallet_block_jtoastie_ccby.glb,wood_block,,,,,,파일이 이 머신에 없다(렌더는 Windows). 재질은 wood 계열 11종 (pine_warm/dark_knot/weathered_brown/...) — 목재 텍스처가 비대칭일 수 있으나 확인 불가.,,,UNRESOLVED
Pallet_3,eur_pallet_bk_cc0.glb,eur_block,,,,,,파일 없음. wood 재질 11종. EUR 팔레트는 통상 블록 배치가 대칭이지만 각인/라벨이 한쪽에만 있을 수 있다 — 확인 불가.,,,UNRESOLVED
