run,n_val,projective_median,projective_p90,projective_p99,corner_median,corner_p90
A0,129,0.01349835096108655,0.04218070618804882,0.09252352862873274,0.03913732948895597,0.20166376055325969
A2,130,0.17599226358814385,0.28558548222535723,0.3403014729889692,0.2599039858529557,0.7071164067239261
