arm,architecture,seed,selected_source_only,synth_test_accuracy,synth_test_balanced_accuracy,synth_test_auroc,plastic_model_comparison_population,plastic_common128_accuracy,plastic_dev140_diagnostic_accuracy,plastic_night_accuracy,wood_all_accuracy
B0_DIMS_ONLY,LINEAR,0,False,0.4842991579990094,0.4997616143043204,0.5040498066001505,COMMON_DEV_PLASTIC_POS128,0.4296875,0.42142857142857143,0.7142857142857143,0.6222222222222222
B0_DIMS_ONLY,LINEAR,1,False,0.5149083704804358,0.5008621959772046,0.48957811526984635,COMMON_DEV_PLASTIC_POS128,0.5546875,0.5642857142857143,0.2857142857142857,0.6222222222222222
B0_DIMS_ONLY,LINEAR,2,False,0.4895492818226845,0.5007316584454542,0.5067614512551837,COMMON_DEV_PLASTIC_POS128,0.4296875,0.42142857142857143,0.7142857142857143,0.6222222222222222
B0_DIMS_ONLY,MLP,0,False,0.4847944526993561,0.49988920516492513,0.5085349936843016,COMMON_DEV_PLASTIC_POS128,0.4296875,0.42142857142857143,0.7142857142857143,0.6222222222222222
B0_DIMS_ONLY,MLP,1,False,0.5019316493313521,0.4943176393628118,0.49920972244322254,COMMON_DEV_PLASTIC_POS128,0.5546875,0.5642857142857143,0.2857142857142857,0.6222222222222222
B0_DIMS_ONLY,MLP,2,True,0.4996532937097573,0.4923804977516899,0.49180369669717455,COMMON_DEV_PLASTIC_POS128,0.5546875,0.5642857142857143,0.2857142857142857,0.6222222222222222
B1_KP_ONLY,LINEAR,0,False,0.796830113917781,0.8007564104830773,0.8904244581562875,COMMON_DEV_PLASTIC_POS128,0.5,0.4928571428571429,0.8928571428571429,0.8666666666666667
B1_KP_ONLY,LINEAR,1,False,0.7949479940564635,0.7988631742720249,0.8902968280067342,COMMON_DEV_PLASTIC_POS128,0.53125,0.5214285714285715,0.8928571428571429,0.8888888888888888
B1_KP_ONLY,LINEAR,2,False,0.7961367013372956,0.8001891762875479,0.8930327335875329,COMMON_DEV_PLASTIC_POS128,0.5234375,0.5142857142857142,0.8928571428571429,0.8888888888888888
B1_KP_ONLY,MLP,0,False,0.8080237741456167,0.8118403139972772,0.9139373419847598,COMMON_DEV_PLASTIC_POS128,0.5234375,0.5214285714285715,0.9285714285714286,0.8444444444444444
B1_KP_ONLY,MLP,1,True,0.8094105993065874,0.8132841828586246,0.916572039233944,COMMON_DEV_PLASTIC_POS128,0.5390625,0.5285714285714286,0.9285714285714286,0.8444444444444444
B1_KP_ONLY,MLP,2,False,0.8063397721644379,0.8105785494127284,0.9199305764278095,COMMON_DEV_PLASTIC_POS128,0.546875,0.5357142857142857,0.9285714285714286,0.8666666666666667
B2_IMAGE_KP,LINEAR,0,False,0.7979197622585439,0.8020111030568766,0.8938823571011828,COMMON_DEV_PLASTIC_POS128,0.5390625,0.5357142857142857,0.8214285714285714,0.9111111111111111
B2_IMAGE_KP,LINEAR,1,False,0.795938583457157,0.8000032413382602,0.8942024834544415,COMMON_DEV_PLASTIC_POS128,0.546875,0.5428571428571428,0.8571428571428571,0.9111111111111111
B2_IMAGE_KP,LINEAR,2,False,0.7955423476968796,0.7997798836654232,0.8940538926508057,COMMON_DEV_PLASTIC_POS128,0.5625,0.5571428571428572,0.8214285714285714,0.9111111111111111
B2_IMAGE_KP,MLP,0,True,0.8112927191679049,0.8148247025335478,0.913790813850926,COMMON_DEV_PLASTIC_POS128,0.515625,0.5142857142857142,0.8214285714285714,0.9111111111111111
B2_IMAGE_KP,MLP,1,False,0.817434373452204,0.8207495742060195,0.9152872316810367,COMMON_DEV_PLASTIC_POS128,0.484375,0.4785714285714286,0.7857142857142857,0.8888888888888888
B2_IMAGE_KP,MLP,2,False,0.8119861317483903,0.8155837650206561,0.9147570076750962,COMMON_DEV_PLASTIC_POS128,0.4765625,0.4785714285714286,0.7857142857142857,0.9111111111111111
B3_IMAGE_KP_DIMS,LINEAR,0,False,0.8221892025755324,0.8238320868914387,0.8948868772947202,COMMON_DEV_PLASTIC_POS128,0.5703125,0.5642857142857143,0.6428571428571429,0.9333333333333333
B3_IMAGE_KP_DIMS,LINEAR,1,False,0.8210995542347697,0.8230476830324782,0.8939584205056881,COMMON_DEV_PLASTIC_POS128,0.5546875,0.55,0.6785714285714286,0.9333333333333333
B3_IMAGE_KP_DIMS,LINEAR,2,False,0.8193164933135215,0.8212195682537438,0.8941089168233314,COMMON_DEV_PLASTIC_POS128,0.5703125,0.5642857142857143,0.6785714285714286,0.9333333333333333
B3_IMAGE_KP_DIMS,MLP,0,False,0.8512134720158494,0.8519781003400458,0.9376438613964471,COMMON_DEV_PLASTIC_POS128,0.609375,0.6142857142857143,0.42857142857142855,0.6
B3_IMAGE_KP_DIMS,MLP,1,False,0.8492322932144626,0.8502425110352835,0.9342626741237091,COMMON_DEV_PLASTIC_POS128,0.59375,0.5928571428571429,0.4642857142857143,0.9111111111111111
B3_IMAGE_KP_DIMS,MLP,2,True,0.8546805349182763,0.8546410070543307,0.936929136487843,COMMON_DEV_PLASTIC_POS128,0.6015625,0.6071428571428571,0.39285714285714285,0.8888888888888888
