epoch,criterion,identity,rot90,rot180,rot270
0,one2many,8125,210,0,80
0,one2one,814,22,0,8
1,one2many,8478,340,0,70
1,one2one,852,32,0,6
0,one2many,8335,60,0,20
0,one2one,836,6,0,2
1,one2many,8728,140,0,20
1,one2one,871,15,0,4
2,one2many,8418,110,0,20
2,one2one,841,11,0,3
3,one2many,8468,40,0,30
3,one2one,847,5,0,3
4,one2many,8628,30,0,70
4,one2one,865,3,0,6
5,one2many,8248,60,0,100
5,one2one,825,6,0,11
6,one2many,8102,128,0,230
6,one2one,810,14,0,23
7,one2many,8098,50,0,200
7,one2one,810,6,0,20
8,one2many,8286,50,0,350
8,one2one,828,5,0,37
9,one2many,8336,80,0,170
9,one2one,836,9,0,16
10,one2many,8312,70,0,220
10,one2one,833,7,0,22
11,one2many,8333,60,0,320
11,one2one,833,6,0,33
12,one2many,8102,180,0,200
12,one2one,809,18,0,23
13,one2many,7702,370,0,190
13,one2one,770,38,0,19
14,one2many,8113,650,0,70
14,one2one,813,67,0,5
15,one2many,7661,770,0,70
15,one2one,767,76,0,8
16,one2many,8085,620,0,110
16,one2one,809,63,0,10
17,one2many,7959,690,0,130
17,one2one,794,71,0,13
18,one2many,7757,870,0,100
18,one2one,778,86,0,9
19,one2many,7583,890,0,0
19,one2one,757,90,0,1
20,one2many,7874,820,0,10
20,one2one,789,81,0,1
21,one2many,7935,906,0,16
21,one2one,796,91,0,1
22,one2many,7657,677,0,70
22,one2one,771,67,0,4
23,one2many,7817,380,0,360
23,one2one,781,38,0,37
24,one2many,7512,480,0,420
24,one2one,753,48,0,41
25,one2many,7363,600,0,307
25,one2one,738,60,0,30
26,one2many,7724,680,0,170
26,one2one,774,66,0,18
27,one2many,7511,858,0,20
27,one2one,755,85,0,1
28,one2many,8081,680,0,30
28,one2one,813,66,0,2
29,one2many,7722,890,0,40
29,one2one,773,89,0,4
30,one2many,7750,850,0,30
30,one2one,782,83,0,0
31,one2many,7972,740,0,60
31,one2one,800,73,0,6
32,one2many,8062,670,0,160
32,one2one,807,67,0,16
33,one2many,7286,940,0,30
33,one2one,730,93,0,4
34,one2many,7787,960,0,97
34,one2one,778,96,0,12
35,one2many,7575,990,0,70
35,one2one,759,99,0,6
36,one2many,7611,990,0,10
36,one2one,763,99,0,1
37,one2many,7427,1020,0,39
37,one2one,744,101,0,4
38,one2many,7553,970,0,50
38,one2one,756,97,0,6
39,one2many,7683,959,0,80
39,one2one,771,96,0,7
40,one2many,7447,980,0,80
40,one2one,746,98,0,8
41,one2many,7408,1090,0,40
41,one2one,741,109,0,4
42,one2many,7572,990,0,52
42,one2one,759,99,0,6
43,one2many,7648,1090,0,29
43,one2one,766,109,0,4
44,one2many,7366,1080,0,30
44,one2one,737,108,0,3
45,one2many,7386,1030,0,40
45,one2one,740,103,0,4
46,one2many,7420,1130,0,30
46,one2one,745,113,0,3
47,one2many,7402,1200,0,40
47,one2one,740,121,0,4
48,one2many,7616,999,0,20
48,one2one,763,100,0,2
49,one2many,7337,1090,0,60
49,one2one,735,109,0,6
50,one2many,7403,1110,0,30
50,one2one,740,112,0,3
51,one2many,7377,1150,0,10
51,one2one,738,116,0,1
52,one2many,7357,1080,0,10
52,one2one,737,109,0,1
53,one2many,7303,1030,0,30
53,one2one,731,103,0,3
54,one2many,7746,860,0,147
54,one2one,776,86,1,15
55,one2many,7792,890,0,70
55,one2one,781,88,0,7
56,one2many,7905,970,0,30
56,one2one,793,96,0,3
57,one2many,7420,1110,0,47
57,one2one,744,111,0,4
58,one2many,7308,1110,0,20
58,one2one,733,111,0,2
59,one2many,7542,1050,0,49
59,one2one,756,105,0,5
60,one2many,7365,1060,0,50
60,one2one,737,106,0,5
61,one2many,7269,1060,0,70
