arm,seed,eta,frame_id,evaluable,E_sym,E_fixed,frame_mean_px,fixed_frame_mean_px,branch,n_corners,center_error_px,rescue,true_collapse
B0_P,1,0,TEX__shard_03_f0886,True,0.0017469280580990562,0.0017469280580990562,1.5116732851254917,1.5116732851254917,0,8,1.0423466445262781,False,False
B0_P,1,0,TEX__shard_06_f0123,True,0.0011789420603244276,0.0011789420603244276,0.9431536482595422,0.9431536482595422,0,8,0.5507310210274601,False,False
B0_P,1,0,G38__G__f15878,True,0.001333244622410382,0.001333244622410382,1.153699643720942,1.153699643720942,0,8,1.2455027524784403,False,False
B0_P,1,0,G38__G__f23773,True,0.002306332978486624,0.002306332978486624,2.5403187274527235,2.5403187274527235,0,8,0.3571072729625691,False,False
B0_P,1,0,P0__shard_06_f0228,True,0.0012453870262480985,0.0012453870262480985,0.9963096209984788,0.9963096209984788,0,8,1.18286971531303,False,False
B0_P,1,0,P0__shard_07_f0807,True,0.0037600606874777817,0.0037600606874777817,4.14153232419469,4.14153232419469,0,8,2.528941183957609,False,False
B0_P,1,0,P0__shard_00_f0066,True,0.002788522399613859,0.002788522399613859,3.071427994022233,3.071427994022233,0,8,2.796101507322381,False,False
B0_P,1,0,G38__G__f35828,True,0.004497359455192669,0.004497359455192669,3.5978875641541355,3.5978875641541355,0,8,2.7899028250827906,False,False
B0_P,1,0,TEX__shard_05_f0613,True,0.0021657353024587592,0.0021657353024587592,2.385456913143378,2.385456913143378,0,8,2.7257796596013364,False,False
B0_P,1,0,G38__G__f19284,True,0.003476203955300663,0.003476203955300663,3.8288773089001378,3.8288773089001378,0,6,7.18086990255122,False,False
B0_P,1,0,P0__shard_00_f0296,True,0.0015177788230931238,0.0015177788230931238,1.214223058474499,1.214223058474499,0,8,0.5237292078655365,False,False
B0_P,1,0,G38__G__f6313,True,0.005008714563322682,0.005008714563322682,5.516866612219582,5.516866612219582,0,8,2.6551948101692266,False,False
B0_P,1,0,G38__G__f0717,True,0.0072711716439193014,0.0072711716439193014,6.291979726764199,6.291979726764199,0,8,4.722784608267131,False,False
B0_P,1,0,P0__shard_04_f0738,True,0.0017481419614415988,0.0017481419614415988,1.9254972305907152,1.9254972305907152,0,8,1.7798670993085985,False,False
B0_P,1,0,G38__G__f5154,True,0.004237048086661585,0.004237048086661585,3.6664545919355844,3.6664545919355844,0,8,1.3242554055387652,False,False
B0_P,1,0,G38__G__f1423,True,0.002146681068193586,0.002146681068193586,2.3644695585017885,2.3644695585017885,0,8,1.0077726677303356,False,False
B0_P,1,0,G38__G__f0622,True,0.004041974553995607,0.004041974553995607,3.233579643196485,3.233579643196485,0,8,2.2716872379221,False,False
B0_P,1,0,TEX__shard_05_f1228,True,0.002088834964220952,0.002088834964220952,1.8075363766753512,1.8075363766753512,0,8,1.0881720238416368,False,False
B0_P,1,0,G38__G__f25107,True,0.0026565220108563346,0.0026565220108563346,2.125217608685068,2.125217608685068,0,8,1.5195284137394443,False,False
B0_P,1,0,TEX__shard_01_f0396,True,0.0014350556236686501,0.0014350556236686501,1.1365060704211118,1.1365060704211118,0,8,0.20471364955615703,False,False
B0_P,1,0,TEX__shard_06_f0180,True,0.0048127251004844405,0.0048127251004844405,3.8114838210839674,3.8114838210839674,0,8,2.5653987021555165,False,False
B0_P,1,0,TEX__shard_06_f0157,True,0.00467794484394854,0.00467794484394854,3.7423558751588324,3.7423558751588324,0,8,4.188794231858295,False,False
B0_P,1,0,TEX__shard_06_f0310,True,0.0015958287793235535,0.0015958287793235535,1.7577313300977688,1.7577313300977688,0,8,2.182896973020032,False,False
B0_P,1,0,G38__G__f4537,True,0.0020738704074201963,0.0020738704074201963,1.659096325936157,1.659096325936157,0,8,3.3183038991692833,False,False
B0_P,1,0,TEX__shard_02_f1010,True,0.0009982849628401096,0.0009982849628401096,0.7986279702720878,0.7986279702720878,0,8,0.8511699248736028,False,False
