arm,eta,seed,frames,annotated_corners,primary_E_sym,E_fixed,pooled_point_median_px,pooled_point_P90_px,frame_mean_median_px,frame_mean_P90_px,gross20_point_rate,true_collapse_frames,rescue_frames,center_median_px
B1_ONE_AMBIG,0,1,255,2016,0.006069614694643112,0.006069614694643112,1.726298290897827,6.460859588372642,2.0796865494652965,6.1024835172290475,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0,2,255,2016,0.00609583573947108,0.00609583573947108,1.7770736428495253,6.7178136113291895,2.0450956136465437,6.170277288418653,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0,3,255,2016,0.0060476959709732875,0.0060476959709732875,1.706357552341663,6.460858628671134,2.0205475093914207,6.004367345277049,0.028273809523809524,6,0,1.237094345318566
B1_ONE_AMBIG,0.125,1,255,2016,0.006068450093067082,0.006068450093067082,1.724788236379522,6.465290690950985,2.0782708544880224,6.084637549149815,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0.125,2,255,2016,0.006093572855127043,0.006093572855127043,1.7765608834735653,6.709390988460757,2.0426709098424025,6.13446836649677,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0.125,3,255,2016,0.006046558989297786,0.006046558989297786,1.7036565677811528,6.461399210917614,2.029472705645514,6.012732678849108,0.028273809523809524,6,0,1.237094345318566
B1_ONE_AMBIG,0.25,1,255,2016,0.006067534365087005,0.006067534365087005,1.7270352483412474,6.467182731196349,2.0790421510172856,6.070161192731482,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0.25,2,255,2016,0.0060917771001047704,0.0060917771001047704,1.775378127115923,6.690881139365384,2.0449989560548776,6.102773579224574,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0.25,3,255,2016,0.006045639480521645,0.006045639480521645,1.6999593116955798,6.461879189773304,2.039752640639694,6.0203443598111415,0.028273809523809524,6,0,1.237094345318566
B1_ONE_AMBIG,0.5,1,255,2016,0.00606632806672736,0.00606632806672736,1.7274407170513153,6.442667112092672,2.088726482306904,6.04751647690417,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0.5,2,255,2016,0.00608919025622768,0.00608919025622768,1.7747416815459636,6.669441711152097,2.0468859375322204,6.049321054393091,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,0.5,3,255,2016,0.0060443437406850035,0.0060443437406850035,1.7010258587021951,6.505723213029844,2.0584604986040436,6.03361742764041,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,1.0,1,255,2016,0.0060657921047690576,0.0060657921047690576,1.7286324868497855,6.433823906694965,2.094232113019575,5.992056939495288,0.027281746031746032,6,0,1.237094345318566
B1_ONE_AMBIG,1.0,2,255,2016,0.006086648739183131,0.006086648739183131,1.7729141087269005,6.5994652093201776,2.0398708221842985,5.974238526142579,0.027777777777777776,6,0,1.237094345318566
B1_ONE_AMBIG,1.0,3,255,2016,0.006043345108801923,0.006043345108801923,1.7044905233650365,6.453888630109499,2.050787394831502,5.974270863783542,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0,1,255,2016,0.006069614694643112,0.006069614694643112,1.726298290897827,6.460859588372642,2.0796865494652965,6.1024835172290475,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0,2,255,2016,0.00609583573947108,0.00609583573947108,1.7770736428495253,6.7178136113291895,2.0450956136465437,6.170277288418653,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0,3,255,2016,0.0060476959709732875,0.0060476959709732875,1.706357552341663,6.460858628671134,2.0205475093914207,6.004367345277049,0.028273809523809524,6,0,1.237094345318566
