frame_id,edge,a,b,role_3D,source,asset,symmetry_order,available,GT_evaluable,ambiguity,ambiguity_bin,concentration,physical_visibility,GT_alignment,projected_length_px,length_bin,MAP_endpoint_distance_px,posterior_expected_endpoint_distance_px,MAP_angle_deg,R0_connected_endpoint_distance_px,P1_connected_endpoint_distance_px
TEX__shard_03_f0886,0,0,1,width_axis_X,TEX,scene.usd,2,True,True,0.41029760241508484,1,0.5897023677825928,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",308.6959533691406,4,1.3178329467773438,4.654492378234863,0.03956468264845247,0.5726670373908227,0.7663199767113189
TEX__shard_03_f0886,1,1,2,height_axis_Y,TEX,scene.usd,2,True,True,0.38151296973228455,1,0.6184870004653931,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",31.568233489990234,2,2.40899658203125,9.466894149780273,2.347353709596467,0.7664633040800128,1.5949209451492945
TEX__shard_03_f0886,2,2,3,width_axis_X,TEX,scene.usd,2,True,True,0.3693213164806366,1,0.630678653717041,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",303.7421569824219,4,0.7636795043945312,3.998037815093994,0.2873554014890053,0.48835246354520434,0.9496377415502368
TEX__shard_03_f0886,3,3,0,height_axis_Y,TEX,scene.usd,2,True,True,0.3612138628959656,1,0.6387861371040344,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",28.093769073486328,2,2.239116668701172,7.841004848480225,9.17228305852068,0.8673711142686826,1.0815081482725444
TEX__shard_03_f0886,4,4,5,width_axis_X,TEX,scene.usd,2,True,True,0.3809196650981903,1,0.6190803050994873,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",217.81289672851562,4,0.32029199600219727,3.2764337062835693,0.16785878907325083,0.43733055985171204,0.4655277924016622
TEX__shard_03_f0886,5,5,6,height_axis_Y,TEX,scene.usd,2,True,True,0.3624924123287201,1,0.6375075578689575,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",21.760068893432617,2,1.2249755859375,9.790529251098633,2.9211440005533937,0.5139177738540964,0.8168263673676877
TEX__shard_03_f0886,6,6,7,width_axis_X,TEX,scene.usd,2,True,True,0.5026937127113342,2,0.49730628728866577,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",215.26348876953125,4,7.513547420501709,7.342644691467285,0.6388841095865458,0.5139280303005898,1.9961339215134655
TEX__shard_03_f0886,7,7,4,height_axis_Y,TEX,scene.usd,2,True,True,0.40110594034194946,1,0.5988940596580505,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",19.877351760864258,2,1.2051849365234375,10.636119842529297,0.5166201495491078,0.4109887513600397,0.25657482193141845
TEX__shard_03_f0886,8,0,4,depth_axis_Z,TEX,scene.usd,2,True,True,0.32831379771232605,1,0.6716861724853516,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",165.01194763183594,4,2.5871963500976562,4.0573225021362305,1.7968939843546872,0.5513226991217973,0.41793173305439235
TEX__shard_03_f0886,9,1,5,depth_axis_Z,TEX,scene.usd,2,True,True,0.38509562611579895,1,0.6149044036865234,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",94.04151916503906,4,4.3215484619140625,8.369762420654297,5.27336312104018,0.18108830213814298,0.6256755836830963
