epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,1995.56,0.79469,1.36992,0.19866,0.42153,0.00676,0.89672,0.99302,0.96748,0.99436,0.8819,0.95382,0.92683,0.94263,0.8854,0.5466,0.80004,0.06813,0.2197,0.00524,0,0.00657963,0.00657963,0.00657963
26,2075.23,0.80534,1.364,0.20176,0.42552,0.00684,0.809,0.99012,0.97561,0.99386,0.88016,0.94024,0.94309,0.92919,0.87633,0.51949,0.74431,0.0625,0.2258,0.00487,0,0.00633115,0.00633115,0.00633115
27,2154.58,0.78246,1.35619,0.18571,0.39635,0.00666,0.74854,0.99158,0.95789,0.99156,0.88451,0.92384,0.88764,0.88841,0.84676,0.52888,0.96458,0.05883,0.23833,0.00471,0,0.00607916,0.00607916,0.00607916
28,2234.08,0.77755,1.24049,0.17967,0.39387,0.00656,0.61488,0.96809,0.98647,0.99412,0.89389,0.97487,0.94613,0.97683,0.91684,0.51252,0.50224,0.05208,0.18165,0.00459,0,0.00582435,0.00582435,0.00582435
29,2312.99,0.77943,1.27487,0.17538,0.39269,0.00649,0.59152,0.97594,0.98942,0.99343,0.89572,0.93529,0.94015,0.94255,0.90873,0.50416,0.67965,0.04994,0.195,0.00449,0,0.00556742,0.00556742,0.00556742
30,2391.97,0.76982,1.24733,0.17251,0.38748,0.00651,0.53636,0.98948,0.96748,0.99202,0.89909,0.93099,0.91057,0.91618,0.87499,0.48083,0.85164,0.04693,0.21363,0.00457,0,0.00530906,0.00530906,0.00530906
31,2471.23,0.74682,1.17862,0.16488,0.3811,0.00627,0.40249,0.9767,0.99187,0.99452,0.89824,0.92847,0.94309,0.93495,0.88798,0.4914,0.7852,0.04451,0.18205,0.00433,0,0.00505,0.00505,0.00505
32,2550.7,0.76358,1.18823,0.16149,0.39799,0.00644,0.42078,0.99172,0.97383,0.99361,0.89749,0.94205,0.92521,0.92903,0.87735,0.49386,0.79827,0.04123,0.19333,0.00448,0,0.00479094,0.00479094,0.00479094
33,2629.93,0.75253,1.23882,0.1517,0.37918,0.00629,0.46211,0.99614,0.99187,0.995,0.88972,0.96636,0.93413,0.9247,0.88043,0.49367,0.73025,0.0352,0.19504,0.00444,0,0.00453258,0.00453258,0.00453258
34,2709.65,0.74288,1.11008,0.14906,0.36971,0.00624,0.29507,1,0.99015,0.995,0.91098,0.95899,0.95054,0.93546,0.89025,0.46666,0.71951,0.03189,0.18028,0.00411,0,0.00427565,0.00427565,0.00427565
35,2788.92,0.71382,1.10858,0.14145,0.35385,0.00597,0.276,0.99893,0.97561,0.99281,0.90484,0.957,0.93496,0.94399,0.90614,0.46468,0.65766,0.03361,0.2349,0.00401,0,0.00402084,0.00402084,0.00402084
36,2868.38,0.71129,1.08139,0.13905,0.33631,0.00595,0.23118,0.9917,0.97086,0.99405,0.90679,0.94189,0.92244,0.92139,0.8782,0.44723,0.79475,0.0271,0.20353,0.00404,0,0.00376885,0.00376885,0.00376885
37,2947.48,0.70965,1.05668,0.13245,0.34316,0.00596,0.19033,0.97554,1,0.99388,0.90689,0.92816,0.94533,0.93637,0.90094,0.45101,0.61923,0.0261,0.1737,0.00398,0,0.00352037,0.00352037,0.00352037
38,3026.63,0.69548,1.02813,0.13269,0.3461,0.00574,0.20056,0.99186,0.99079,0.99492,0.91358,0.96745,0.96648,0.95245,0.92252,0.43644,0.49768,0.02143,0.16194,0.00376,0,0.00327608,0.00327608,0.00327608
39,3105.93,0.67766,0.99264,0.1303,0.33248,0.00567,0.14897,0.9932,0.96748,0.9942,0.91749,0.92564,0.91088,0.91043,0.87293,0.42721,0.81529,0.02254,0.18681,0.00374,0,0.00303665,0.00303665,0.00303665
40,3184.94,0.6712,0.95986,0.12091,0.33297,0.00549,0.09526,0.98821,0.99187,0.99484,0.9109,0.95558,0.95935,0.94281,0.90991,0.42749,0.58851,0.0185,0.1546,0.00375,0,0.00280275,0.00280275,0.00280275
41,3264.06,0.64463,0.92279,0.11302,0.31141,0.00533,0.07899,0.98264,0.99187,0.99476,0.91622,0.94237,0.95122,0.93468,0.90193,0.42902,0.67878,0.01611,0.15201,0.0038,0,0.002575,0.002575,0.002575
42,3343.36,0.64947,0.90031,0.11452,0.31741,0.00534,0.04773,0.99173,0.97471,0.99451,0.91584,0.95864,0.94228,0.9384,0.91599,0.40999,0.58677,0.01363,0.16319,0.00347,0,0.00235404,0.00235404,0.00235404
