center_frame_id,source_recording,center_rgb,neighbor_rgb_paths,gt_annotation_path,lighting,manual_gt_status,paper_eval_recording_overlap,eligible,exclusion_reason
capture0403noapril_manual_gt__1775201411535812864,,,,legacy_unverified/annotations/capture0403noapril_manual_gt/1775201411535812864.json,unknown,eval_canonical_legacy,,False,not resolvable to a raw recording by sha256
capture0403noapril_manual_gt__1775201432466607872,,,,legacy_unverified/annotations/capture0403noapril_manual_gt/1775201432466607872.json,unknown,eval_canonical_legacy,,False,not resolvable to a raw recording by sha256
capture0403noapril_manual_gt__1775201436599073280,,,,legacy_unverified/annotations/capture0403noapril_manual_gt/1775201436599073280.json,unknown,eval_canonical_legacy,,False,not resolvable to a raw recording by sha256
capture0403noapril_manual_gt__1775201439118590208,,,,legacy_unverified/annotations/capture0403noapril_manual_gt/1775201439118590208.json,unknown,eval_canonical_legacy,,False,not resolvable to a raw recording by sha256
capture0403noapril_manual_gt__1775201442780546816,,,,legacy_unverified/annotations/capture0403noapril_manual_gt/1775201442780546816.json,unknown,eval_canonical_legacy,,False,not resolvable to a raw recording by sha256
capture0403noapril_manual_gt__1775201447585014272,,,,legacy_unverified/annotations/capture0403noapril_manual_gt/1775201447585014272.json,unknown,eval_canonical_legacy,,False,not resolvable to a raw recording by sha256
capturenight01_manual_gt__1779448594529620736,capturenight01,data/pallet/raw_data/night/capturenight01/rgb/1779448594529620736.png,data/pallet/raw_data/night/capturenight01/rgb/1779448594362865920.png|data/pallet/raw_data/night/capturenight01/rgb/1779448594429682432.png|data/pallet/raw_data/night/capturenight01/rgb/1779448594496090112.png|data/pallet/raw_data/night/capturenight01/rgb/1779448594596243968.png|data/pallet/raw_data/night/capturenight01/rgb/1779448594696480512.png|data/pallet/raw_data/night/capturenight01/rgb/1779448594763062784.png,legacy_unverified/annotations/capturenight01_manual_gt/1779448594529620736.json,night,manual_gt_legacy,False,True,
capturenight01_manual_gt__1779448595563677184,capturenight01,data/pallet/raw_data/night/capturenight01/rgb/1779448595563677184.png,data/pallet/raw_data/night/capturenight01/rgb/1779448595363560192.png|data/pallet/raw_data/night/capturenight01/rgb/1779448595430359552.png|data/pallet/raw_data/night/capturenight01/rgb/1779448595496928768.png|data/pallet/raw_data/night/capturenight01/rgb/1779448595630339584.png|data/pallet/raw_data/night/capturenight01/rgb/1779448595697107968.png|data/pallet/raw_data/night/capturenight01/rgb/1779448595763907328.png,legacy_unverified/annotations/capturenight01_manual_gt/1779448595563677184.json,night,manual_gt_legacy,False,True,
capturenight01_manual_gt__1779448629320837120,capturenight01,data/pallet/raw_data/night/capturenight01/rgb/1779448629320837120.png,data/pallet/raw_data/night/capturenight01/rgb/1779448629120540928.png|data/pallet/raw_data/night/capturenight01/rgb/1779448629187286528.png|data/pallet/raw_data/night/capturenight01/rgb/1779448629254136064.png|data/pallet/raw_data/night/capturenight01/rgb/1779448629387562496.png|data/pallet/raw_data/night/capturenight01/rgb/1779448629454208000.png|data/pallet/raw_data/night/capturenight01/rgb/1779448629520870912.png,legacy_unverified/annotations/capturenight01_manual_gt/1779448629320837120.json,night,manual_gt_legacy,False,True,
capturenight01_manual_gt__1779448633156790272,capturenight01,data/pallet/raw_data/night/capturenight01/rgb/1779448633156790272.png,data/pallet/raw_data/night/capturenight01/rgb/1779448632989814784.png|data/pallet/raw_data/night/capturenight01/rgb/1779448633023272704.png|data/pallet/raw_data/night/capturenight01/rgb/1779448633089942528.png|data/pallet/raw_data/night/capturenight01/rgb/1779448633223493888.png|data/pallet/raw_data/night/capturenight01/rgb/1779448633357269760.png|data/pallet/raw_data/night/capturenight01/rgb/1779448633523823872.png,legacy_unverified/annotations/capturenight01_manual_gt/1779448633156790272.json,night,manual_gt_legacy,False,True,
capturenight01_manual_gt__1779448641529222400,capturenight01,data/pallet/raw_data/night/capturenight01/rgb/1779448641529222400.png,data/pallet/raw_data/night/capturenight01/rgb/1779448641262454784.png|data/pallet/raw_data/night/capturenight01/rgb/1779448641362481664.png|data/pallet/raw_data/night/capturenight01/rgb/1779448641429341184.png|data/pallet/raw_data/night/capturenight01/rgb/1779448641595984384.png|data/pallet/raw_data/night/capturenight01/rgb/1779448641662792704.png|data/pallet/raw_data/night/capturenight01/rgb/1779448641729363200.png,legacy_unverified/annotations/capturenight01_manual_gt/1779448641529222400.json,night,manual_gt_legacy,False,True,
capturenight01_manual_gt__1779448648033896448,capturenight01,data/pallet/raw_data/night/capturenight01/rgb/1779448648033896448.png,data/pallet/raw_data/night/capturenight01/rgb/1779448647700675072.png|data/pallet/raw_data/night/capturenight01/rgb/1779448647867429632.png|data/pallet/raw_data/night/capturenight01/rgb/1779448647967085568.png|data/pallet/raw_data/night/capturenight01/rgb/1779448648100537088.png|data/pallet/raw_data/night/capturenight01/rgb/1779448648167545088.png|data/pallet/raw_data/night/capturenight01/rgb/1779448648300974336.png,legacy_unverified/annotations/capturenight01_manual_gt/1779448648033896448.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448698918811392,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448698918811392.png,data/pallet/raw_data/night/capturenight02/rgb/1779448698718573568.png|data/pallet/raw_data/night/capturenight02/rgb/1779448698785272576.png|data/pallet/raw_data/night/capturenight02/rgb/1779448698851957504.png|data/pallet/raw_data/night/capturenight02/rgb/1779448699085966592.png|data/pallet/raw_data/night/capturenight02/rgb/1779448699185996288.png|data/pallet/raw_data/night/capturenight02/rgb/1779448699252475136.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448698918811392.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448711360824320,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448711360824320.png,data/pallet/raw_data/night/capturenight02/rgb/1779448711160638976.png|data/pallet/raw_data/night/capturenight02/rgb/1779448711193948672.png|data/pallet/raw_data/night/capturenight02/rgb/1779448711260653824.png|data/pallet/raw_data/night/capturenight02/rgb/1779448711528033280.png|data/pallet/raw_data/night/capturenight02/rgb/1779448711661340672.png|data/pallet/raw_data/night/capturenight02/rgb/1779448711694266112.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448711360824320.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448712694970368,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448712694970368.png,data/pallet/raw_data/night/capturenight02/rgb/1779448712461873152.png|data/pallet/raw_data/night/capturenight02/rgb/1779448712561763584.png|data/pallet/raw_data/night/capturenight02/rgb/1779448712628238592.png|data/pallet/raw_data/night/capturenight02/rgb/1779448712761760512.png|data/pallet/raw_data/night/capturenight02/rgb/1779448712828503808.png|data/pallet/raw_data/night/capturenight02/rgb/1779448712895164416.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448712694970368.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448713863113472,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448713863113472.png,data/pallet/raw_data/night/capturenight02/rgb/1779448713629245440.png|data/pallet/raw_data/night/capturenight02/rgb/1779448713695645440.png|data/pallet/raw_data/night/capturenight02/rgb/1779448713762505216.png|data/pallet/raw_data/night/capturenight02/rgb/1779448714029585664.png|data/pallet/raw_data/night/capturenight02/rgb/1779448714096074240.png|data/pallet/raw_data/night/capturenight02/rgb/1779448714162909696.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448713863113472.json,night,manual_gt_legacy,False,True,
