epoch,checkpoint,n_val,box_mAP50,box_mAP50_95,pose_mAP50,pose_mAP50_95,native_fixed_corner_error,oracle_perm_corner_error,collapsed_channels,channel_detect_rate,identity_best_fraction,yaw180_best_fraction,yaw90_best_fraction,yaw270_best_fraction
10,epoch10.pt,492,0.9868747158599223,0.8498080698680324,0.7104481417959315,0.12346327907551702,0.030126007851807433,0.02484514951972049,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0}",0.5976,0.3923,0.0041,0.0061
20,epoch20.pt,497,0.9934129651884377,0.8850005360219703,0.6886210565804105,0.32822489040571073,0.037070646390779755,0.03210560889427272,0,"{'0': 0.996, '1': 0.996, '2': 0.996, '3': 0.996, '4': 0.996, '5': 0.996, '6': 0.996, '7': 0.996, '8': 1.0}",0.7666,0.2133,0.008,0.0121
30,epoch30.pt,495,0.9929118743523416,0.895198814331148,0.7405851233219007,0.5137049721592507,0.02115059663117704,0.01947920224600523,0,"{'0': 0.998, '1': 0.998, '2': 0.998, '3': 0.998, '4': 0.998, '5': 1.0, '6': 1.0, '7': 0.998, '8': 1.0}",0.7899,0.198,0.004,0.0081
40,epoch40.pt,495,0.9925986574567316,0.9041723215455656,0.7665786370484404,0.5615273835496648,0.020013315434507545,0.01869497638797842,0,"{'0': 0.998, '1': 0.998, '2': 0.998, '3': 0.998, '4': 0.998, '5': 0.998, '6': 0.998, '7': 0.998, '8': 1.0}",0.7939,0.198,0.0061,0.002
50,epoch50.pt,496,0.9927643986705765,0.9176375385970136,0.7898052069400268,0.6027234217054188,0.016236292266282565,0.015627454779332087,0,"{'0': 0.998, '1': 0.998, '2': 0.998, '3': 0.998, '4': 0.998, '5': 1.0, '6': 1.0, '7': 0.998, '8': 1.0}",0.8185,0.1714,0.006,0.004
60,last.pt,492,0.9935041075292127,0.9250101043963899,0.8081711669700109,0.6411197959391671,0.013375556361507595,0.01259135365774737,0,"{'0': 1.0, '1': 0.998, '2': 0.998, '3': 1.0, '4': 0.998, '5': 1.0, '6': 1.0, '7': 0.998, '8': 1.0}",0.8293,0.1585,0.0041,0.0081
