frame,domain,label,model,max_conf,n_candidates
1778651519235162880,DAY,1,A42,0.6713055968284607,6
1778651530691638016,DAY,1,A42,0.6895439028739929,4
1778651579029250816,DAY,1,A42,0.3523893654346466,12
1778651650570397184,DAY,1,A42,0.12796804308891296,6
1778651650839160832,DAY,1,A42,0.28042465448379517,10
1778653367706938112,DAY,1,A42,0.10126776248216629,4
1778653508779767808,DAY,1,A42,0.3595426678657532,10
1778653526955536896,DAY,1,A42,0.12079346179962158,15
1778653540259983104,DAY,1,A42,0.1613345593214035,2
1778653545299653120,DAY,1,A42,0.8243212699890137,2
1775201414728017664,DAY,1,A42,0.8801124691963196,1
1775201415399297536,DAY,1,A42,0.8637195229530334,1
1775201416944730624,DAY,1,A42,0.9177601933479309,1
1775201418120676608,DAY,1,A42,0.8162776827812195,3
1775201421043401984,DAY,1,A42,0.5263993740081787,8
1775201428535961600,DAY,1,A42,0.8764278292655945,1
1775201429879521792,DAY,1,A42,0.891357958316803,1
1775201430551447040,DAY,1,A42,0.8999040722846985,1
1775201430786751744,DAY,1,A42,0.9153515100479126,2
1775201436800711168,DAY,1,A42,0.9234450459480286,1
1775201442546213120,DAY,1,A42,0.9191933274269104,2
1775201443822140928,DAY,1,A42,0.9268725514411926,2
1778653003088339968,DAY,1,A42,0.9493101835250854,1
1778653006783606016,DAY,1,A42,0.9543483853340149,2
1778653007724386048,DAY,1,A42,0.9458609223365784,1
1778653017736058368,DAY,1,A42,0.938856303691864,2
1778653018878592768,DAY,1,A42,0.9330803751945496,3
1778653029965134592,DAY,1,A42,0.9484971165657043,1
1778653030032337920,DAY,1,A42,0.9468793869018555,3
1778653030099587072,DAY,1,A42,0.9454628825187683,1
1778653030166875904,DAY,1,A42,0.9432679414749146,1
1778653030233998336,DAY,1,A42,0.9505865573883057,1
1778653030939714816,DAY,1,A42,0.9450824856758118,3
1778653031275751936,DAY,1,A42,0.9604415893554688,2
1778653033056483584,DAY,1,A42,0.9552433490753174,1
1778653041187027200,DAY,1,A42,0.9449799656867981,1
1778653055734035712,DAY,1,A42,0.9710181355476379,1
1778653055801377280,DAY,1,A42,0.9637194275856018,1
1778653055868669952,DAY,1,A42,0.9603028297424316,1
1778653056137140480,DAY,1,A42,0.9704257845878601,1
