frame_id,session,C43_top1_conf,C43_top1_iou,C43_correct_rank,C43_correct_conf,FT_top1_conf,wrong_box_area,wrong_aspect,gt_area,area_ratio,distractor_type
1779449467555301888,eval_night08,0.3724,0.0255,3,0.3346,0.9739441275596619,1636.7,4.49,10032.0,0.16,
1779449470423201536,eval_night08,0.3339,0.0285,2,0.0684,0.9375256299972534,2381.1,3.89,9324.0,0.26,
1779449475060066816,eval_night08,0.1615,0.0269,2,0.1007,0.9515272378921509,2264.9,4.25,9805.0,0.23,
1779449483432542720,eval_night08,0.8137,0.035,2,0.0269,0.9687285423278809,3824.9,6.02,23977.1,0.16,
1779449485800670464,eval_night08,0.0758,0.0,2,0.0339,0.9861504435539246,6637.8,7.58,16992.0,0.39,
1779449496875356416,eval_night08,0.0175,0.0146,2,0.0105,0.869644284248352,12589.0,3.3,35856.9,0.35,
1779449591514485504,eval_night09,0.4638,0.4224,2,0.0584,0.9616201519966125,5702.3,7.47,13500.0,0.42,
1779449593782795264,eval_night09,0.0383,0.3624,,,0.9772689342498779,6133.7,3.48,16317.0,0.38,
1779449604823769344,eval_night09,0.0123,0.0,3,0.0026,0.9373531937599182,5086.2,1.04,67203.7,0.08,
1779449656527024896,eval_night09,0.4979,0.0,2,0.0133,0.9814918637275696,5196.2,1.32,74983.7,0.07,
