frame,C43_conf,C43_cand,OLD_conf,OLD_cand,FT_conf,FT_cand,distractor_type
002435,0.9274,1,0,0,0.0012,1,
002434,0.9213,1,0.0182,4,0.0085,1,
001774,0.8992,4,0.0064,2,0,0,
001783,0.8735,2,0.1103,3,0,0,
002433,0.8688,1,0.4726,4,0.2932,2,
001786,0.8674,2,0.0721,4,0,0,
001773,0.8649,3,0.0038,2,0,0,
001771,0.8639,5,0.0129,3,0,0,
001785,0.8635,2,0.1665,4,0,0,
002430,0.8632,1,0.1465,4,0.169,3,
002429,0.8631,1,0.4911,3,0.147,3,
001764,0.8624,1,0.1593,5,0,0,
001772,0.8609,3,0.0038,3,0,0,
001757,0.8545,5,0.0037,4,0,0,
001784,0.8423,3,0.0655,5,0,0,
002432,0.8413,1,0.7565,3,0.4379,3,
001762,0.8397,1,0.0188,5,0,0,
002431,0.8354,1,0.7137,3,0.3372,3,
001789,0.835,2,0.1688,4,0,0,
002408,0.8291,1,0.0131,11,0.2366,2,
001782,0.8244,3,0.1506,1,0,0,
002428,0.8217,1,0.0951,3,0.24,2,
001787,0.8208,2,0.0389,6,0,0,
001763,0.8177,2,0.0155,6,0,0,
001778,0.8123,4,0.1985,7,0,0,
002427,0.8122,1,0.0092,4,0.1488,1,
001799,0.812,3,0.0085,8,0,0,
001780,0.8091,3,0.161,1,0,0,
001803,0.8063,2,0.0024,5,0,0,
001756,0.8054,6,0.0106,5,0,0,
