model,frame_id,domain,session,n_cand,top1_conf,top1_iou,top1_is_correct,any_correct,correct_rank,best_correct_conf,best_wrong_conf,margin
A42,1779449467555301888,NIGHT,eval_night08,18,0.06297820806503296,0.005920641192735474,False,False,,,0.06297820806503296,
A42,1779449470423201536,NIGHT,eval_night08,11,0.07608352601528168,0.025318325279457182,False,False,,,0.07608352601528168,
A42,1779449475060066816,NIGHT,eval_night08,12,0.09988658130168915,0.04586088604422418,False,False,,,0.09988658130168915,
A42,1779449479095927552,NIGHT,eval_night08,14,0.061594702303409576,0.019171433500496174,False,False,,,0.061594702303409576,
A42,1779449481331070208,NIGHT,eval_night08,15,0.025123003870248795,0.012952291254959846,False,False,,,0.025123003870248795,
A42,1779449483432542720,NIGHT,eval_night08,14,0.09884782880544662,0.0,False,False,,,0.09884782880544662,
A42,1779449485800670464,NIGHT,eval_night08,12,0.06588272005319595,0.020174654732477346,False,False,,,0.06588272005319595,
A42,1779449488068910592,NIGHT,eval_night08,11,0.08740704506635666,0.055459224481657424,False,False,,,0.08740704506635666,
A42,1779449492505469440,NIGHT,eval_night08,8,0.055413246154785156,0.0,False,False,,,0.055413246154785156,
A42,1779449496875356416,NIGHT,eval_night08,16,0.03638642653822899,0.0,False,False,,,0.03638642653822899,
A42,1779449499143611648,NIGHT,eval_night08,15,0.39979198575019836,0.3674419804091159,False,True,9,0.0038455291651189327,0.39979198575019836,-0.39594645658507943
A42,1779449501478488320,NIGHT,eval_night08,12,0.35485172271728516,0.40938254158223325,False,False,,,0.35485172271728516,
A42,1779449575470221824,NIGHT,eval_night09,2,0.00994990486651659,0.10995504463707141,False,False,,,0.00994990486651659,
A42,1779449580573721600,NIGHT,eval_night09,6,0.013125020079314709,0.10804305162036487,False,False,,,0.013125020079314709,
A42,1779449591514485504,NIGHT,eval_night09,11,0.019191540777683258,0.058226616977698833,False,False,,,0.019191540777683258,
A42,1779449593782795264,NIGHT,eval_night09,7,0.22280217707157135,0.0,False,False,,,0.22280217707157135,
A42,1779449596017728000,NIGHT,eval_night09,15,0.04360167309641838,0.10465381444929533,False,False,,,0.04360167309641838,
A42,1779449602689248000,NIGHT,eval_night09,8,0.7577670812606812,0.32394689907757035,False,False,,,0.7577670812606812,
A42,1779449604823769344,NIGHT,eval_night09,1,0.0010452673304826021,0.0,False,False,,,0.0010452673304826021,
A42,1779449631842893312,NIGHT,eval_night09,10,0.08989203721284866,0.07920212816131643,False,False,,,0.08989203721284866,
A42,1779449634044385536,NIGHT,eval_night09,10,0.08004334568977356,0.045808267103914585,False,False,,,0.08004334568977356,
A42,1779449638581035008,NIGHT,eval_night09,9,0.04419274255633354,0.0323772422180232,False,False,,,0.04419274255633354,
A42,1779449643284402176,NIGHT,eval_night09,12,0.02597655914723873,0.1294793632582597,False,False,,,0.02597655914723873,
