adjacent_face_median_delta_cm,bbox_depth_spread_cm,bbox_pixels,best_face,face_iqr_cm,face_mad_cm,face_median_m,face_p10_p90_cm,face_strict_fraction,face_valid_points,image_path,kp_local_mad_cm,kp_valid_samples,lighting,n_faces_evaluated,plane_residual_median_mm,plane_residual_p90_mm,ring_mad_cm,ring_median_m,ring_minus_face_cm,source_recording
,166.70007705688477,1210,near,81.50005340576172,47.300052642822266,10.098000526428223,161.29999160766602,1.0,693,data/pallet/raw_data/night/capturenight01/rgb/1779448556736988160.png,73.69999885559082,8,night,6,26.57691169497207,58.69463546778572,87.1999740600586,9.9350004196167,-16.300010681152344,capturenight01
70.89996337890625,417.90008544921875,1344,near,269.5000648498535,127.1000862121582,10.807000160217285,463.00010681152344,1.0,720,data/pallet/raw_data/night/capturenight01/rgb/1779448556969929728.png,76.1500358581543,8,night,6,33.8592206620124,68.40668091500316,124.60002899169922,10.440000534057617,-36.6999626159668,capturenight01
174.8000144958496,154.30002212524414,1221,near,82.49998092651367,38.29994201660156,9.059000015258789,182.80000686645508,1.0,729,data/pallet/raw_data/night/capturenight01/rgb/1779448557136986368.png,34.89999771118164,8,night,6,22.076286810610494,42.304615663134946,63.899993896484375,9.194000244140625,13.500022888183594,capturenight01
13.500022888183594,176.39999389648438,1221,near,85.10007858276367,39.40000534057617,9.194000244140625,176.39999389648438,1.0,729,data/pallet/raw_data/night/capturenight01/rgb/1779448557269940992.png,53.60002517700195,8,night,6,29.303337309530118,60.131521864976605,69.79999542236328,9.625,43.0999755859375,capturenight01
58.40005874633789,291.90006256103516,1308,near,156.10008239746094,71.90008163452148,9.778000831604004,327.8000831604004,1.0,741,data/pallet/raw_data/night/capturenight01/rgb/1779448557336815872.png,20.300006866455078,8,night,6,27.12726321025615,64.00960340366183,64.1000747680664,9.625,-15.30008316040039,capturenight01
58.40005874633789,146.60005569458008,1365,near,100.8000373840332,28.299999237060547,9.194000244140625,146.60005569458008,1.0,805,data/pallet/raw_data/night/capturenight01/rgb/1779448557470275584.png,40.45000076293945,8,night,6,32.49784591172852,61.439541733199654,65.69995880126953,9.333000183105469,13.899993896484375,capturenight01
107.2000503540039,196.10009193420464,1070,near,132.99999237060547,54.09994125366211,10.266000747680664,207.30009078979492,1.0,640,data/pallet/raw_data/night/capturenight01/rgb/1779448557570862336.png,69.0500259399414,8,night,6,28.550169210170626,53.7038520160057,58.40005874633789,9.778000831604004,-48.799991607666016,capturenight01
0.0,301.9001007080078,1232,near,207.4000358581543,107.2000503540039,10.266000747680664,339.3000602722168,1.0,729,data/pallet/raw_data/night/capturenight01/rgb/1779448557771001344.png,31.05001449584961,8,night,6,36.28977891688339,67.96362552591752,76.0000228881836,10.440000534057617,17.399978637695312,capturenight01
93.30005645751953,176.39999389648438,1308,near,97.80006408691406,44.500064849853516,9.333000183105469,151.88001632690433,1.0,693,data/pallet/raw_data/night/capturenight01/rgb/1779448557837310720.png,49.049997329711914,8,night,6,27.04426320207417,53.70875041993276,58.40005874633789,9.194000244140625,-13.899993896484375,capturenight01
44.500064849853516,188.0000114440918,1144,near,107.2000503540039,48.799991607666016,9.778000831604004,188.0000114440918,1.0,702,data/pallet/raw_data/night/capturenight01/rgb/1779448557903872256.png,40.200042724609375,8,night,6,26.38351644383477,60.168047128276164,69.79999542236328,9.625,-15.30008316040039,capturenight01
15.30008316040039,182.00006484985352,1177,near,103.90005111694336,56.599998474121094,9.625,194.4000244140625,1.0,640,data/pallet/raw_data/night/capturenight01/rgb/1779448557970536448.png,48.150014877319336,8,night,6,31.671222303722214,56.196453983752356,60.20002365112305,9.9350004196167,31.000041961669922,capturenight01
0.0,232.4000358581543,1344,near,120.7000732421875,64.1000747680664,9.625,244.50006484985352,1.0,697,data/pallet/raw_data/night/capturenight01/rgb/1779448558037460736.png,42.550039291381836,8,night,6,25.49006393124294,55.87863862233189,97.80006408691406,9.778000831604004,15.30008316040039,capturenight01
0.0,232.4000358581543,1296,near,151.300048828125,69.79999542236328,9.625,242.40002632141113,1.0,676,data/pallet/raw_data/night/capturenight01/rgb/1779448558104051968.png,35.95004081726074,8,night,6,24.406030855409476,54.433697765243494,84.20000076293945,9.778000831604004,15.30008316040039,capturenight01
43.0999755859375,129.80003356933594,1177,near,55.00001907348633,28.299999237060547,9.194000244140625,97.80006408691406,1.0,720,data/pallet/raw_data/night/capturenight01/rgb/1779448558170864128.png,64.1000747680664,8,night,6,19.899228977876568,46.90757114423147,63.899993896484375,9.194000244140625,0.0,capturenight01
13.500022888183594,147.23999977111734,1188,near,82.49998092651367,27.40001678466797,9.059000015258789,142.19999313354492,1.0,738,data/pallet/raw_data/night/capturenight01/rgb/1779448558237494784.png,48.90003204345703,8,night,6,25.189629721251258,53.31261789242132,75.59995651245117,9.194000244140625,13.500022888183594,capturenight01
41.80002212524414,206.50005340576172,1221,near,100.8000373840332,55.00001907348633,9.47700023651123,188.5000228881836,1.0,672,data/pallet/raw_data/night/capturenight01/rgb/1779448558304139776.png,60.35003662109375,8,night,6,25.53324645593168,50.69172733305224,62.09993362426758,9.059000015258789,-41.80002212524414,capturenight01
