frame_id,source_set,source_label,output_label,status,output_action,reasons,axis_assignment_candidates,projection_parity_max_px,rotation_orthogonality_max_error,rotation_det_max_abs_error,reflection_count,manual_kps_preserved,legacy_fields_preserved,schema_valid,yaw180_equivalence_class_exact,source_sha_before,source_sha_after,source_mtime_ns_before,source_mtime_ns_after,source_size_bytes_before,source_size_bytes_after,source_untouched
wood_183705:000000,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000000.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000000.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_90"", ""YAW_270""]",5.684341886080802e-14,1.3902782979362325e-16,0.0,0,True,True,True,True,2de3f9d5d3b7cd446151308e92906694ef6f062ab7afc58157a08bad693bc34b,2de3f9d5d3b7cd446151308e92906694ef6f062ab7afc58157a08bad693bc34b,1783591206244913960,1783591206244913960,2237,2237,True
wood_183705:000088,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000088.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000088.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_90"", ""YAW_270""]",0.0,2.220446049250313e-16,2.220446049250313e-16,0,True,True,True,True,c8da8b63e6f94f58c7e5a4553fedb6c444be03f0dbd6c30012b433106ed77042,c8da8b63e6f94f58c7e5a4553fedb6c444be03f0dbd6c30012b433106ed77042,1783644877823263202,1783644877823263202,2249,2249,True
wood_183705:000149,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000149.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000149.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_90"", ""YAW_270""]",0.0,2.220446049250313e-16,4.440892098500626e-16,0,True,True,True,True,8cffebc6a4281b0a0c5c65d7e95ba1609e4146e1854223a85733f6004cc7b135,8cffebc6a4281b0a0c5c65d7e95ba1609e4146e1854223a85733f6004cc7b135,1783644890349308045,1783644890349308045,2244,2244,True
wood_183705:000213,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000213.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000213.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_0"", ""YAW_180""]",0.0,1.1102230246251565e-16,0.0,0,True,True,True,True,ba0c15bd286c17bd2c32fa62ee57180e691a0a6bf80cf4406b5461c463f2d31f,ba0c15bd286c17bd2c32fa62ee57180e691a0a6bf80cf4406b5461c463f2d31f,1783644914285394458,1783644914285394458,2241,2241,True
wood_183705:000275,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000275.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000275.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_0"", ""YAW_180""]",0.0,2.2715846453590022e-17,0.0,0,True,True,True,True,dd02841423cef33ee79040f766d06b509dce6b38adca3a2a0dc8b71be3f69840,dd02841423cef33ee79040f766d06b509dce6b38adca3a2a0dc8b71be3f69840,1783644925800436357,1783644925800436357,2245,2245,True
wood_183705:000335,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000335.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000335.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_0"", ""YAW_180""]",0.0,8.425712318954729e-17,0.0,0,True,True,True,True,1dfd1c35c0ab6f2ce16ec0db1f78f37cec076b5d6f22296af2ab9897d026b8f1,1dfd1c35c0ab6f2ce16ec0db1f78f37cec076b5d6f22296af2ab9897d026b8f1,1783644936505475493,1783644936505475493,2245,2245,True
wood_183705:000400,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000400.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000400.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_0"", ""YAW_180""]",0.0,2.220446049250313e-16,1.1102230246251565e-16,0,True,True,True,True,d7434ed7bf59ca7ead0a5df003540a2a7b7817c58466d16bea56e20b6b3bdd8a,d7434ed7bf59ca7ead0a5df003540a2a7b7817c58466d16bea56e20b6b3bdd8a,1783644948694520266,1783644948694520266,2244,2244,True
wood_183705:000460,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000460.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000460.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_0"", ""YAW_180""]",0.0,3.3306690738754696e-16,4.440892098500626e-16,0,True,True,True,True,68937dd9dd3cc37229b98535aedd634a5d8e1c67e0dc817ce74734d7985a7fea,68937dd9dd3cc37229b98535aedd634a5d8e1c67e0dc817ce74734d7985a7fea,1783645007116737847,1783645007116737847,2336,2336,True
wood_183705:000521,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000521.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000521.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_90"", ""YAW_270""]",1.1368683772161603e-13,2.220446049250313e-16,0.0,0,True,True,True,True,9ad065c36f9d86710c37abbba6dd0aea215b5b5843253a89e70592e6c8140895,9ad065c36f9d86710c37abbba6dd0aea215b5b5843253a89e70592e6c8140895,1783645017908778552,1783645017908778552,2247,2247,True
wood_183705:000586,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000586.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000586.json,MANUAL_REVIEW_REQUIRED,CREATED,"[""UNCONFIRMED_SIGNED_CANONICAL_AXIS"", ""LEGACY_KEYPOINT_PROVENANCE_UNKNOWN"", ""LEGACY_VISIBILITY_UNKNOWN""]","[""YAW_90"", ""YAW_270""]",5.684341886080802e-14,3.536376070863976e-17,2.220446049250313e-16,0,True,True,True,True,0fc86c65664317f4ea6c7bfa922ef3ff62566b34aafdc2a9aeafa33a99a68856,0fc86c65664317f4ea6c7bfa922ef3ff62566b34aafdc2a9aeafa33a99a68856,1783645026058809391,1783645026058809391,2247,2247,True
