epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2032,0.93129,2.24487,1.23447,0.85185,0.48147,0.55497,0.37085,1.13754,2.32842,1.36271,0.000473952,0.000473952,0.000473952
2,23.2205,0.89178,1.36248,1.17541,0.62877,0.5,0.51627,0.34595,1.16986,2.62025,1.54599,0.000940877,0.000940877,0.000940877
3,34.1242,0.87032,1.20656,1.15449,0.8361,0.58333,0.60466,0.40286,1.29917,2.61847,1.6082,0.00139837,0.00139837,0.00139837
4,44.9786,0.86717,1.08674,1.14508,0.84982,0.5,0.52116,0.40638,1.22068,2.2813,1.46862,0.00138656,0.00138656,0.00138656
5,55.8522,0.87519,1.04341,1.16777,0.78505,0.66667,0.64415,0.47689,1.00763,2.24316,1.37051,0.00137241,0.00137241,0.00137241
6,66.8255,0.82498,0.91905,1.11389,0.71775,0.58333,0.61409,0.4747,1.22894,2.16157,1.5237,0.00135826,0.00135826,0.00135826
7,77.7382,0.82667,0.90946,1.11752,0.81101,0.71713,0.67853,0.44,1.10004,1.60797,1.25085,0.00134412,0.00134412,0.00134412
8,88.6509,0.79827,0.87102,1.11451,0.49417,0.41667,0.40621,0.33922,1.08634,2.27829,1.25564,0.00132997,0.00132997,0.00132997
9,99.766,0.76114,0.79869,1.08104,1,0.58004,0.6504,0.44619,1.1633,2.23336,1.37399,0.00131582,0.00131582,0.00131582
10,110.734,0.78872,0.8214,1.10242,0.77663,0.57988,0.56599,0.46199,1.08839,2.13488,1.35849,0.00130168,0.00130168,0.00130168
11,121.836,0.71674,0.74852,1.05958,0.89988,0.74913,0.73113,0.63332,0.94195,1.59075,1.19156,0.00128753,0.00128753,0.00128753
12,133.082,0.73894,0.73772,1.07013,0.59872,0.74627,0.69475,0.49541,0.94796,1.37153,1.23704,0.00127338,0.00127338,0.00127338
13,144.468,0.72403,0.69493,1.06565,0.57028,0.66667,0.59639,0.48049,0.97926,1.96705,1.18153,0.00125923,0.00125923,0.00125923
14,155.667,0.70622,0.67952,1.06009,0.63659,0.75,0.68821,0.56605,0.86358,1.63661,1.04301,0.00124509,0.00124509,0.00124509
15,166.718,0.69738,0.64807,1.04621,0.86993,0.66667,0.69053,0.55093,0.88358,1.55471,1.05157,0.00123094,0.00123094,0.00123094
16,177.937,0.71357,0.67678,1.0524,0.82439,0.78414,0.7923,0.69163,0.70294,1.49033,1.02919,0.00121679,0.00121679,0.00121679
17,189.083,0.65727,0.61394,1.02761,0.95618,0.66667,0.73212,0.60991,0.98589,1.7572,1.12372,0.00120265,0.00120265,0.00120265
18,200.631,0.66609,0.60952,1.02669,0.99218,0.58333,0.6052,0.50584,0.94568,1.8741,1.26097,0.0011885,0.0011885,0.0011885
19,211.827,0.64011,0.60813,1.01752,0.66693,0.66751,0.74143,0.594,0.86325,1.4275,1.11407,0.00117435,0.00117435,0.00117435
20,223.078,0.65625,0.59832,1.0201,1,0.65883,0.72393,0.61019,0.84194,1.57304,1.04717,0.00116021,0.00116021,0.00116021
21,234.234,0.6478,0.59061,1.01848,0.97594,0.58333,0.75111,0.63154,0.73085,1.23141,0.96512,0.00114606,0.00114606,0.00114606
22,245.224,0.65392,0.58786,1.02258,0.89886,0.74143,0.74561,0.58565,0.81841,1.36955,1.03243,0.00113191,0.00113191,0.00113191
23,256.396,0.63582,0.56684,1.00619,0.68191,0.83333,0.82361,0.59312,0.98979,1.34798,1.15914,0.00111776,0.00111776,0.00111776
24,267.651,0.6506,0.56918,1.01642,0.88065,0.66667,0.81502,0.61761,0.82191,1.30325,1.05591,0.00110362,0.00110362,0.00110362
25,278.783,0.62865,0.54908,1.01497,1,0.66565,0.68103,0.60432,0.89146,1.56373,1.10284,0.00108947,0.00108947,0.00108947
26,289.92,0.62447,0.54728,1.01027,0.9894,0.66667,0.80423,0.70972,0.76462,1.11369,1.02024,0.00107532,0.00107532,0.00107532
27,301.14,0.61948,0.5398,1.00658,0.75532,0.77305,0.84644,0.69175,0.6592,1.24318,0.97745,0.00106118,0.00106118,0.00106118
28,312.157,0.61118,0.54306,0.99722,1,0.98645,0.995,0.82085,0.66844,0.76402,0.96575,0.00104703,0.00104703,0.00104703
29,323.277,0.63137,0.54779,1.01817,1,0.57796,0.72119,0.58712,0.91156,1.69403,1.14381,0.00103288,0.00103288,0.00103288
30,334.51,0.59403,0.50214,0.992,0.99415,0.66667,0.81383,0.62555,0.87144,1.24237,1.04039,0.00101873,0.00101873,0.00101873
31,345.685,0.6223,0.52523,1.00431,1,0.82291,0.90167,0.66305,0.93026,0.90965,1.05283,0.00100459,0.00100459,0.00100459
32,356.608,0.6154,0.51081,0.99886,0.98079,0.58333,0.75458,0.61757,0.77128,1.30961,1.00413,0.00099044,0.00099044,0.00099044
33,367.668,0.60962,0.50982,0.99696,0.98728,0.58333,0.76327,0.63325,0.78615,1.24225,1.0125,0.000976293,0.000976293,0.000976293
34,378.618,0.60696,0.50282,0.99089,1,0.56614,0.66536,0.62923,0.80536,2.0665,1.02808,0.000962146,0.000962146,0.000962146
35,389.333,0.6022,0.5021,0.98943,0.87726,0.75,0.83588,0.61659,0.94484,1.12859,1.16262,0.000947999,0.000947999,0.000947999
36,400.59,0.58328,0.48686,0.98617,0.87337,0.58333,0.76541,0.61504,0.8168,1.36054,1.01596,0.000933851,0.000933851,0.000933851
37,411.465,0.58607,0.48498,0.98328,0.96905,0.58333,0.60429,0.56073,0.84821,1.64559,1.10428,0.000919704,0.000919704,0.000919704
38,422.426,0.57075,0.47946,0.98337,0.89764,0.7323,0.80689,0.68795,0.73704,1.19154,0.99652,0.000905557,0.000905557,0.000905557
39,433.411,0.58784,0.49356,0.98987,0.99089,0.58333,0.61578,0.56887,0.84618,1.79437,1.06649,0.00089141,0.00089141,0.00089141
40,444.626,0.58335,0.47454,0.98849,0.98982,0.58333,0.62307,0.57544,0.82893,1.91974,1.04229,0.000877263,0.000877263,0.000877263
41,455.956,0.58168,0.48177,0.98605,0.98915,0.58333,0.75124,0.62984,0.71578,1.3821,0.96924,0.000863116,0.000863116,0.000863116
42,467.352,0.5722,0.46419,0.98026,0.9941,0.66667,0.78539,0.67544,0.72837,1.07549,0.96995,0.000848969,0.000848969,0.000848969
43,478.542,0.57135,0.48246,0.98441,0.87702,0.66667,0.69414,0.63041,0.74989,1.47627,0.96302,0.000834822,0.000834822,0.000834822
44,490.1,0.55158,0.44001,0.96599,1,0.74581,0.79052,0.69915,0.71529,1.28893,0.93707,0.000820675,0.000820675,0.000820675
45,501.324,0.55859,0.44268,0.96105,0.98506,0.58333,0.72513,0.63638,0.70717,1.21597,0.93307,0.000806528,0.000806528,0.000806528
46,512.388,0.54739,0.44249,0.96726,0.98313,0.58333,0.65388,0.59798,0.8393,1.88205,1.05566,0.00079238,0.00079238,0.00079238
47,523.875,0.54483,0.44586,0.96181,0.99144,0.58333,0.63442,0.58427,0.66593,1.98813,0.99754,0.000778233,0.000778233,0.000778233
48,535.196,0.56217,0.44869,0.97362,0.98639,0.58333,0.78212,0.7041,0.64123,1.34863,0.87907,0.000764086,0.000764086,0.000764086
49,546.79,0.54253,0.44259,0.97023,0.78348,0.91667,0.92618,0.81866,0.55117,0.73204,0.83915,0.000749939,0.000749939,0.000749939
50,557.911,0.55081,0.4397,0.96007,0.9913,0.58333,0.80383,0.71835,0.64318,1.20199,0.8813,0.000735792,0.000735792,0.000735792
51,568.884,0.52653,0.42011,0.95521,0.88819,0.66667,0.74311,0.64805,0.67338,1.45297,0.937,0.000721645,0.000721645,0.000721645
