epoch,beta,d_id,d_180,sym_min,asc_pos,n_sym,n_total
0,1.0,None,None,None,0.779788613319397,0,1
1,1.0,None,None,None,0.7405974268913269,0,1
2,1.0,None,None,None,0.6409527659416199,0,1
3,1.0,None,None,None,0.6553637981414795,0,1
4,1.0,None,None,None,0.6650654077529907,0,1
5,1.0,None,None,None,0.5706213712692261,0,1
6,1.0,None,None,None,0.6019284129142761,0,1
7,1.0,None,None,None,0.5750214457511902,0,1
8,1.0,None,None,None,0.5485007762908936,0,1
9,1.0,None,None,None,0.5563006401062012,0,1
10,1.0,None,None,None,0.4973866045475006,0,1
11,1.0,None,None,None,0.5317478775978088,0,1
12,1.0,None,None,None,0.4921075701713562,0,1
13,1.0,None,None,None,0.5009943842887878,0,1
14,1.0,None,None,None,0.43312740325927734,0,1
15,1.0,None,None,None,0.48073744773864746,0,1
16,1.0,None,None,None,0.46122002601623535,0,1
17,1.0,None,None,None,0.3696979582309723,0,1
18,1.0,None,None,None,0.39843645691871643,0,1
19,1.0,None,None,None,0.33349090814590454,0,1
20,1.0,None,None,None,0.32676729559898376,0,1
21,1.0,None,None,None,0.40999484062194824,0,1
22,1.0,None,None,None,0.3881665766239166,0,1
23,1.0,None,None,None,0.48511993885040283,0,1
24,1.0,None,None,None,0.5365238189697266,0,1
25,1.0,None,None,None,0.3867463171482086,0,1
26,1.0,None,None,None,0.30006465315818787,0,1
27,1.0,None,None,None,0.4063616693019867,0,1
28,1.0,None,None,None,0.3144620358943939,0,1
29,1.0,None,None,None,0.2969956398010254,0,1
30,1.0,None,None,None,0.40765222907066345,0,1
31,1.0,None,None,None,0.2021140605211258,0,1
32,1.0,None,None,None,0.4143790900707245,0,1
33,1.0,None,None,None,0.48726627230644226,0,1
34,1.0,None,None,None,0.2858208119869232,0,1
35,1.0,None,None,None,0.17733833193778992,0,1
36,1.0,None,None,None,0.22568081319332123,0,1
37,1.0,None,None,None,0.20878028869628906,0,1
38,1.0,None,None,None,0.22686819732189178,0,1
39,1.0,None,None,None,0.2954409718513489,0,1
40,1.0,None,None,None,0.3097182810306549,0,1
41,1.0,None,None,None,0.33141207695007324,0,1
42,1.0,None,None,None,0.09665250033140182,0,1
43,1.0,None,None,None,0.20710402727127075,0,1
44,1.0,None,None,None,0.09616535156965256,0,1
45,1.0,None,None,None,0.1438722163438797,0,1
46,1.0,None,None,None,0.08233686536550522,0,1
47,1.0,None,None,None,0.2614377737045288,0,1
48,1.0,None,None,None,0.2800285816192627,0,1
49,1.0,None,None,None,0.32927802205085754,0,1
50,1.0,None,None,None,0.3104669153690338,0,1
51,1.0,None,None,None,0.05184236168861389,0,1
52,1.0,None,None,None,0.04113824665546417,0,1
53,1.0,None,None,None,0.08694922178983688,0,1
54,1.0,None,None,None,0.13238227367401123,0,1
55,1.0,None,None,None,0.15168343484401703,0,1
56,1.0,None,None,None,0.031026752665638924,0,1
57,1.0,None,None,None,0.12639053165912628,0,1
58,1.0,None,None,None,0.1412028819322586,0,1
59,1.0,None,None,None,0.2244214564561844,0,1
