epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,3074.31,0.50255,1.06668,0.08907,0.34752,0.87608,0.99091,0.99149,0.99442,0.92223,0.94925,0.94945,0.92543,0.88613,0.39122,0.70935,0.0136,0.24977,0.83032,0.00352037,0.00352037,0.00352037
20,3235.29,0.48973,1.03825,0.0857,0.33863,0.87077,0.99248,0.9912,0.99458,0.92312,0.95189,0.94795,0.92715,0.88887,0.38222,0.71247,0.01287,0.24393,0.8272,0.00303665,0.00303665,0.00303665
21,3396.79,0.42358,0.71428,0.0226,0.28147,0.83115,0.992,0.99322,0.99464,0.92533,0.95288,0.94745,0.92835,0.88791,0.37706,0.69059,0.01079,0.23976,0.82554,0.002575,0.002575,0.002575
22,3555.54,0.40468,0.66867,0.02138,0.27013,0.82458,0.99577,0.99149,0.99472,0.92825,0.95572,0.95069,0.9289,0.89282,0.37388,0.67658,0.00986,0.235,0.82446,0.00214046,0.00214046,0.00214046
23,3714.23,0.38958,0.63413,0.01962,0.25919,0.8204,0.99497,0.9907,0.99466,0.92851,0.95727,0.95318,0.93798,0.89473,0.37085,0.64885,0.0092,0.23279,0.82276,0.0017378,0.0017378,0.0017378
24,3872.64,0.37738,0.58968,0.01899,0.25284,0.81714,0.99637,0.99049,0.99467,0.92907,0.96066,0.95342,0.94043,0.89808,0.36602,0.63399,0.00872,0.23094,0.82116,0.00137143,0.00137143,0.00137143
25,4031.37,0.36347,0.54392,0.01834,0.24296,0.81327,0.99491,0.99099,0.9946,0.93125,0.95917,0.95145,0.93811,0.8974,0.36416,0.626,0.0084,0.2282,0.82056,0.00104537,0.00104537,0.00104537
26,4189.55,0.35129,0.50365,0.01706,0.23498,0.8096,0.99439,0.99099,0.99461,0.92994,0.96151,0.95445,0.94181,0.89979,0.36136,0.60825,0.00815,0.22728,0.81933,0.000763174,0.000763174,0.000763174
27,4347.88,0.34244,0.48206,0.01666,0.22875,0.80658,0.99509,0.99049,0.99463,0.93171,0.96142,0.95495,0.94271,0.90565,0.35991,0.59007,0.0079,0.2259,0.8186,0.00052795,0.00052795,0.00052795
28,4505.83,0.33533,0.46415,0.01635,0.22422,0.80692,0.99506,0.98999,0.99463,0.9336,0.96151,0.95546,0.94244,0.90564,0.35779,0.58765,0.00773,0.22528,0.81772,0.00034227,0.00034227,0.00034227
29,4665.13,0.32916,0.44169,0.01571,0.21979,0.80337,0.99497,0.99039,0.99465,0.93404,0.96156,0.95546,0.94316,0.90692,0.35654,0.58683,0.00758,0.22524,0.81724,0.000208169,0.000208169,0.000208169
30,4823.99,0.32623,0.44476,0.0155,0.21725,0.80464,0.99497,0.99083,0.99466,0.93392,0.96353,0.95646,0.94441,0.90643,0.35559,0.58615,0.00747,0.22497,0.81681,0.000127117,0.000127117,0.000127117
