kind,id,set,population,n_cand_at_0.001,top_conf,top_iou,top_R,top_t,top_corner,top_s5,detected_at_0.40,detected_at_tau,recovered
positive,1778651518865604096,eval_outside,REAL_DEV_OPEN_56,2,0.90568,0.8977,2.55,0.175,7.373,0,1,1,0
positive,1778651519235162880,eval_outside,REAL_DEV_OPEN_56,3,0.88663,0.9155,1.363,0.2206,8.2,0,1,1,0
positive,1778651530691638016,eval_outside,REAL_DEV_OPEN_56,2,0.87047,0.8662,1.168,0.1082,6.634,0,1,1,0
positive,1778651569891693056,eval_outside,REAL_DEV_OPEN_56,2,0.5799,0.2115,4.34,6.4546,96.913,0,1,1,0
positive,1778651579029250816,eval_outside,REAL_DEV_OPEN_56,2,0.51581,0.217,5.54,6.706,99.69,0,1,1,0
positive,1778651618049498624,eval_outside,REAL_DEV_OPEN_56,7,0.44769,0.416,12.614,4.7279,56.209,0,1,1,0
positive,1778651650570397184,eval_outside,REAL_DEV_OPEN_56,8,0.06578,0.3368,13.938,5.2756,78.193,0,0,1,1
positive,1778651650839160832,eval_outside,REAL_DEV_OPEN_56,6,0.19104,0.2693,8.052,4.9306,91.471,0,0,1,1
positive,1778651651444080384,eval_outside,REAL_DEV_OPEN_56,4,0.13109,0.5709,7.763,1.2899,60.858,0,0,1,1
positive,1778653337772735232,eval_outside,REAL_DEV_OPEN_56,6,0.0844,0.4249,2.671,5.0161,38.881,0,0,1,1
positive,1778653345465966336,eval_outside,REAL_DEV_OPEN_56,3,0.15395,0.7569,0.961,0.018,4.048,1,0,1,1
positive,1778653364045039360,eval_outside,REAL_DEV_OPEN_56,4,0.74844,0.9444,4.908,0.0464,10.684,1,1,1,0
positive,1778653367706938112,eval_outside,REAL_DEV_OPEN_56,13,0.47698,0.9144,8.355,0.0808,14.518,0,1,1,0
positive,1778653378457989888,eval_outside,REAL_DEV_OPEN_56,6,0.8607,0.8694,8.18,0.068,14.605,0,1,1,0
positive,1778653455932024064,eval_outside,REAL_DEV_OPEN_56,3,0.79582,0.9409,3.408,0.0538,6.043,0,1,1,0
positive,1778653498432396288,eval_outside,REAL_DEV_OPEN_56,6,0.90994,0.909,3.28,0.2608,5.886,0,1,1,0
positive,1778653508779767808,eval_outside,REAL_DEV_OPEN_56,13,0.59331,0.8852,4.542,0.2939,5.468,0,1,1,0
positive,1778653522084302848,eval_outside,REAL_DEV_OPEN_56,7,0.87803,0.7753,1.99,0.0571,3.301,0,1,1,0
positive,1778653526955536896,eval_outside,REAL_DEV_OPEN_56,5,0.33274,0.9043,4.33,0.1246,6.095,0,0,1,1
positive,1778653539789436160,eval_outside,REAL_DEV_OPEN_56,2,0.94363,0.8283,1.949,0.0225,3.854,1,1,1,0
positive,1778653540259983104,eval_outside,REAL_DEV_OPEN_56,2,0.94777,0.9194,1.078,0.0296,4.234,1,1,1,0
positive,1778653545299653120,eval_outside,REAL_DEV_OPEN_56,1,0.9273,0.9168,0.979,0.054,11.386,0,1,1,0
positive,1775201414728017664,eval_noapril,REAL_DEV_OPEN_56,1,0.9614,0.9327,1.557,0.0285,4.83,1,1,1,0
positive,1775201415399297536,eval_noapril,REAL_DEV_OPEN_56,1,0.89294,0.9508,2.241,0.0295,3.859,1,1,1,0
positive,1775201416944730624,eval_noapril,REAL_DEV_OPEN_56,1,0.95172,0.9494,0.441,0.0242,3.707,1,1,1,0
positive,1775201418120676608,eval_noapril,REAL_DEV_OPEN_56,1,0.9332,0.9649,0.917,0.0343,2.17,1,1,1,0
positive,1775201421043401984,eval_noapril,REAL_DEV_OPEN_56,1,0.95763,0.9675,0.559,0.0141,1.995,1,1,1,0
positive,1775201428535961600,eval_noapril,REAL_DEV_OPEN_56,1,0.94838,0.95,0.989,0.0304,2.33,1,1,1,0
positive,1775201429879521792,eval_noapril,REAL_DEV_OPEN_56,3,0.94938,0.9616,0.714,0.0387,2.333,1,1,1,0
positive,1775201430551447040,eval_noapril,REAL_DEV_OPEN_56,1,0.96383,0.9447,1.48,0.0813,3.882,0,1,1,0
