fid,set,population,n_cand,native_iou,native_R,native_t,native_s5,cv_feature,cv_rank_chosen,cv_iou,cv_R,cv_t,cv_s5
1778651518865604096,eval_outside,REAL_DEV_OPEN_56,2,0.8977,2.55,0.175,0,box_diag,0,0.8977,2.55,0.175,0
1778651519235162880,eval_outside,REAL_DEV_OPEN_56,3,0.9155,1.363,0.2206,0,box_diag,0,0.9155,1.363,0.2206,0
1778651530691638016,eval_outside,REAL_DEV_OPEN_56,2,0.8662,1.168,0.1082,0,box_diag,0,0.8662,1.168,0.1082,0
1778651569891693056,eval_outside,REAL_DEV_OPEN_56,2,0.2115,4.34,6.4546,0,box_diag,0,0.2115,4.34,6.4546,0
1778651579029250816,eval_outside,REAL_DEV_OPEN_56,2,0.217,5.54,6.706,0,box_diag,0,0.217,5.54,6.706,0
1778651618049498624,eval_outside,REAL_DEV_OPEN_56,7,0.416,12.614,4.7279,0,box_diag,2,0.843,2.238,0.1681,0
1778651650570397184,eval_outside,REAL_DEV_OPEN_56,8,0.3368,13.938,5.2756,0,box_diag,1,0.7598,6.258,0.2482,0
1778651650839160832,eval_outside,REAL_DEV_OPEN_56,6,0.2693,8.052,4.9306,0,box_diag,5,0.7508,10.864,0.7109,0
1778651651444080384,eval_outside,REAL_DEV_OPEN_56,4,0.5709,7.763,1.2899,0,box_diag,0,0.5709,7.763,1.2899,0
1778653337772735232,eval_outside,REAL_DEV_OPEN_56,6,0.4249,2.671,5.0161,0,box_diag,0,0.4249,2.671,5.0161,0
1778653345465966336,eval_outside,REAL_DEV_OPEN_56,3,0.7569,0.961,0.018,1,box_diag,1,0.638,1.907,0.0242,1
1778653364045039360,eval_outside,REAL_DEV_OPEN_56,4,0.9444,4.908,0.0464,1,box_diag,1,0.921,4.86,0.0468,1
1778653367706938112,eval_outside,REAL_DEV_OPEN_56,13,0.9144,8.355,0.0808,0,box_diag,5,0.9181,8.412,0.0826,0
1778653378457989888,eval_outside,REAL_DEV_OPEN_56,6,0.8694,8.18,0.068,0,box_diag,1,0.8714,9.729,0.0791,0
1778653455932024064,eval_outside,REAL_DEV_OPEN_56,3,0.9409,3.408,0.0538,0,box_diag,1,0.9479,3.981,0.0597,0
1778653498432396288,eval_outside,REAL_DEV_OPEN_56,6,0.909,3.28,0.2608,0,box_diag,2,0.7442,14.362,0.0813,0
1778653508779767808,eval_outside,REAL_DEV_OPEN_56,13,0.8852,4.542,0.2939,0,box_diag,0,0.8852,4.542,0.2939,0
1778653522084302848,eval_outside,REAL_DEV_OPEN_56,7,0.7753,1.99,0.0571,0,box_diag,0,0.7753,1.99,0.0571,0
1778653526955536896,eval_outside,REAL_DEV_OPEN_56,5,0.9043,4.33,0.1246,0,box_diag,0,0.9043,4.33,0.1246,0
1778653539789436160,eval_outside,REAL_DEV_OPEN_56,2,0.8283,1.949,0.0225,1,box_diag,0,0.8283,1.949,0.0225,1
1778653540259983104,eval_outside,REAL_DEV_OPEN_56,2,0.9194,1.078,0.0296,1,box_diag,0,0.9194,1.078,0.0296,1
1778653545299653120,eval_outside,REAL_DEV_OPEN_56,1,0.9168,0.979,0.054,0,box_diag,0,0.9168,0.979,0.054,0
1775201414728017664,eval_noapril,REAL_DEV_OPEN_56,1,0.9327,1.557,0.0285,1,box_area,0,0.9327,1.557,0.0285,1
1775201415399297536,eval_noapril,REAL_DEV_OPEN_56,1,0.9508,2.241,0.0295,1,box_area,0,0.9508,2.241,0.0295,1
1775201416944730624,eval_noapril,REAL_DEV_OPEN_56,1,0.9494,0.441,0.0242,1,box_area,0,0.9494,0.441,0.0242,1
