fid,set,population,reproj,box_conf,kp_conf_mean,kp_conf_4th,Y0_R,Y0_t,Y0_adds,Y0_iou,Y0_s5,YH_R,YH_t,YH_adds,YH_iou,YH_s5,ORACLE_R,ORACLE_t,ORACLE_adds,ORACLE_iou,ORACLE_s5,hough_wins_R,hough_wins_5cm5
1778651518865604096,eval_outside,REAL_DEV_OPEN_56,7.9046685494281865,0.9056753516197205,0.9891473054885864,0.9935135841369629,2.5495684863111046,0.17496820119800588,0.1774434722091977,0.5026250118003006,0,5.1325091242668055,0.09990928661920234,0.11545766540125173,0.4677696935560574,0,2.5495684863111046,0.17496820119800588,0.1774434722091977,0.5026250118003006,0,0,0
1778651519235162880,eval_outside,REAL_DEV_OPEN_56,5.262988895821872,0.8866291046142578,0.9863203391432762,0.9926980137825012,1.3634646569901987,0.220635281737,0.22102542674461584,0.420575168705212,0,3.449917307014251,0.1666576799050452,0.17059062432903543,0.4812640628500528,0,1.3634646569901987,0.220635281737,0.22102542674461584,0.420575168705212,0,0,0
1778651530691638016,eval_outside,REAL_DEV_OPEN_56,1.8162888221697915,0.8704738616943359,0.9865352734923363,0.9913506507873535,1.167918370851895,0.10817274744525664,0.10882404550057538,0.678057763040395,0,4.128266674907005,0.07733684960341766,0.08842946986684969,0.5989379707001637,0,1.167918370851895,0.10817274744525664,0.10882404550057538,0.678057763040395,0,0,0
1778651569891693056,eval_outside,REAL_DEV_OPEN_56,4.3196365776439185,0.5799022912979126,0.9924656227231026,0.9924042820930481,4.3399748082804575,6.454554555224011,5.72613664009911,0.0,0,8.590125438191418,6.574137708090451,5.8459710934047076,0.0,0,4.3399748082804575,6.454554555224011,5.72613664009911,0.0,0,0,0
1778651579029250816,eval_outside,REAL_DEV_OPEN_56,3.9368572224648073,0.515810489654541,0.9910854622721672,0.990714430809021,5.539735843603599,6.706012905810748,5.970036631706938,0.0,0,5.812655016887224,6.68265728373757,5.946103789585434,0.0,0,5.539735843603599,6.706012905810748,5.970036631706938,0.0,0,0,0
1778651618049498624,eval_outside,REAL_DEV_OPEN_56,6.023063605956799,0.44768592715263367,0.9903024062514305,0.9910281300544739,12.614162949279828,4.727925335220528,4.1812707621423915,0.0,0,6.5560199646333395,4.25323900364099,3.7032671093452416,0.0,0,6.5560199646333395,4.25323900364099,3.7032671093452416,0.0,0,1,0
1778653364045039360,eval_outside,REAL_DEV_OPEN_56,7.987487730334756,0.7484413981437683,0.9770290032029152,0.9812590479850769,4.9083253482613625,0.0464398895253875,0.07964349424411646,0.8246361527437289,1,5.710606278141815,0.060031415720190724,0.09363104605806458,0.7529255535129747,0,4.9083253482613625,0.0464398895253875,0.07964349424411646,0.8246361527437289,1,0,0
1778653367706938112,eval_outside,REAL_DEV_OPEN_56,22.959393994851993,0.47698166966438293,0.976790226995945,0.9746252298355103,8.35460732172585,0.08083461360420821,0.13720153480844105,0.8126956384318235,0,5.954104417563305,0.0779102841422396,0.08220874040109746,0.3423383648640794,0,5.954104417563305,0.0779102841422396,0.08220874040109746,0.3423383648640794,0,1,0
1778653378457989888,eval_outside,REAL_DEV_OPEN_56,19.51922416459317,0.8607007265090942,0.9538338631391525,0.9551820158958435,8.180328907489105,0.06803373799421705,0.1306602590713708,0.7993079644376911,0,4.941190311875172,0.0431477053121324,0.0744081089483772,0.6602678554674605,1,4.941190311875172,0.0431477053121324,0.0744081089483772,0.6602678554674605,1,1,1
1778653455932024064,eval_outside,REAL_DEV_OPEN_56,5.674598377300782,0.7958157658576965,0.987687423825264,0.9817684888839722,3.408211757864635,0.05383627612968955,0.06531084504957069,0.8106129646170371,0,3.754017476823844,0.05024520547831045,0.06692613989656912,0.7533185727119355,0,3.408211757864635,0.05383627612968955,0.06531084504957069,0.8106129646170371,0,0,0
1778653498432396288,eval_outside,REAL_DEV_OPEN_56,1.5830703170954816,0.909935474395752,0.9930910021066666,0.992536187171936,3.2804816532702095,0.260814046131473,0.2633234847146563,0.4979945389045502,0,3.396752960286604,0.2631105419817276,0.26585664248482255,0.5294570144169893,0,3.2804816532702095,0.260814046131473,0.2633234847146563,0.4979945389045502,0,0,0
1778653508779767808,eval_outside,REAL_DEV_OPEN_56,3.0671889582169847,0.5933147668838501,0.9910966902971268,0.9904783964157104,4.542395877109798,0.29388670444433834,0.29806433877079713,0.4776403102547355,0,5.165248037768742,0.29187814689482294,0.29769130849377345,0.4805196753808053,0,4.542395877109798,0.29388670444433834,0.29806433877079713,0.4776403102547355,0,0,0
1778653522084302848,eval_outside,REAL_DEV_OPEN_56,0.8548824318440231,0.8780291676521301,0.991315484046936,0.9910020232200623,1.9896889902413568,0.05714515240442232,0.060992588005690344,0.6614265839514916,0,2.2831709434438414,0.057678995501350284,0.06263613084417025,0.6461267947269616,0,1.9896889902413568,0.05714515240442232,0.060992588005690344,0.6614265839514916,0,0,0
1778653539789436160,eval_outside,REAL_DEV_OPEN_56,5.895570347039161,0.9436296224594116,0.9927974343299866,0.9915047287940979,1.9485333322798246,0.02249747532482892,0.03312584926000037,0.9202629217556062,1,2.46127454789692,0.021296198079568545,0.036412584853460536,0.7823115159153929,1,1.9485333322798246,0.02249747532482892,0.03312584926000037,0.9202629217556062,1,0,0
1778653540259983104,eval_outside,REAL_DEV_OPEN_56,3.6055516660529148,0.9477716088294983,0.9928056448698044,0.9925166964530945,1.0780081370355914,0.029586921191789625,0.03200813859010966,0.8419395257638231,1,1.8850179823284037,0.0318447380383161,0.0381420828619713,0.7651820563658697,1,1.0780081370355914,0.029586921191789625,0.03200813859010966,0.8419395257638231,1,0,0
1778653545299653120,eval_outside,REAL_DEV_OPEN_56,9.466336742628648,0.9273043870925903,0.9900138229131699,0.9903301000595093,0.9786017941357047,0.05401752772581411,0.05508428899977999,0.8312675824188716,0,2.0956278938128277,0.04219668929005735,0.04802837323541778,0.7235911358471347,1,0.9786017941357047,0.05401752772581411,0.05508428899977999,0.8312675824188716,1,0,1
