epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5732,0.94731,2.07528,1.47826,1.17887,0.70756,0.6934,0.71825,0.49051,0.67757,0.64982,0.62025,0.37076,1.13934,2.37968,1.43064,1.44374,0.000473093,0.000473093,0.000473093
2,90.5508,1.00192,1.829,1.05179,1.17829,0.57497,0.71907,0.60103,0.36539,0.59582,0.77207,0.63902,0.3504,1.40182,2.23832,1.47277,1.62317,0.000947546,0.000947546,0.000947546
3,132.161,1.00634,1.74266,0.98437,1.2009,0.74694,0.46088,0.50895,0.34167,0.74411,0.46002,0.52045,0.28421,1.26354,2.42699,1.83931,1.57472,0.00142011,0.00142011,0.00142011
4,173.71,0.97161,1.70405,0.93232,1.1817,0.6803,0.77772,0.7708,0.58933,0.68821,0.78711,0.7822,0.52519,0.97486,1.83978,1.35122,1.26167,0.00142051,0.00142051,0.00142051
5,215.693,0.96744,1.65699,0.91252,1.17545,0.93797,0.56719,0.74449,0.55445,0.93797,0.56719,0.73205,0.50323,1.18032,1.53354,1.06376,1.42517,0.00141768,0.00141768,0.00141768
6,257.546,0.89447,1.58731,0.82855,1.12368,0.80431,0.7531,0.80192,0.60156,0.80431,0.7531,0.82054,0.57322,0.92333,1.29418,0.88868,1.20589,0.00141485,0.00141485,0.00141485
7,299.552,0.85388,1.44958,0.75774,1.10066,0.77657,0.73949,0.82463,0.63889,0.7775,0.73949,0.8282,0.60042,0.83056,1.11253,0.88691,1.1262,0.00141202,0.00141202,0.00141202
8,341.505,0.8556,1.5009,0.77061,1.10042,0.73253,0.77957,0.83239,0.63256,0.72753,0.77552,0.824,0.56775,0.80666,1.34216,0.97447,1.10004,0.00140919,0.00140919,0.00140919
9,383.655,0.82394,1.4183,0.73098,1.07508,0.82489,0.89794,0.87514,0.69435,0.82489,0.89794,0.87395,0.6669,0.87788,1.0624,0.81571,1.13182,0.00140636,0.00140636,0.00140636
10,425.785,0.80854,1.42404,0.71622,1.06899,0.85233,0.85457,0.89814,0.70081,0.85233,0.85457,0.89693,0.6847,0.77091,1.16526,0.6458,1.03548,0.00140354,0.00140354,0.00140354
11,467.818,0.81264,1.41112,0.71193,1.06695,0.90398,0.78625,0.87,0.68882,0.90398,0.78625,0.8704,0.67188,0.78035,0.95449,0.82581,1.05318,0.00140071,0.00140071,0.00140071
12,509.752,0.77691,1.35921,0.68357,1.0521,0.80134,0.82725,0.88119,0.71105,0.79276,0.81614,0.87657,0.63932,0.80833,1.37548,0.75867,1.09444,0.00139788,0.00139788,0.00139788
13,551.615,0.73672,1.31911,0.64746,1.03847,0.94885,0.8972,0.92327,0.75717,0.94885,0.8972,0.92327,0.70548,0.788,1.17115,0.65703,1.04291,0.00139505,0.00139505,0.00139505
14,593.136,0.75601,1.29719,0.63769,1.03614,0.87557,0.86548,0.92163,0.73168,0.87016,0.85993,0.92083,0.70124,0.68818,0.99371,0.62444,1.01648,0.00139222,0.00139222,0.00139222
15,634.897,0.73488,1.25521,0.62353,1.03115,0.85407,0.79477,0.91515,0.75276,0.85407,0.79477,0.91535,0.73391,0.82253,0.90664,0.70416,1.06001,0.00138939,0.00138939,0.00138939
16,676.513,0.72833,1.28262,0.6159,1.02799,0.92216,0.89406,0.93345,0.76208,0.91679,0.88851,0.92658,0.72598,0.79155,1.16823,0.67406,1.07181,0.00138656,0.00138656,0.00138656
17,718.28,0.73475,1.31688,0.6093,1.02789,0.84861,0.9047,0.9148,0.78518,0.87822,0.89118,0.91869,0.74749,0.64404,0.88331,0.62945,0.99336,0.00138373,0.00138373,0.00138373
18,760.054,0.72972,1.26043,0.59593,1.02314,0.91565,0.9294,0.96004,0.79489,0.91565,0.9294,0.96004,0.7606,0.69373,0.90947,0.57601,0.99049,0.0013809,0.0013809,0.0013809
19,801.979,0.72823,1.27234,0.59338,1.0265,0.8426,0.91268,0.90502,0.71245,0.8426,0.91268,0.91505,0.74591,0.63288,0.81208,0.58149,0.95368,0.00137807,0.00137807,0.00137807
20,843.807,0.683,1.18906,0.55098,1.00371,0.9036,0.90466,0.94989,0.81008,0.8986,0.89996,0.94375,0.73089,0.69678,1.1185,0.51744,0.97497,0.00137524,0.00137524,0.00137524
21,885.531,0.70061,1.21506,0.57241,1.02051,0.95871,0.8695,0.94628,0.81114,0.95871,0.8695,0.94628,0.7751,0.65388,0.79689,0.52817,0.96147,0.00137241,0.00137241,0.00137241
22,927.524,0.70177,1.20719,0.56927,1.01299,0.80201,0.90408,0.91689,0.77443,0.80334,0.90534,0.91717,0.75184,0.66097,0.88477,0.69513,0.98962,0.00136958,0.00136958,0.00136958
23,968.957,0.66476,1.1609,0.53977,0.98941,0.93147,0.88429,0.93436,0.78523,0.93147,0.88429,0.93459,0.75518,0.66962,0.80984,0.56568,0.96322,0.00136675,0.00136675,0.00136675
24,1011.02,0.64882,1.15847,0.52447,0.98106,0.9433,0.92515,0.94825,0.81436,0.9433,0.92515,0.94825,0.7823,0.63655,0.82408,0.55316,0.94264,0.00136392,0.00136392,0.00136392
25,1052.65,0.68349,1.1754,0.54331,1.00307,0.90529,0.91635,0.93094,0.80081,0.90529,0.91635,0.93094,0.76568,0.62285,0.813,0.65496,0.9953,0.00136109,0.00136109,0.00136109
26,1094.27,0.67757,1.15067,0.54565,0.99712,0.94373,0.92488,0.93203,0.85218,0.94373,0.92488,0.93203,0.78191,0.55824,0.70168,0.54582,0.95035,0.00135826,0.00135826,0.00135826
27,1135.99,0.65809,1.13864,0.52355,0.98475,0.95544,0.90728,0.9762,0.83675,0.95544,0.90728,0.97643,0.79284,0.60202,0.89064,0.50496,0.95595,0.00135544,0.00135544,0.00135544
28,1177.96,0.65064,1.12838,0.5202,0.98216,0.92893,0.9047,0.97073,0.82872,0.92444,0.90001,0.96586,0.76453,0.64865,0.86893,0.50473,0.93741,0.00135261,0.00135261,0.00135261
29,1220.04,0.65699,1.08494,0.54094,0.99004,0.94324,0.91406,0.95395,0.82437,0.94324,0.91406,0.95395,0.77255,0.60677,0.87568,0.52194,0.97188,0.00134978,0.00134978,0.00134978
30,1262.08,0.64987,1.11631,0.5113,0.98278,0.92763,0.93658,0.95687,0.83797,0.92763,0.93658,0.95687,0.79501,0.59956,0.83622,0.52045,0.94957,0.00134695,0.00134695,0.00134695
31,1304.34,0.65116,1.12471,0.52812,0.98747,0.95263,0.92419,0.94649,0.80579,0.95263,0.92419,0.94659,0.76041,0.60242,0.74421,0.52822,0.96318,0.00134412,0.00134412,0.00134412
32,1346.53,0.64344,1.13926,0.51607,0.97738,0.95987,0.93658,0.9336,0.83032,0.95987,0.93658,0.9336,0.7761,0.53829,0.84665,0.49968,0.91259,0.00134129,0.00134129,0.00134129
