epoch,criterion,identity,rot90,rot180,rot270
0,one2many,8300,390,0,102
0,one2one,832,38,0,11
1,one2many,8789,420,0,80
1,one2one,879,42,0,9
0,one2many,8690,60,0,42
0,one2one,870,7,0,4
1,one2many,9149,110,0,30
1,one2one,915,10,1,4
2,one2many,8758,80,0,30
2,one2one,874,9,1,3
3,one2many,8916,80,0,37
3,one2one,892,9,0,4
4,one2many,9076,60,0,30
4,one2one,907,7,0,4
5,one2many,8670,90,0,20
5,one2one,866,10,0,2
6,one2many,8710,70,0,50
6,one2one,872,7,0,4
7,one2many,8506,30,0,200
7,one2one,851,4,0,20
8,one2many,8600,20,0,460
8,one2one,858,3,0,47
9,one2many,8654,100,0,170
9,one2one,869,8,0,16
10,one2many,8774,120,0,100
10,one2one,878,13,0,9
11,one2many,8760,100,0,150
11,one2one,876,10,0,15
12,one2many,8477,240,0,40
12,one2one,849,22,0,5
13,one2many,8332,260,0,50
13,one2one,833,26,0,6
14,one2many,8612,660,10,80
14,one2one,859,70,0,9
15,one2many,8070,730,0,79
15,one2one,805,75,0,8
16,one2many,8390,710,0,10
16,one2one,839,71,0,1
17,one2many,8380,880,0,0
17,one2one,837,89,0,0
18,one2many,8261,900,0,0
18,one2one,826,91,0,0
19,one2many,7999,810,0,0
19,one2one,801,81,0,0
20,one2many,8469,720,0,30
20,one2one,847,72,0,3
21,one2many,8487,740,0,20
21,one2one,850,73,0,2
22,one2many,8251,628,0,70
22,one2one,825,63,0,8
23,one2many,8268,620,0,40
23,one2one,827,62,0,4
24,one2many,8264,470,0,60
24,one2one,830,45,0,5
25,one2many,8113,630,0,60
25,one2one,813,63,0,5
26,one2many,8320,560,0,90
26,one2one,832,56,0,9
27,one2many,7984,666,0,100
27,one2one,800,66,0,10
28,one2many,8504,650,0,51
28,one2one,854,63,0,5
29,one2many,8335,680,0,50
29,one2one,834,68,0,5
30,one2many,8296,610,0,140
30,one2one,831,60,0,14
31,one2many,8357,560,0,110
31,one2one,836,55,0,12
32,one2many,8528,730,0,110
32,one2one,853,73,0,11
33,one2many,7778,880,0,50
33,one2one,778,88,0,5
34,one2many,8288,900,0,60
34,one2one,828,91,0,6
35,one2many,8089,860,10,60
35,one2one,809,87,0,6
36,one2many,8298,680,0,20
36,one2one,828,70,0,2
37,one2many,8260,570,0,30
37,one2one,827,57,0,2
38,one2many,8320,550,0,80
38,one2one,831,56,0,8
39,one2many,8309,730,0,30
39,one2one,830,74,0,3
40,one2many,8050,834,0,70
40,one2one,806,84,0,6
41,one2many,8045,890,0,40
41,one2one,805,90,0,3
42,one2many,8068,830,0,50
42,one2one,808,83,0,5
43,one2many,8368,850,0,50
43,one2one,835,86,0,6
44,one2many,7942,840,0,20
44,one2one,795,84,0,2
45,one2many,8028,850,0,20
45,one2one,803,86,0,2
46,one2many,8048,820,0,78
46,one2one,807,82,0,7
47,one2many,8065,920,0,40
47,one2one,807,92,0,4
48,one2many,8206,780,0,20
48,one2one,820,79,0,2
49,one2many,7860,880,0,60
49,one2one,788,88,0,4
50,one2many,7970,890,0,30
50,one2one,797,89,0,3
51,one2many,8098,880,0,10
51,one2one,807,90,0,2
52,one2many,8069,850,0,40
52,one2one,805,86,0,5
53,one2many,7738,910,0,30
53,one2one,774,91,0,3
54,one2many,8461,770,0,62
54,one2one,850,77,0,4
55,one2many,8170,910,0,40
55,one2one,818,90,0,4
56,one2many,8552,810,0,20
56,one2one,856,80,0,3
57,one2many,8060,880,0,20
57,one2one,807,87,0,2
58,one2many,7828,930,0,10
58,one2one,783,92,0,2
59,one2many,8096,820,0,70
59,one2one,812,81,0,6
60,one2many,7966,850,0,70
60,one2one,796,86,0,7
61,one2many,7920,920,0,60
61,one2one,792,93,0,6
62,one2many,8047,760,0,10
62,one2one,806,76,0,1
63,one2many,8050,910,0,30
63,one2one,806,91,0,2
64,one2many,8109,880,0,50
64,one2one,811,89,0,5
65,one2many,8058,790,0,20
65,one2one,806,79,0,2
66,one2many,8138,850,0,20
66,one2one,814,85,0,2
67,one2many,7852,900,0,20
67,one2one,786,90,0,2
68,one2many,8227,930,0,10
68,one2one,822,94,0,1
69,one2many,8299,870,0,30
69,one2one,830,87,0,3
70,one2many,8177,840,0,70
70,one2one,817,85,0,7
71,one2many,8297,747,0,60
71,one2one,829,76,0,6
72,one2many,8260,685,0,40
72,one2one,828,68,0,3
73,one2many,8315,640,0,70
73,one2one,832,64,0,7
74,one2many,7854,780,0,60
74,one2one,787,78,1,5
75,one2many,8203,690,0,67
75,one2one,821,70,0,6
76,one2many,7979,810,0,46
76,one2one,798,81,0,5
77,one2many,8129,710,0,40
77,one2one,813,71,0,4
78,one2many,8257,700,0,50
78,one2one,825,71,0,5
79,one2many,8084,840,0,40
79,one2one,808,85,0,4
80,one2many,7859,700,0,30
80,one2one,786,70,0,3
81,one2many,8319,700,0,50
81,one2one,833,70,0,5
82,one2many,8385,720,0,50
82,one2one,839,72,0,5
83,one2many,8093,670,0,70
83,one2one,810,67,0,7
84,one2many,8280,770,0,40
84,one2one,827,78,0,4
85,one2many,8157,810,0,40
85,one2one,816,81,0,4
86,one2many,8166,700,0,30
86,one2one,817,70,0,3
87,one2many,8047,850,0,50
87,one2one,806,85,0,4
88,one2many,7900,740,0,60
88,one2one,791,75,0,5
89,one2many,8049,720,0,70
89,one2one,805,72,0,7
90,one2many,7960,750,0,50
90,one2one,796,75,0,5
91,one2many,8035,790,0,60
91,one2one,804,79,0,6
92,one2many,8088,760,0,40
92,one2one,809,77,0,3
93,one2many,8360,810,0,60
93,one2one,835,81,0,7
94,one2many,7657,830,0,80
94,one2one,767,83,0,8
95,one2many,8425,720,0,50
95,one2one,843,72,0,5
96,one2many,7884,820,0,30
96,one2one,789,82,0,3
97,one2many,8046,900,0,60
97,one2one,806,90,0,5
98,one2many,8323,790,0,80
98,one2one,834,79,0,7
99,one2many,8176,850,0,60
99,one2one,818,86,0,5
100,one2many,8260,720,0,60
100,one2one,827,72,0,6
101,one2many,8045,810,0,70
101,one2one,806,80,0,7
102,one2many,7978,750,0,60
102,one2one,798,75,0,6
103,one2many,8163,800,0,30
103,one2one,817,80,0,3
104,one2many,8110,760,0,40
104,one2one,808,76,1,6
105,one2many,7939,970,0,30
105,one2one,797,96,0,2
106,one2many,8488,880,0,40
106,one2one,850,88,0,3
107,one2many,7480,820,0,30
107,one2one,748,82,0,3
108,one2many,8396,980,0,30
108,one2one,840,98,0,3
109,one2many,7898,840,0,10
109,one2one,790,84,0,1
110,one2many,6280,680,0,0
110,one2one,628,68,0,0
111,one2many,6300,660,0,0
111,one2one,630,66,0,0
112,one2many,6300,660,0,0
112,one2one,630,66,0,0
113,one2many,6280,680,0,0
113,one2one,628,68,0,0
114,one2many,6270,690,0,0
114,one2one,627,69,0,0
115,one2many,6290,670,0,0
115,one2one,629,67,0,0
116,one2many,6280,680,0,0
116,one2one,628,68,0,0
117,one2many,6270,690,0,0
117,one2one,627,69,0,0
118,one2many,6270,690,0,0
118,one2one,627,69,0,0
119,one2many,6280,680,0,0
119,one2one,628,68,0,0
