arm,median_px,near_median_px,far_median_px,f2_far_median_px,f2_far_signed_bias_px,p90_px,tail_gt20,tail_gt50,tail_gt100,nan_err,pose_success,yaw_median_deg,reproj_median_px,proposal_share
oracle_exact,10.687266732427526,5.506942453921459,19.00198279105643,36.93595286217345,18.17913135561475,80.58307258889019,168,95,38,177,70,5.132483669299859,20.70806399980406,0.1752873563218391
oracle_margin,10.767860951233908,5.715460960815219,19.095572558238644,36.93595286217345,18.117022644313455,80.58307258889019,170,95,38,177,70,5.043284037084462,20.528222616344543,0.13505747126436782
