arm,median_px,near_median_px,far_median_px,f2_far_median_px,f2_far_signed_bias_px,p90_px,tail_gt20,tail_gt50,tail_gt100,nan_err,pose_success,yaw_median_deg,reproj_median_px
C0,13.244332822618203,6.884772017265821,22.0766804554178,44.59261722264212,20.58383941627344,101.15753345824405,203,120,54,177,70,5.707824893286087,24.913783596875888
C1base,13.948112641944777,7.674739354288975,24.31982335919223,44.92533394420943,19.907578229043942,103.24609054941195,215,137,59,157,68,5.861017294149022,25.028923559699702
Pargmax,80.0731411467351,17.871765441612105,119.9097285751018,161.92387514085522,71.5692932415024,332.21838464974627,453,387,317,13,87,47.1865216333311,112.1110700205092
Plocal,80.1464101164069,16.288811069145396,117.93821580418295,162.38571854587673,71.26094037361159,329.559385322911,455,388,314,13,87,41.451001181870566,115.06912167993772
Pdsnt,115.89478208610872,109.93178080494656,119.65400530082292,135.07687196063483,82.0832122829115,254.6105256551811,611,533,384,13,86,28.827718175912707,121.46839242028673
