arm,f2_far_median_px,f2_far_signed_bias_px,f2_near_median_px,near_median_px,tail_gt20,tail_gt50,weak_corner_n,confident_wrong_n,pose_success,reproj_median_px,yaw_median_deg,nan_err
C0,44.59261722264212,20.58383941627344,7.864175600286861,6.884772017265821,203,120,115,181,70,23.161628981707747,6.025215545151966,177
C1-base,44.92533394420943,19.907578229043942,6.818072358509536,7.674739354288975,215,137,99,170,69,25.57199829303609,5.968954007459416,157
C1-proposal,160.34204873775462,71.57265416514025,16.49238549928564,18.97410419941569,462,387,0,282,87,108.30000937070143,42.58577355727709,13
C1-refined,44.92533394365819,19.90757822905374,6.818072358509536,7.674739354288975,215,137,99,170,69,25.57199829303609,5.968954007459416,157
