group,n,proposal_better,better_by_3px,better_by_10px,median_base_px,median_proposal_px
all,519,0.2350674373795761,0.1811175337186898,0.09826589595375723,13.244332822618203,58.75117896968751
far,270,0.17777777777777778,0.16296296296296298,0.08888888888888889,22.0766804554178,113.39442466102338
near,249,0.2971887550200803,0.20080321285140562,0.10843373493975904,6.884772017265821,11.780377307436064
F2,268,0.2537313432835821,0.21641791044776118,0.13059701492537312,27.231890337845872,96.1013042281939
confident_wrong,181,0.3425414364640884,0.32044198895027626,0.2265193370165746,61.57845810976553,140.23046939777632
