recording_a,recording_b,session_a,session_b,geometric_match_inliers,geometric_match_inlier_ratio,background_colour_similarity,camera_intrinsics_same,resolution_same,lighting_a,lighting_b,provenance_relation,automatic_grade
REC_007,REC_041,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/outside/capturepallet05,77,0.5833,0.5419,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_038,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/outside/capturepallet02,75,0.8333,0.4234,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_028,REC_040,data/pallet/raw_data/outside/capturepallet10,data/pallet/raw_data/outside/capturepallet03,71,0.5547,0.3424,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_038,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/outside/capturepallet02,69,0.8118,0.5292,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_040,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/outside/capturepallet03,69,0.8625,0.5068,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_007,REC_040,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/outside/capturepallet03,66,0.569,0.4416,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_041,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/outside/capturepallet05,66,0.8919,0.4884,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_029,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/night/capturenight07,64,0.6957,0.8345,False,True,night,night,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_021,REC_038,data/pallet/raw_data/outside/capturepalletcad,data/pallet/raw_data/outside/capturepallet02,63,0.6364,0.511,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_021,REC_040,data/pallet/raw_data/outside/capturepalletcad,data/pallet/raw_data/outside/capturepallet03,63,0.6923,0.5086,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_011,REC_021,data/pallet/raw_data/outside/capturepallet11,data/pallet/raw_data/outside/capturepalletcad,59,0.513,0.5308,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_036,REC_044,data/pallet/raw_data/capture0403middle,data/pallet/raw_data/capture0403noapril,59,0.8194,0.9444,False,True,unknown,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_031,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/capture03,57,0.5758,0.3328,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_007,REC_011,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/outside/capturepallet11,56,0.6222,0.6615,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_038,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/outside/capturepallet02,55,0.7333,0.4574,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_041,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/outside/capturepallet05,55,0.7746,0.5947,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_013,REC_026,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174925,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174126,52,0.6667,0.8842,False,True,unknown,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
