image_path,source_recording,lighting,full_valid_ratio_strict,full_valid_ratio_loose,zero_ratio,saturated_ratio,has_roi,bbox_valid_ratio,hull_valid_ratio,roi_valid_pixels,roi_pixels,largest_component_ratio,usable_support
data/pallet/raw_data/night/capturenight01/rgb/1779448556736988160.png,capturenight01,night,0.8097819010416667,0.9043684895833334,0.09563151041666666,0.09458658854166667,True,1.0,1.0,1263,1263,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448557470275584.png,capturenight01,night,0.8037662760416666,0.9043717447916667,0.09562825520833333,0.10060546875,True,1.0,1.0,1403,1403,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448557903872256.png,capturenight01,night,0.8036197916666666,0.9024739583333333,0.09752604166666666,0.09885416666666667,True,1.0,1.0,1217,1217,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448558337433088.png,capturenight01,night,0.7868977864583333,0.9044466145833333,0.09555338541666666,0.117548828125,True,1.0,1.0,1309,1309,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448558837801984.png,capturenight01,night,0.8153450520833333,0.9138671875,0.0861328125,0.09852213541666667,True,1.0,1.0,1256,1256,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448560138961152.png,capturenight01,night,0.812509765625,0.9122623697916666,0.08773763020833333,0.09975260416666666,True,1.0,1.0,1319,1319,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448561839908608.png,capturenight01,night,0.8302864583333334,0.9099446614583333,0.09005533854166667,0.079658203125,True,1.0,1.0,1719,1719,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448561940019200.png,capturenight01,night,0.81033203125,0.91095703125,0.08904296875,0.100625,True,1.0,1.0,1544,1544,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448562373650432.png,capturenight01,night,0.8100325520833334,0.908681640625,0.091318359375,0.09864908854166667,True,1.0,1.0,1625,1625,1.0,True
data/pallet/raw_data/night/capturenight01/rgb/1779448564108194816.png,capturenight01,night,0.8770345052083334,0.9525748697916666,0.04742513020833333,0.07554036458333334,True,0.9994620763851533,0.999490575649516,1962,1963,0.999490575649516,True
