source_recording,lighting,rgb_root,depth_root,rgb_count,depth_count,rgb_resolution,depth_resolution,rgb_dtype,depth_dtype,camera_metadata_path,session_metadata_path,color_intrinsics_available,depth_intrinsics_available,extrinsics_available,depth_scale_available,depth_scale_value,depth_scale_source,alignment_status,timestamp_source
capturepallet01,day,data/pallet/raw_data/outside/capturepallet01/rgb,data/pallet/raw_data/outside/capturepallet01/depth,42,42,640x480,640x480,uint8,uint16,data/pallet/raw_data/outside/capturepallet01/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturepallet10,day,data/pallet/raw_data/outside/capturepallet10/rgb,data/pallet/raw_data/outside/capturepallet10/depth,613,613,640x480,640x480,uint8,uint16,data/pallet/raw_data/outside/capturepallet10/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturepallet11,day,data/pallet/raw_data/outside/capturepallet11/rgb,data/pallet/raw_data/outside/capturepallet11/depth,1572,1572,640x480,640x480,uint8,uint16,data/pallet/raw_data/outside/capturepallet11/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturenight01,night,data/pallet/raw_data/night/capturenight01/rgb,data/pallet/raw_data/night/capturenight01/depth,1254,1254,640x480,640x480,uint8,uint16,data/pallet/raw_data/night/capturenight01/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturenight02,night,data/pallet/raw_data/night/capturenight02/rgb,data/pallet/raw_data/night/capturenight02/depth,782,782,640x480,640x480,uint8,uint16,data/pallet/raw_data/night/capturenight02/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturenight03,night,data/pallet/raw_data/night/capturenight03/rgb,data/pallet/raw_data/night/capturenight03/depth,1219,1219,640x480,640x480,uint8,uint16,data/pallet/raw_data/night/capturenight03/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturenight04,night,data/pallet/raw_data/night/capturenight04/rgb,data/pallet/raw_data/night/capturenight04/depth,1075,1075,640x480,640x480,uint8,uint16,data/pallet/raw_data/night/capturenight04/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
capturenight10,night,data/pallet/raw_data/night/capturenight10/rgb,data/pallet/raw_data/night/capturenight10/depth,1474,1474,640x480,640x480,uint8,uint16,data/pallet/raw_data/night/capturenight10/cam_K.txt,,True,False,False,True,0.001,repository consumer contract (see DEPTH_SCALE_AUDIT),ALIGNMENT_UNKNOWN,"filename stem, nanosecond integer"
