rec,light,roi_px,z_med,spread_p10_p90_cm,ring_minus_roi_cm
capturepallet10,day,3610,4.884000301361084,517.3000335693359,197.49999046325684
capturepallet11,day,35490,0.7100000381469727,44.880000352859795,-1.4999985694885254
capturepallet11,day,58800,1.0360000133514404,49.39999580383301,532.2999954223633
capturepallet11,day,4914,4.884000301361084,787.3000144958496,336.5999698638916
capturepallet11,day,1932,7.728000164031982,574.1000175476074,211.80005073547363
capturepallet01,day,890,23.48000144958496,2137.6002311706543,-698.1000900268555
capturepallet10,day,3096,9.392000198364258,1123.6000061035156,-14.200019836425781
capturepallet11,day,1008,6.636000156402588,484.69996452331543,80.9000015258789
capturepallet10,day,1859,7.827000141143799,411.8000030517578,89.40005302429199
capturepallet11,day,119919,0.5360000133514404,41.79999828338623,1596.3000297546387
capturepallet11,day,630,9.539000511169434,701.6000747680664,-14.700031280517578
capturepallet11,day,5950,3.7680001258850098,533.9000463485718,136.19999885559082
capturepallet11,day,1284,10.347000122070312,797.6600837707518,211.20004653930664
capturepallet11,day,5096,4.299000263214111,653.2200098037719,219.5000171661377
capturepallet11,day,3140,5.402000427246094,593.6000823974609,263.0999565124512
capturepallet11,day,56291,0.38100001215934753,3.999999165534973,-0.7999986410140991
capturepallet10,day,1254,7.631000518798828,337.320051193238,50.89998245239258
capturepallet10,day,1130,10.175000190734863,451.0000228881836,92.50001907348633
capturepallet11,day,7279,3.196000099182129,188.6000156402588,73.00000190734863
capturepallet11,day,3140,6.044000148773193,675.0000953674316,220.59998512268066
capturepallet10,day,1260,8.25,407.3999881744385,128.90005111694336
capturepallet11,day,1946,7.728000164031982,610.5000495910645,166.40000343322754
capturepallet11,day,5994,3.8400001525878906,542.9000377655029,146.89998626708984
capturepallet10,day,585,11.305000305175781,732.1600151062012,-357.7000141143799
capturepallet10,day,1729,8.032999992370605,416.70007705688477,81.50005340576172
capturepallet11,day,27968,1.4160000085830688,70.59999704360962,21.000003814697266
capturepallet11,day,8768,2.993000030517578,289.2000198364258,82.30001926422119
capturepallet10,day,820,7.631000518798828,380.20005226135254,121.70000076293945
capturepallet11,day,3657,5.130000114440918,781.8000793457031,231.5000057220459
capturepallet11,day,70110,0.4150000214576721,35.099998116493225,-2.799999713897705
capturepallet10,day,3111,5.927000045776367,525.6000518798828,200.10004043579102
capturepallet11,day,82593,0.35500001907348633,40.50000011920929,-1.3999998569488525
capturepallet10,day,1476,5.653000354766846,426.9500255584717,105.5999755859375
capturepallet10,day,768,4.456000328063965,265.80004692077637,190.29998779296875
capturepallet11,day,6048,3.864000082015991,588.3000135421753,139.90004062652588
capturepallet11,day,9240,2.9210002422332764,204.39999103546143,80.09998798370361
capturepallet10,day,1430,8.848000526428223,480.30004501342773,69.0999984741211
capturepallet11,day,31919,1.5190000534057617,55.09999990463257,3.7999987602233887
capturepallet11,day,620,9.539000511169434,726.0000228881836,30.700016021728516
capturepallet11,day,6440,3.888000249862671,576.1999845504761,95.70000171661377
capturepallet11,day,608,7.26800012588501,411.8000030517578,55.900001525878906
capturepallet10,day,824,7.3550004959106445,305.40003776550293,8.999967575073242
capturepallet11,day,621,7.5370001792907715,467.20008850097656,28.999996185302734
capturepallet10,day,2736,6.1050004959106445,586.6000652313232,182.29999542236328
capturepallet10,day,1360,4.845000267028809,425.7600212097179,-54.60000038146973
capturepallet11,day,3230,4.963000297546387,387.4000549316406,213.6000156402588
capturepallet11,day,9360,2.2360000610351562,74.10001754760742,-0.7999897003173828
capturepallet11,day,45280,1.2880001068115234,63.80000114440918,262.5
capturepallet11,day,1974,7.728000164031982,563.5000228881836,211.80005073547363
capturepallet11,day,1905,7.445000171661377,575.5000591278076,240.10004997253418
capturepallet11,day,6291,3.5490002632141113,872.3000049591064,210.40000915527344
capturepallet11,day,6156,3.7920002937316895,564.3000364303589,133.79998207092285
capturepallet11,day,1921,5.26300048828125,727.400016784668,227.39996910095215
capturepallet11,day,980,5.045000076293945,326.800012588501,-19.999980926513672
capturepallet11,day,1023,6.426000118255615,392.4600124359134,67.30003356933594
capturepallet10,day,728,11.519001007080078,860.3000640869141,-529.0000915527344
capturepallet11,day,620,11.970000267028809,701.2001037597656,0.0
capturepallet11,day,6328,3.81600022315979,487.50007152557373,127.10001468658447
capturepallet11,day,15594,2.2360000610351562,92.40000247955322,8.500003814697266
capturepallet11,day,14719,2.3390002250671387,75.3000020980835,51.399993896484375
capturepallet11,day,1050,7.182000160217285,442.10004806518555,54.60000038146973
capturepallet11,day,14235,2.2780001163482666,71.09999656677246,64.30001258850098
capturepallet11,day,5590,3.864000082015991,520.6200504303025,184.10003185272217
capturepallet11,day,3630,5.045000076293945,691.3000106811523,131.4000129699707
capturepallet11,day,638,8.598000526428223,628.000020980835,174.89995956420898
capturepallet10,day,1463,8.598000526428223,503.100061416626,38.0000114440918
capturepallet11,day,6440,3.4690001010894775,142.50001907348633,41.900014877319336
capturepallet11,day,3160,5.653000354766846,689.4001007080078,259.69996452331543
capturepallet10,day,1170,8.848000526428223,542.7000522613525,84.20000076293945
capturepallet11,day,79040,0.3580000102519989,40.40000140666962,-1.6999989748001099
capturepallet11,day,2160,5.355000019073486,636.8000030517578,237.3000144958496
capturepallet11,day,3570,5.004000186920166,597.0000743865967,272.39999771118164
capturepallet11,day,62408,0.8510000109672546,44.49999928474426,363.8000249862671
capturepallet11,day,880,10.347000122070312,692.9000377655029,-17.199993133544922
capturepallet11,day,5925,3.7920002937316895,506.9000244140625,90.39998054504395
capturepallet11,day,1755,7.728000164031982,551.1000633239746,196.20003700256348
capturepallet01,day,1200,16.95800018310547,1753.5001754760742,-169.59991455078125
capturepallet11,day,3910,5.087000370025635,691.3000106811523,140.70000648498535
capturepallet11,day,576,8.032999992370605,501.1000156402588,-10.499954223632812
capturepallet11,day,9438,2.9210002422332764,314.5000219345093,58.79998207092285
capturepallet11,day,3894,4.769000053405762,515.2999877929688,241.30001068115234
capturepallet11,day,3894,4.807000160217285,518.2000160217285,229.20002937316895
capturepallet11,day,781,10.5260009765625,799.4000911712646,121.39997482299805
capturepallet11,day,693,4.590000152587891,157.3600006103514,0.0
capturepallet11,day,900,4.923000335693359,300.6000518798828,-15.400028228759766
capturepallet10,day,1160,10.175000190734863,431.9000244140625,17.199993133544922
capturepallet11,day,1778,21.803001403808594,574.3999481201172,-211.00006103515625
capturepallet11,day,68265,0.4310000240802765,26.40000283718109,0.20000040531158447
capturepallet10,day,3686,5.927000045776367,503.10001373291016,125.5000114440918
capturepallet11,day,23700,1.0110000371932983,54.90000247955322,-11.699998378753662
capturepallet11,day,2806,5.087000370025635,723.9800453186076,162.1999740600586
capturepallet11,day,11790,2.142000198364258,65.00000953674316,29.999995231628418
capturepallet11,day,924,7.099000453948975,442.10004806518555,82.89999961853027
capturepallet11,day,30415,1.3510000705718994,59.10000801086426,16.79999828338623
capturepallet11,day,750,9.846000671386719,573.9000797271729,-282.9000473022461
capturepallet11,day,13414,2.330000162124634,71.50001525878906,61.89999580383301
capturepallet11,day,92400,0.45600003004074097,41.80000424385071,336.00001335144043
capturepallet11,day,1704,6.937000274658203,413.8000011444092,120.30000686645508
capturepallet11,day,31648,1.2640000581741333,69.40001249313354,13.600003719329834
capturepallet11,day,840,8.363000869750977,533.4000110626221,102.89993286132812
capturepallet11,day,17556,2.076000213623047,66.70000553131104,73.69999885559082
capturepallet11,day,765,4.884000301361084,362.5,3.900003433227539
capturepallet11,day,2562,5.130000114440918,619.640026092531,143.4000015258789
capturepallet11,day,33158,0.7540000081062317,44.800007343292236,-0.4999995231628418
capturepallet10,day,1644,8.25,446.40002250671387,128.90005111694336
capturepallet11,day,968,4.732000350952148,171.30002975463867,0.0
capturepallet11,day,30312,1.378000020980835,67.00000762939453,22.00000286102295
capturepallet10,day,2385,7.017000198364258,472.39999771118164,33.80002975463867
capturepallet11,day,1177,10.9010009765625,716.2000179290771,83.89997482299805
capturepallet11,day,11123,2.1730000972747803,92.10000038146973,-2.3000001907348633
capturepallet11,day,2010,8.032999992370605,682.2999954223633,249.30009841918945
capturepallet11,day,2100,7.827000141143799,655.2000045776367,218.10002326965332
capturepallet10,day,1180,9.112000465393066,511.10005378723145,57.80000686645508
capturepallet11,day,15088,2.261000156402588,93.34999322891235,80.6999921798706
capturepallet10,day,2640,8.032999992370605,1034.4000816345215,-58.79998207092285
capturepallet11,day,4264,3.5290002822875977,423.20001125335693,38.39998245239258
capturepallet11,day,74934,0.3580000102519989,40.50000309944153,-1.6999989748001099
capturepallet11,day,1425,7.3550004959106445,569.6000576019287,136.60001754760742
capturepallet11,day,2040,7.631000518798828,575.5000591278076,237.6999855041504
capturepallet11,day,45298,0.6330000162124634,42.1999990940094,-1.8000006675720215
capturepallet11,day,5350,3.9130001068115234,633.0000162124634,190.10000228881836
capturepallet10,day,2184,6.564000129699707,487.8000259399414,61.80000305175781
capturepallet11,day,2502,5.004000186920166,471.6799926757826,128.99999618530273
capturepallet11,day,1170,7.5370001792907715,557.4000358581543,144.1000461578369
capturepallet10,day,891,10.175000190734863,420.9000587463379,0.0
capturepallet11,day,3520,5.218000411987305,575.6999969482422,271.00000381469727
capturepallet11,day,38675,1.3970000743865967,56.2999963760376,115.70000648498535
capturepallet11,day,4550,4.732000350952148,610.5000019073486,190.39998054504395
capturepallet11,day,1000,6.600000381469727,359.69996452331543,122.69997596740723
capturepallet11,day,31208,1.2740000486373901,63.999998569488525,5.59999942779541
capturepallet10,day,1100,8.721000671386719,315.79999923706055,39.099979400634766
capturepallet11,day,3675,4.769000053405762,390.10000228881836,172.50003814697266
capturepallet10,day,3781,5.309000015258789,528.5999774932861,179.00004386901855
capturepallet11,day,576,9.392000198364258,563.3999824523926,-91.30001068115234
capturepallet11,day,520,10.9010009765625,584.529972076416,106.89992904663086
capturepallet11,day,30218,1.5860000848770142,57.59999752044678,11.500000953674316
capturepallet11,day,400,4.884000301361084,47.80001640319824,7.899999618530273
capturepallet11,day,39731,1.3910000324249268,52.19999551773071,142.20001697540283
capturepallet11,day,2754,5.451000213623047,583.0000877380371,218.00003051757812
capturepallet11,day,15456,2.244000196456909,90.89999198913574,6.799983978271484
capturepallet11,day,2945,5.550000190734863,624.1000652313232,208.10003280639648
capturepallet11,day,2070,8.140000343322754,676.0000228881836,238.6000633239746
capturepallet11,day,12878,2.127000093460083,394.3000078201294,25.800013542175293
capturepallet10,day,768,11.305000305175781,402.7000427246094,43.50004196166992
capturepallet10,day,1088,5.087000370025635,722.0000743865967,-24.200010299682617
capturepallet11,day,5450,3.9640002250671387,612.4000549316406,267.1999931335449
capturepallet11,day,23205,1.8280000686645508,72.30000495910645,35.19999980926514
capturepallet11,day,520,8.032999992370605,462.69007682800344,-49.5999813079834
capturepallet11,day,3864,4.963000297546387,670.8000183105469,133.09998512268066
capturepallet11,day,3460,5.087000370025635,525.6000518798828,235.79998016357422
capturepallet10,day,3591,6.1050004959106445,525.6000518798828,192.7999496459961
capturepallet11,day,693,9.25,733.8000297546387,75.8000373840332
capturepallet10,day,2592,7.225000381469727,653.600025177002,125.39997100830078
capturepallet11,day,5642,3.8400001525878906,463.79997730255127,156.2000274658203
capturepallet01,day,639,24.41900062561035,1647.39990234375,-697.6999282836914
capturepallet11,day,37376,1.4260001182556152,61.60000562667847,48.799991607666016
capturepallet11,day,540,11.100000381469727,743.5000896453857,135.90002059936523
capturepallet11,day,35632,0.6780000329017639,43.00000071525574,-1.3000011444091797
capturepallet11,day,1800,5.653000354766846,716.3000106811523,144.6000099182129
capturepallet11,day,594,10.008000373840332,602.9000759124756,-344.4000244140625
capturepallet11,day,39336,1.3910000324249268,53.600013256073,309.80002880096436
capturepallet10,day,120,7.5370001792907715,202.75006294250505,-59.999990463256836
capturepallet11,day,16330,2.2690000534057617,89.50002193450928,-0.7999897003173828
capturepallet11,day,31734,1.2880001068115234,75.90000629425049,7.499992847442627
capturepallet11,day,10492,2.111999988555908,73.09999465942383,7.6000213623046875
capturepallet11,day,900,8.848000526428223,777.1000385284424,115.99998474121094
