arm,step,total,legacy,corner_px,centroid_px,proto_accuracy,structural_gt_beats_other,gt_beats_student_wrong,gt_beats_teacher_wrong
C2,0,0.008253701606684073,0.006631789023906633,6.260891723632813,9.413312530517578,0.1875,0.6927710771560669,,
C2,100,0.006731609278292162,0.005464077275180025,5.620370101928711,7.1070556640625,0.421875,0.8644578456878662,,
C2,200,0.00683441935697418,0.00526494337836128,5.70152587890625,7.187490844726563,0.234375,0.8313252925872803,,
C2,300,0.0065386669312379065,0.005137951492588848,5.70152587890625,7.187490844726563,0.375,0.8614457845687866,,
C2,400,0.0063541551145068495,0.004994781434190938,5.620370101928711,7.187490844726563,0.390625,0.8644578456878662,,
C2,500,0.006170739349548215,0.004872160660673374,5.620370101928711,7.187490844726563,0.46875,0.8734939694404602,,
C2,599,0.0035727482686478216,0.0012924410334515886,4.928187561035156,5.094514465332032,0.46875,0.8080357313156128,1.0,1.0
C3,0,0.008253701606684073,0.006631789023906633,6.260891723632813,9.413312530517578,0.1875,0.6927710771560669,,
C3,100,0.006580854849430234,0.00517382038711241,5.451818466186523,9.413312530517578,0.40625,0.9036144614219666,,
C3,200,0.006175220647018415,0.00491114699387179,5.598666381835938,7.187490844726563,0.453125,0.9186747074127197,,
C3,300,0.006024834100702651,0.0047426601933183744,5.598666381835938,7.187490844726563,0.5,0.9126505851745605,,
C3,400,0.005806405245188494,0.0046248458408302264,5.508926773071289,7.187490844726563,0.5625,0.9246987700462341,,
C3,500,0.005644205415694304,0.004474774858055897,5.620370101928711,7.187490844726563,0.609375,0.9216867685317993,,
C3,599,0.003642254185627377,0.0012403162221863626,4.928187561035156,5.094514465332032,0.46875,0.8303571343421936,1.0,1.0
