comparison,session,mode,frames,reference_px,candidate_px,delta_px
P-R0,eval_cad,only_session,18,11.65563139278379,9.339189304080156,-2.316442088703633
P-R0,eval_cad,leave_one_session_out,301,6.27866168234932,5.656118823565289,-0.6225428587840307
P-R0,eval_night08,only_session,12,10.412797061031306,9.440757134828374,-0.9720399262029318
P-R0,eval_night08,leave_one_session_out,307,6.4793966608291,5.792033478160711,-0.6873631826683892
P-R0,eval_night09,only_session,16,10.17801921940383,9.22943051246508,-0.9485887069387484
P-R0,eval_night09,leave_one_session_out,303,6.476025856215416,5.7711510937506745,-0.7048747624647413
P-R0,eval_noapril,only_session,12,3.3911296689850046,3.5467393306649053,0.15560966167990076
P-R0,eval_noapril,leave_one_session_out,307,6.908679107471247,6.124604813154744,-0.7840742943165031
P-R0,eval_outside,only_session,10,5.625047980723448,5.366764485496675,-0.25828349522677296
P-R0,eval_outside,leave_one_session_out,309,6.66995173750864,5.923370870880866,-0.7465808666277738
P-R0,eval_pallet07,only_session,27,12.624175043227307,11.484399392722963,-1.139775650504344
P-R0,eval_pallet07,leave_one_session_out,292,6.122913180389498,5.4767849696629005,-0.6461282107265971
P-R0,eval_pallet09,only_session,33,11.179417809013188,10.00309641210395,-1.1763213969092376
P-R0,eval_pallet09,leave_one_session_out,286,6.279250082125562,5.589817718098445,-0.6894323640271169
P-R0,plastic_day_01,only_session,44,3.8821500421073747,3.5476604499563535,-0.33448959215102114
P-R0,plastic_day_01,leave_one_session_out,275,7.54900734066011,6.666444879742447,-0.8825624609176632
P-R0,plastic_night_01,only_session,22,5.4776837722523215,5.1639249667661735,-0.313758805486148
P-R0,plastic_night_01,leave_one_session_out,297,6.814905947861967,5.9952322971817,-0.8196736506802669
P-R0,wood_183705,only_session,25,10.452341437805364,9.188842290513678,-1.2634991472916859
P-R0,wood_183705,leave_one_session_out,294,6.27866168234932,5.711494763403124,-0.5671669189461959
P-R0,wood_184309,only_session,20,10.89831847754811,9.016448520646286,-1.8818699569018236
P-R0,wood_184309,leave_one_session_out,299,6.39038307177151,5.701654617964446,-0.6887284538070642
P-R0,wood_day_01,only_session,24,4.783403240077058,4.029070463231239,-0.7543327768458186
P-R0,wood_day_01,leave_one_session_out,295,6.837129433599168,6.064976969419767,-0.7721524641794009
P-R0,wood_night_01,only_session,56,4.390213165230577,4.218061499659242,-0.17215166557133532
P-R0,wood_night_01,leave_one_session_out,263,7.667469512997702,6.652015408365464,-1.015454104632238
