comparison,session,mode,frames,reference_px,candidate_px,delta_px
P-D,eval_cad,only_session,18,11.0985691767574,9.339189304080156,-1.7593798726772434
P-D,eval_cad,leave_one_session_out,301,6.099036877613774,5.656118823565289,-0.4429180540484854
P-D,eval_night08,only_session,12,9.209889745819224,9.440757134828374,0.23086738900915016
P-D,eval_night08,leave_one_session_out,307,6.306629120373628,5.792033478160711,-0.5145956422129174
P-D,eval_night09,only_session,16,10.612851378500523,9.22943051246508,-1.3834208660354417
P-D,eval_night09,leave_one_session_out,303,6.2765627873592,5.7711510937506745,-0.5054116936085258
P-D,eval_noapril,only_session,12,3.4979784977884165,3.5467393306649053,0.0487608328764888
P-D,eval_noapril,leave_one_session_out,307,6.644633093477004,6.124604813154744,-0.5200282803222596
P-D,eval_outside,only_session,10,5.867743129524757,5.366764485496675,-0.5009786440280823
P-D,eval_outside,leave_one_session_out,309,6.449242389331734,5.923370870880866,-0.5258715184508675
P-D,eval_pallet07,only_session,27,12.43720284385117,11.484399392722963,-0.9528034511282062
P-D,eval_pallet07,leave_one_session_out,292,5.932026488690108,5.4767849696629005,-0.4552415190272079
P-D,eval_pallet09,only_session,33,10.112690140555268,10.00309641210395,-0.10959372845131732
P-D,eval_pallet09,leave_one_session_out,286,6.1219057364831615,5.589817718098445,-0.5320880183847168
P-D,plastic_day_01,only_session,44,3.6722638725333567,3.5476604499563535,-0.12460342257700319
P-D,plastic_day_01,leave_one_session_out,275,7.2885562211368295,6.666444879742447,-0.6221113413943824
P-D,plastic_night_01,only_session,22,5.388023738638847,5.1639249667661735,-0.2240987718726739
P-D,plastic_night_01,leave_one_session_out,297,6.5660258679445365,5.9952322971817,-0.5707935707628362
P-D,wood_183705,only_session,25,10.098184753311898,9.188842290513678,-0.9093424627982198
P-D,wood_183705,leave_one_session_out,294,6.101107729566093,5.711494763403124,-0.3896129661629688
P-D,wood_184309,only_session,20,10.865532162117193,9.016448520646286,-1.8490836414709069
P-D,wood_184309,leave_one_session_out,299,6.223170505932483,5.701654617964446,-0.5215158879680368
P-D,wood_day_01,only_session,24,4.535949803658177,4.029070463231239,-0.5068793404269378
P-D,wood_day_01,leave_one_session_out,295,6.584098192719741,6.064976969419767,-0.5191212232999733
P-D,wood_night_01,only_session,56,4.304865462561808,4.218061499659242,-0.08680396290256631
P-D,wood_night_01,leave_one_session_out,263,7.414439929202665,6.652015408365464,-0.7624245208372011
