image_id,path,max_raw_logit,max_raw_conf,top1_level,top1_box_area_norm,top1_box_aspect,top5_logits,top5_conf,grad_mass_total,grad_share_top1,grad_share_top5,grad_share_top10,grad_share_top50,n_anchors
f00000_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00000_rgb.png,-7.197203636169434,0.0007481163484044373,P4,0.00599588072665938,1.386440166713556,"[-7.197203636169434, -7.943696022033691, -8.468831062316895, -9.037243843078613, -9.096923828125]","[0.0007481163484044373, 0.0003547664382494986, 0.00020986607705708593, 0.00011888395238202065, 0.00011199729487998411]",0.0052496264688670635,0.14250849138336702,0.29404568879176424,0.3734959289880762,0.521434583638585,8400
f00001_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00001_rgb.png,-5.975834369659424,0.002532950369641185,P5,0.04554048747591878,3.0284536848949015,"[-5.975834369659424, -7.040905952453613, -7.716205596923828, -8.316803932189941, -8.766226768493652]","[0.002532950369641185, 0.0008745676605030894, 0.00044534954940900207, 0.00024431594647467136, 0.00015588644600939006]",0.012661108747124672,0.20005754789969843,0.33591606826217335,0.3793011970345638,0.5561013131381042,8400
f00002_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00002_rgb.png,-6.05116081237793,0.0023495929781347513,P4,0.00782537977508582,2.2364206796149375,"[-6.05116081237793, -6.0584235191345215, -8.042594909667969, -8.081632614135742, -8.176362991333008]","[0.0023495929781347513, 0.0023326301015913486, 0.00032137034577317536, 0.0003090703103225678, 0.00028114381711930037]",0.00959975365549326,0.24475554919997822,0.5827032273192637,0.6718660700487026,0.7876705152296006,8400
f00003_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00003_rgb.png,-8.54686450958252,0.0001941152149811387,P5,0.04220554630337574,0.9548357217248674,"[-8.54686450958252, -8.552539825439453, -8.678608894348145, -8.715023040771484, -8.832448959350586]","[0.0001941152149811387, 0.0001930168946273625, 0.00017015868797898293, 0.00016407495422754437, 0.0001458991609979421]",0.004394245333969593,0.04417486968252236,0.19736379320028358,0.2805568654712464,0.49081758520309815,8400
f00004_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00004_rgb.png,-8.333745956420898,0.00024021259741857648,P4,0.01429263738964437,2.3231505292018504,"[-8.333745956420898, -9.646841049194336, -10.184405326843262, -10.232908248901367, -10.544490814208984]","[0.00024021259741857648, 6.462523015215993e-05, 3.7753095966763794e-05, 3.5965720599051565e-05, 2.6337489543948323e-05]",0.002478683367371559,0.0969113685840811,0.16335049226629234,0.20039923485778138,0.3226289806069287,8400
f00005_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00005_rgb.png,-8.25705623626709,0.0002593542740214616,P5,0.03623459776790696,1.2095067551186829,"[-8.25705623626709, -8.431035995483398, -8.953254699707031, -9.121479034423828, -9.298640251159668]","[0.0002593542740214616, 0.0002179480216000229, 0.00012929887452628464, 0.00010928096162388101, 9.154024883173406e-05]",0.0035921414382755756,0.07220046272620208,0.22477466484920727,0.28795278494542115,0.45417341570235664,8400
f00006_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00006_rgb.png,-8.488176345825195,0.000205846008611843,P5,0.02462840407843032,0.8298389641447496,"[-8.488176345825195, -9.116584777832031, -9.415413856506348, -9.821084976196289, -10.146581649780273]","[0.000205846008611843, 0.00010981706873280928, 8.14521117717959e-05, 5.4291693231789395e-05, 3.920834569726139e-05]",0.0027826877776533365,0.07397380700232012,0.17630984860293888,0.22714577344048928,0.42578951873451093,8400
f00007_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00007_rgb.png,-3.5979185104370117,0.026650937274098396,P4,0.009131414062881048,1.7667444899150355,"[-3.5979185104370117, -5.390099048614502, -6.61922550201416, -7.438048362731934, -7.665250778198242]","[0.026650937274098396, 0.0045408084988594055, 0.0013326857006177306, 0.0005880864337086678, 0.00046861942973919213]",0.0438825823366642,0.6073238140279488,0.7652497219567218,0.8012394435450113,0.8775393919050674,8400
f00008_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00008_rgb.png,-1.0756816864013672,0.2543240785598755,P5,0.015138010019700231,1.4692717694511281,"[-1.0756816864013672, -5.908852577209473, -8.202840805053711, -8.514725685119629, -8.573434829711914]","[0.2543240785598755, 0.002707947976887226, 0.0002737994655035436, 0.00020045391283929348, 0.0001890263956738636]",0.2618342638015747,0.9713170265317504,0.9841924946219425,0.9868277997199996,0.9921760360585952,8400
f00009_rgb,data/pallet/training_data/paper_release/negative/extracted/negative_synth_v1_train/rgb/f00009_rgb.png,-4.064288139343262,0.01688520424067974,P4,0.00871028533447543,1.1300105120717743,"[-4.064288139343262, -4.308187007904053, -5.779564380645752, -5.830196857452393, -6.206571578979492]","[0.01688520424067974, 0.01327921636402607, 0.003080541966482997, 0.0029288949444890022, 0.0020120812114328146]",0.057995568960905075,0.291146453827569,0.6584285640600083,0.7578518257918597,0.8889578905332306,8400
