frame_id,session_id,domain,failure_class,d0_reproj_fixed_gt_px,d1_reproj_fixed_gt_px,d0_corner3d_m,d1_corner3d_m,d0_yaw_err_deg,d1_yaw_err_deg,health_observed_before,health_observed_after,reproj_delta,corner3d_delta
filterval:outside:1778651516783228672,capturepallet02,outside,F5_MIXED,7.146855792458041,7.146855739317922,0.07554854344633216,0.07554854378383823,0.9447135882047064,0.9447141626093583,3.051044141989569,3.051044141989569,-5.3140118971839456e-08,3.375060647625716e-10
filterval:outside:1778651518865604096,capturepallet02,outside,F2_CONFIDENT_WRONG,38.36409578572623,38.36409579105422,0.6296202799822088,0.6296202808310952,8.576822878168286,8.576823456549477,1.3149264154589688,1.3149264154589688,5.327990493242396e-09,8.488864056133139e-10
filterval:outside:1778651528574938624,capturepallet02,outside,F5_MIXED,8.0104154528586,8.010415344801743,0.0808322140542993,0.08083221475235375,1.4630744652030216,1.4630750551065717,2.3082201628023062,2.3082201628023062,-1.080568576838914e-07,6.980544475787553e-10
filterval:outside:1778651530557153024,capturepallet02,outside,F3_GEOMETRY_AMPLIFIED,31.051706931687022,31.051706675391998,1.2234570390034905,1.2234570386212715,9.641363885670756,9.641363309228467,12.973728965033457,12.973728965033457,-2.5629502431456785e-07,-3.822189231783568e-10
filterval:outside:1778651534387246080,capturepallet02,outside,F2_CONFIDENT_WRONG,61.62086933712539,61.62086941685844,1.7586469440327042,1.7586469442783528,6.377392745112559,6.377393340713581,5.690764584976525,5.690764584976525,7.973304860797725e-08,2.456486125623769e-10
filterval:outside:1778651569891693056,capturepallet03,outside,F2_CONFIDENT_WRONG,51.92195718393303,52.068615536401985,1.3323049343119082,0.8528981573786709,5.196985262045331,7.7955555555965645,14.132402369300026,10.036221284997637,0.14665835246895398,-0.4794067769332373
filterval:outside:1778651571906584064,capturepallet03,outside,F2_CONFIDENT_WRONG,72.95992382608145,72.80434479466156,3.178694220240094,3.4651864428424344,15.718438791487017,24.686871988034852,8.180589968408393,3.945584474071088,-0.15557903141989016,0.28649222260234053
filterval:outside:1778651577517179648,capturepallet03,outside,F5_MIXED,30.31495101489169,30.31495047012201,0.39588822030784476,0.3958882157502705,21.224998467218825,21.224997837797105,6.492598461023808,6.492598461023808,-5.447696800331414e-07,-4.55757426243153e-09
filterval:outside:1778651579432408064,capturepallet03,outside,F2_CONFIDENT_WRONG,83.41330412588331,83.74952146878537,2.1655718933184485,3.0813777424397046,14.00743225135463,11.234192068204067,11.528620064043045,6.092557692476312,0.33621734290206007,0.9158058491212562
filterval:outside:1778651583329453568,capturepallet03,outside,F5_MIXED,33.53034566474716,33.53034527991023,0.46247356415233615,0.4624735621186702,13.711270325672388,13.71126968855981,11.965538815476059,11.965538815476059,-3.848369303227628e-07,-2.0336659578568117e-09
