image_id,group,domain,set,final_rank,class_score,iou,level,src_y,src_x,flat,box,kp_median,kp_p90,kp8_median
G__f0008,S+,SYNTH,,0,0.9194597005844116,0.939846805440182,P5,6,12,5332,"[680.7374267578125, 336.4367370605469, 778.3291015625, 448.9320373535156]",2.156483289856898,3.698966966279353,2.299779289772792
G__f0032,S+,SYNTH,,0,0.9035114049911499,0.9125896252348392,P5,13,5,7065,"[185.21510314941406, 520.6396484375, 272.254638671875, 604.3289794921875]",4.922083866106478,9.884516010432035,5.183540718256095
G__f0039,S+,SYNTH,,0,0.9790987968444824,0.9770893196485485,P5,8,9,6969,"[339.6053771972656, 261.3042907714844, 496.08184814453125, 427.4206237792969]",0.8225321465232669,2.372014437276381,1.3234929422320287
G__f0062,S+,SYNTH,,0,0.9692210555076599,0.9667265589361967,P4,17,25,6145,"[489.6663513183594, 334.38946533203125, 575.1734008789062, 385.6629638671875]",0.8329050260546971,1.395335729656217,0.9473619740160103
G__f0127,S+,SYNTH,,0,0.946999728679657,0.9224535103123,P4,14,24,5384,"[531.7064208984375, 305.11712646484375, 590.9434204101562, 357.98333740234375]",1.5916829638964929,2.4246384760786692,1.830040386399184
G__f0131,S+,SYNTH,,0,0.9446468949317932,0.9663792799452336,P5,7,9,6149,"[420.29669189453125, 285.31219482421875, 501.42041015625, 393.6264343261719]",1.9659059248235122,5.847515413305186,1.9390136078965217
G__f0140,S+,SYNTH,,0,0.9288479685783386,0.9248079580575916,P4,14,20,5380,"[421.6246032714844, 315.1935119628906, 497.15521240234375, 362.806884765625]",2.4459839463070336,4.831302183847907,2.108297690768277
G__f0141,S+,SYNTH,,0,0.9424455761909485,0.9521360786932154,P5,7,11,5351,"[625.874267578125, 361.1457214355469, 798.327880859375, 472.2821350097656]",1.7158764940749343,3.7073770390738927,1.7520604829663493
G__f0156,S+,SYNTH,,0,0.8649826049804688,0.7732361021365695,P4,20,12,4972,"[279.44775390625, 555.4769287109375, 402.8702697753906, 635.24951171875]",6.84433248763709,18.604348453633648,7.51585458099013
G__f0175,S+,SYNTH,,0,0.9728056192398071,0.9682479901589135,P5,9,9,6189,"[342.62652587890625, 394.1200866699219, 599.7665405273438, 562.317138671875]",2.845632263075272,5.7352627184699925,2.957585864872195
G__f0190,S+,SYNTH,,0,0.9586565494537354,0.9836921892531231,P5,7,9,6949,"[381.2916564941406, 250.5883026123047, 463.7315979003906, 353.4634094238281]",0.9916809419212831,1.5920452269532173,1.0525038120098604
G__f0195,S+,SYNTH,,0,0.9647343158721924,0.9257032140684924,P4,13,23,4703,"[625.1143798828125, 356.46112060546875, 739.1444702148438, 439.10333251953125]",1.6548421683462897,4.303632104145953,1.9856903764245661
G__f0231,S+,SYNTH,,0,0.9405921697616577,0.9814951788235776,P4,12,20,4660,"[524.1817016601562, 321.077392578125, 632.8530883789062, 422.1652526855469]",1.1430426744542923,1.9077693673685332,1.2823726684708594
G__f0240,S+,SYNTH,,0,0.9525291323661804,0.9448756205561892,P5,13,15,7075,"[585.9349365234375, 522.8369750976562, 734.027099609375, 588.3185424804688]",4.4825928253134135,7.080408379169398,4.688619252155664
G__f0260,S+,SYNTH,,0,0.9466789364814758,0.9369036908186896,P5,14,14,8294,"[491.74639892578125, 528.645751953125, 664.6260986328125, 620.0233154296875]",2.9716074390868257,4.1725978163761,3.0099495436347308
G__f0284,S+,SYNTH,,0,0.9317000508308411,0.9651727500640609,P5,5,13,6913,"[414.1349792480469, 194.4003448486328, 802.6198120117188, 298.6288146972656]",4.506790834274842,6.1477384080498,4.412858730796919
G__f0288,S+,SYNTH,,0,0.9693924188613892,0.9840202969569543,P5,9,10,6990,"[201.1559600830078, 177.24574279785156, 706.3595581054688, 615.4547119140625]",4.696206976319541,7.996782427033308,4.707873216765387
G__f0305,S+,SYNTH,,0,0.9616233706474304,0.9783121416797427,P5,6,14,6934,"[450.0453186035156, 192.6182403564453, 740.34375, 404.2840576171875]",2.10475565839223,4.461584776335746,2.6859009969214247
