epoch,beta,d_id,d_180,sym_min,asc_pos,n_sym,n_total
0,1.0,None,None,None,0.8654384613037109,0,1
1,1.0,None,None,None,1.0332056283950806,0,1
2,1.0,None,None,None,0.8094862103462219,0,1
3,1.0,None,None,None,0.6502560973167419,0,1
4,1.0,None,None,None,0.5947486758232117,0,1
5,1.0,None,None,None,0.643512487411499,0,1
6,1.0,None,None,None,0.5409955382347107,0,1
7,1.0,None,None,None,0.4115920662879944,0,1
8,1.0,None,None,None,0.499112606048584,0,1
9,1.0,None,None,None,0.6276732683181763,0,1
10,1.0,None,None,None,0.3432735800743103,0,1
11,1.0,None,None,None,0.35629698634147644,0,1
12,1.0,None,None,None,0.3734533190727234,0,1
13,1.0,None,None,None,0.33409935235977173,0,1
14,1.0,None,None,None,0.26614850759506226,0,1
15,1.0,None,None,None,0.2908574640750885,0,1
16,1.0,None,None,None,0.31494951248168945,0,1
17,1.0,None,None,None,0.43544521927833557,0,1
18,1.0,None,None,None,0.11574219167232513,0,1
19,1.0,None,None,None,0.3504101634025574,0,1
20,1.0,None,None,None,0.313265860080719,0,1
21,1.0,None,None,None,0.2893097698688507,0,1
22,1.0,None,None,None,0.20895954966545105,0,1
23,1.0,None,None,None,0.44173765182495117,0,1
24,1.0,None,None,None,0.3874083161354065,0,1
25,1.0,None,None,None,0.5220925807952881,0,1
26,1.0,None,None,None,0.23703156411647797,0,1
27,1.0,None,None,None,0.24701163172721863,0,1
28,1.0,None,None,None,0.20028991997241974,0,1
29,1.0,None,None,None,0.22852346301078796,0,1
30,1.0,None,None,None,0.3111216127872467,0,1
31,1.0,None,None,None,0.2618502080440521,0,1
32,1.0,None,None,None,0.23503360152244568,0,1
33,1.0,None,None,None,0.4004579484462738,0,1
34,1.0,None,None,None,0.1949353814125061,0,1
35,1.0,None,None,None,0.10593205690383911,0,1
36,1.0,None,None,None,0.22235535085201263,0,1
37,1.0,None,None,None,0.13950522243976593,0,1
38,1.0,None,None,None,0.1223849281668663,0,1
39,1.0,None,None,None,0.2976183593273163,0,1
40,1.0,None,None,None,0.1571679711341858,0,1
41,1.0,None,None,None,0.18431240320205688,0,1
42,1.0,None,None,None,0.0746314600110054,0,1
43,1.0,None,None,None,0.1758977323770523,0,1
44,1.0,None,None,None,0.08921995013952255,0,1
45,1.0,None,None,None,0.12440455704927444,0,1
46,1.0,None,None,None,0.08219161629676819,0,1
47,1.0,None,None,None,0.16840560734272003,0,1
48,1.0,None,None,None,0.12898041307926178,0,1
49,1.0,None,None,None,0.2641148567199707,0,1
50,1.0,None,None,None,0.08095894008874893,0,1
51,1.0,None,None,None,0.06136593222618103,0,1
52,1.0,None,None,None,0.045209839940071106,0,1
53,1.0,None,None,None,0.06679008901119232,0,1
54,1.0,None,None,None,0.0671202540397644,0,1
55,1.0,None,None,None,0.11036672443151474,0,1
56,1.0,None,None,None,0.029700983315706253,0,1
57,1.0,None,None,None,0.05490155518054962,0,1
58,1.0,None,None,None,0.16955643892288208,0,1
59,1.0,None,None,None,0.12565425038337708,0,1
