image_path,image_sha256,paper_condition,capture_session,box_conf,kp_conf_median8,valid_corners,s_reproj,s_remove,s_flip
data/pallet/raw_data/outside/capturepallet10/rgb/1778654254933504768.png,fc6cdd77c1359ab77a21135fef3570a7d04bc568801a279b0074a682daa9ea5b,day,capturepallet10,0.8417202234268188,0.9897017478942871,8,0.0015242780821248295,0.00259648491297539,0.029097674148702096
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255000428800.png,2796ddae04e4ed21724eead3b1ac5c70dcff4c3c36e9dd959310665257b77f51,day,capturepallet10,0.8283020257949829,0.9865822196006775,8,0.0010978949709536247,0.0018293289412809077,0.016951029714528228
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255068223232.png,1cd1406c73bfdb220f29859379ba586de699ce9894162c1cb94f038ec7ac3894,day,capturepallet10,0.8399059772491455,0.9885966777801514,8,0.002821377392518233,0.004465666366620484,0.019679995497609883
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255202496000.png,6bb63f0a4d3253fdf0add45d0e17289c19a33e42fdf71ea6cd9ef9acf7ecb319,day,capturepallet10,0.6430049538612366,0.9908528923988342,8,0.004585205859048975,0.007262759463056505,0.02039246018765057
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255303083264.png,cf3f0f30340db2c182cf818b747fdb802d798b23f75401820362729dcaf9cc34,day,capturepallet10,0.7953481078147888,0.9939236044883728,8,0.005029652092055578,0.008174526589067881,0.01614602906182505
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255403535872.png,822ae3cc6e8642fe10915f92184552783a908ef2177b0f5f40fdf0ec2fb5568d,day,capturepallet10,0.9105423092842102,0.9951911866664886,8,0.003963279770253599,0.006207587669353168,0.00749938256414218
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255437357824.png,0ca53b3ab13f3678f3b2831e640d53f4e94500452dc64cbf7dd343e9e8d77fac,day,capturepallet10,0.8835710883140564,0.9929624497890472,8,0.0016785457610814477,0.0026048921066563675,0.005708639673086244
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255504357632.png,e4163572fdec96847e38b7a4ad839e69044331bd3683e73065aef1a26a2fe44f,day,capturepallet10,0.8886759877204895,0.9952332377433777,8,0.004664904823259579,0.00761360902559004,0.012099898224479017
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255571857920.png,7f9e14462cebab90c082a108b8f1644af7810d9ceef47dd73fa37604347f3428,day,capturepallet10,0.8844171166419983,0.9955051243305206,8,0.0029539485939682614,0.0047301465148642495,0.019218067150824657
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255672617216.png,d73861840072889fb3e9d936df5acfcbfa1938664e421272f540af173c77247b,day,capturepallet10,0.7889515161514282,0.995712161064148,8,0.0045468810133015404,0.007522100636440636,0.01628776198729284
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255739666944.png,763a8b7c6ab1135fce67d29f923b448b75d60df9e43e590dfcdc9b965c2df112,day,capturepallet10,0.8907702565193176,0.9959875643253326,8,0.000935287796611242,0.0016247113644601865,0.03580903041962634
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255806924544.png,c0c1e5cbdcd9822a54a657e2272c1c51b32a311f03d3cadf3251fc80d0b3f9e5,day,capturepallet10,0.9157055020332336,0.9957888424396515,8,0.0015965515704188425,0.0025381844444590427,0.012568349549503083
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255874173952.png,c1b5823c86fef38994124cf044b54fedef2bae848f3e022e93beeed9107bc079,day,capturepallet10,0.8721565008163452,0.9968012273311615,8,0.0035965949239104384,0.005927031604023253,0.03771199454253574
data/pallet/raw_data/outside/capturepallet10/rgb/1778654255974815232.png,5de0c4ab65e84871926ff19893b11b8d51da2c3c4f81d0fe2d8d040987571c13,day,capturepallet10,0.9016878604888916,0.9965521097183228,8,0.00277686201858746,0.004338355285950871,0.030199768537568582
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256042052608.png,cadb89fe4d305784c231dc7b886b4ae2e6f8d171bed06740dfd0c496851dbb9b,day,capturepallet10,0.8793189525604248,0.9964281916618347,8,0.001242329635421092,0.002092966171180391,0.02805873819626021
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256109577472.png,f6a07abcfa6c8786bcc9734454286af8859ee5ab8ebac30a9c87c01f8daa3560,day,capturepallet10,0.8298249244689941,0.9963104724884033,8,0.0028483681010891392,0.004776765802322095,0.035187499554802965
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256176483840.png,933740833b2bbcc30b249d403d57149181f5c35f4530db648885e91dffc5dd75,day,capturepallet10,0.7529802322387695,0.9962946772575378,8,0.0036996473939765492,0.005903612961299461,0.029274848062376357
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256243497216.png,df0d345b639e2bcde9d3c4537655f7c1ca9453be62a4889f939e9254c41cc634,day,capturepallet10,0.8331610560417175,0.9963842630386353,8,0.0022267351537468855,0.0035499919681399846,0.03350832006587441
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256310691840.png,c23b8588ec6cddc86ce44f8ca0767b2d530c0143e3c3d1ecbcf5430caa7febdf,day,capturepallet10,0.8564229607582092,0.9965074062347412,8,0.0015361357561071909,0.002703728495242423,0.02311195024480086
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256378026496.png,8bb616fcf8882264e9d250379a356a0cdff3c1c019588f4a2040532df951efd8,day,capturepallet10,0.8464272618293762,0.9960799813270569,8,0.002861442534804563,0.004648646618434195,0.015989588260855496
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256445260800.png,b8c6cf54f001558a0beff634d6afcccbe3544ded94f3a19609ee945a451cde88,day,capturepallet10,0.8156766295433044,0.9958747029304504,8,0.006881742199992745,0.011289576168265508,0.017246565651033576
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256512208384.png,8b0ecda6d8be0a506fec8e6ef80b7efe3f2a607d424ae667ff969e5ee5dfac5f,day,capturepallet10,0.8401785492897034,0.9957012832164764,8,0.00573229185450477,0.009333865284378724,0.014549025753009408
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256579462912.png,1abb17d12555fba84d40e09be7cf3c3f85aa2355bd748111f0f9fa8335d7221c,day,capturepallet10,0.8801310062408447,0.9957734048366547,8,0.005263396399688915,0.008539287202535861,0.013549725295578798
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256646760704.png,b3af392ef5cd2f4a16d41a0a319cf9768c3b7ea977255d1205cff3fbb49a7389,day,capturepallet10,0.8804597854614258,0.9959089159965515,8,0.0071143612716256755,0.011510914101379176,0.013959440875096329
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256713803776.png,f3cf99e7da16a3bdc58e945a66de2c72ffada17fc604842b555fd8c7ab2b8651,day,capturepallet10,0.8914729356765747,0.9957441687583923,8,0.006425613578189295,0.010445709642364628,0.017938214802254215
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256781122816.png,eb7ad1b2ab1447de1cd1de5008a63281f2658525c0fd756a687169797e3cedfa,day,capturepallet10,0.8821253180503845,0.9958266019821167,8,0.0059275889340379695,0.009557592812837027,0.014439332977060057
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256848443648.png,686aabba07fb999e5722f7829c6c3293bc819389bf104dd95047cfe0e3f34e2b,day,capturepallet10,0.8676193356513977,0.9959776103496552,8,0.006648415272747286,0.010765067486356628,0.014801207217971932
data/pallet/raw_data/outside/capturepallet10/rgb/1778654256915731968.png,cdc79114ae7fdc78706e821b8134aef7175bf8d63bc2d754f83fb6c2bfd441bf,day,capturepallet10,0.8804339170455933,0.9962326884269714,8,0.007671197897912762,0.012465803764371999,0.018516137662790515
