epoch,criterion,identity,rot90,rot180,rot270
111,one2many,0,0,0,0
111,one2one,0,0,0,0
112,one2many,0,0,0,0
112,one2one,0,0,0,0
113,one2many,0,0,0,0
113,one2one,0,0,0,0
114,one2many,0,0,0,0
114,one2one,0,0,0,0
115,one2many,0,0,0,0
115,one2one,0,0,0,0
116,one2many,0,0,0,0
116,one2one,0,0,0,0
117,one2many,0,0,0,0
117,one2one,0,0,0,0
118,one2many,0,0,0,0
118,one2one,0,0,0,0
119,one2many,0,0,0,0
119,one2one,0,0,0,0
