arm,median_px,near_median_px,far_median_px,f2_far_median_px,f2_far_signed_bias_px,tail_gt20,tail_gt50,tail_gt100,pose_success,reproj_median_px,yaw_median_deg
B0,13.244332822618203,6.884772017265821,22.0766804554178,44.59261722264212,20.58383941627344,203,120,54,70,23.161628981707747,6.025215545151966
B1,22.582239873436563,20.167966309337125,22.88790224429163,39.09232362194706,5.512743977339832,282,115,45,70,27.276784565464247,6.707649408843693
B2,42.98332451587777,38.585027161520266,46.57778396506413,48.54227499764917,26.417514370208323,368,231,88,70,43.80258884014478,6.369372926471726
B3,51.569361795720255,51.55700520480891,52.819602733260034,68.91126757401412,20.03058860523148,376,270,155,70,47.880474604923236,9.083771732729957
