epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4255,2.34792,9.39587,0.56702,2.80262,0.02531,15.6806,0.80064,0.51335,0.62453,0.27114,0.04886,0.01504,0.00127,0.00015,2.21642,8.97436,0.34282,1.76296,0.01895,0,0.00332255,0.00332255,0.0700971
2,143.878,1.88375,7.76908,0.36841,1.47096,0.01843,12.2631,0.69434,0.66613,0.68672,0.34015,0.21202,0.09774,0.03728,0.01187,2.04823,8.3509,0.21335,1.37875,0.01701,0,0.00665136,0.00665136,0.0400926
