frame_id,condition,box_conf,s_reproj,s_remove,s_flip,q_box_conf,q_s_reproj,q_s_remove,q_s_flip,R_kp_frame,R_frame_geom,R_total,v3_exposures,v5_exposures
1778654255437357824.png,daytime,0.883571,0.001679,0.002605,0.005709,0.174797,0.979675,0.979675,0.890244,0.496996,0.621658,0.555843,3,3
1778654256579462912.png,daytime,0.880131,0.005263,0.008539,0.013550,0.158537,0.906504,0.898374,0.369919,0.513228,0.467483,0.489822,3,3
1778654261787079680.png,daytime,0.894416,0.004799,0.007677,0.003806,0.247967,0.914634,0.914634,0.963415,0.659309,0.668614,0.663945,2,4
1778654261888550912.png,daytime,0.905213,0.006156,0.009808,0.007130,0.369919,0.857724,0.841463,0.752033,0.610345,0.669393,0.639188,2,4
1778654262056157696.png,daytime,0.906695,0.006943,0.010806,0.011347,0.386179,0.808943,0.792683,0.508130,0.488081,0.595587,0.539161,2,3
1778654262290844416.png,daytime,0.929359,0.003686,0.005894,0.016102,0.703252,0.939024,0.939024,0.280488,0.539442,0.645795,0.590228,3,3
1778654262358025984.png,daytime,0.911673,0.003165,0.004792,0.008019,0.434959,0.947154,0.955285,0.686992,0.644657,0.721088,0.681803,3,4
1778654262526063360.png,daytime,0.913310,0.001548,0.001999,0.021998,0.451220,0.987805,0.995935,0.085366,0.312562,0.441208,0.371356,2,2
1778654263198031616.png,daytime,0.902077,0.005849,0.009318,0.018457,0.353659,0.873984,0.865854,0.191057,0.184863,0.475525,0.296492,3,2
1778654263802729216.png,daytime,0.939478,0.009718,0.015775,0.008391,0.882114,0.581301,0.548780,0.670732,0.329055,0.659126,0.465713,3,3
1778654263836366592.png,daytime,0.887962,0.010923,0.017760,0.013063,0.191057,0.459350,0.410569,0.386179,0.299211,0.343455,0.320571,3,2
1778654263937200640.png,daytime,0.928236,0.012228,0.019979,0.007837,0.686992,0.394309,0.329268,0.703252,0.342613,0.500452,0.414079,3,3
1778654264676283648.png,daytime,0.938477,0.010812,0.017341,0.012862,0.857724,0.475610,0.451220,0.402439,0.305582,0.521701,0.399277,2,3
1778654265348451328.png,daytime,0.911032,0.001326,0.002067,0.007460,0.426829,0.995935,0.987805,0.719512,0.558589,0.741393,0.643532,3,4
1778654265785180416.png,daytime,0.932926,0.003044,0.004819,0.011121,0.743902,0.955285,0.947154,0.524390,0.532741,0.770781,0.640801,3,4
1778654267599252736.png,daytime,0.867192,0.007475,0.012036,0.011449,0.077236,0.784553,0.743902,0.491870,0.467259,0.385880,0.424624,3,3
1778654268842442752.png,daytime,0.889605,0.002563,0.004162,0.005509,0.207317,0.963415,0.963415,0.898374,0.661665,0.644807,0.653181,3,4
1778654270320509952.png,daytime,0.941571,0.003822,0.006138,0.006491,0.955285,0.922764,0.922764,0.841463,0.548717,0.909573,0.706469,3,4
1778654270421716480.png,daytime,0.917186,0.001788,0.002837,0.011342,0.508130,0.971545,0.971545,0.516260,0.595597,0.705411,0.648183,2,4
1778654270925173504.png,daytime,0.940506,0.005320,0.009156,0.006663,0.922764,0.898374,0.873984,0.825203,0.645970,0.879332,0.753672,3,4
1778654271496565248.png,daytime,0.939591,0.006383,0.010712,0.004047,0.890244,0.841463,0.808943,0.947154,0.672328,0.870404,0.764982,3,4
