arm,frame_id,domain,session,object_type,detection_count,confidence,expected_parity,selected_parity,parity_correct,paper_eligible,gt_used_for_parity,gt_used_for_selection,keypoint_source,pnp_solved,pose_valid,restricted_adds_error_m,restricted_adds_normalized,rotation_error_deg,translation_error_m,yaw_error_deg
A0_CURRENT_SELECTOR,1778651518865604096,DAY,eval_outside,plastic_standard_110x130x11,2,0.9103169441223145,short-face-front,long-face-front,False,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.2107033810819767,0.7094709427207476,89.1817365550576,0.28606488312966005,89.17654538660622
A1_GT_PARITY_ORACLE,1778651518865604096,DAY,eval_outside,plastic_standard_110x130x11,2,0.9103169441223145,short-face-front,short-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.14165810876724957,0.08301150681624614,3.5388350780381854,0.13552039667805127,3.488149823784809
A2_BEST_OF_TWO_ORACLE,1778651518865604096,DAY,eval_outside,plastic_standard_110x130x11,2,0.9103169441223145,short-face-front,short-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.14165810876724957,0.08301150681624614,3.5388350780381854,0.13552039667805127,3.488149823784809
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651518865604096,DAY,eval_outside,plastic_standard_110x130x11,2,0.9103169441223145,short-face-front,short-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,2.2420561780422412e-11,1.3138426266282978e-11,0.0,4.0039358128970435e-12,1.3797965399498884e-09
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651518865604096,DAY,eval_outside,plastic_standard_110x130x11,2,0.9103169441223145,short-face-front,long-face-front,False,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.1259219245028858,0.6597890958998928,2.2176241426795547,1.1256455245268242,0.2238952680353835
A0_CURRENT_SELECTOR,1778651519235162880,DAY,eval_outside,plastic_standard_110x130x11,2,0.9117473363876343,long-face-front,long-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.10847480344829227,0.06356612384705712,1.4236292742463306,0.10765506845982602,1.2391010024972358
A1_GT_PARITY_ORACLE,1778651519235162880,DAY,eval_outside,plastic_standard_110x130x11,2,0.9117473363876343,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.10847480344829227,0.06356612384705712,1.4236292742463306,0.10765506845982602,1.2391010024972358
A2_BEST_OF_TWO_ORACLE,1778651519235162880,DAY,eval_outside,plastic_standard_110x130x11,2,0.9117473363876343,long-face-front,long-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.10847480344829227,0.06356612384705712,1.4236292742463306,0.10765506845982602,1.2391010024972358
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651519235162880,DAY,eval_outside,plastic_standard_110x130x11,2,0.9117473363876343,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,0.00017063305698181622,9.999079682756356e-05,0.0037427193098290472,0.00016666919796380975,0.0028876422905569814
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651519235162880,DAY,eval_outside,plastic_standard_110x130x11,2,0.9117473363876343,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.7269058343466284,1.011965052240078,89.76426736450907,1.5066343158559499,89.76420330542075
A0_CURRENT_SELECTOR,1778651530691638016,DAY,eval_outside,plastic_standard_110x130x11,1,0.8989534974098206,long-face-front,long-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.10133041495797773,0.05937951950070029,0.873928115706247,0.10098687900417154,0.7621857945917375
A1_GT_PARITY_ORACLE,1778651530691638016,DAY,eval_outside,plastic_standard_110x130x11,1,0.8989534974098206,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.10133041495797773,0.05937951950070029,0.873928115706247,0.10098687900417154,0.7621857945917375
A2_BEST_OF_TWO_ORACLE,1778651530691638016,DAY,eval_outside,plastic_standard_110x130x11,1,0.8989534974098206,long-face-front,long-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.10133041495797773,0.05937951950070029,0.873928115706247,0.10098687900417154,0.7621857945917375
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651530691638016,DAY,eval_outside,plastic_standard_110x130x11,1,0.8989534974098206,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,3.120967274899528e-10,1.8288836302288687e-10,0.0,1.6458562348561872e-11,2.0721234375585003e-08
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651530691638016,DAY,eval_outside,plastic_standard_110x130x11,1,0.8989534974098206,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.727455339456142,1.0122870616720896,89.1390504941237,1.5081516616048902,89.1362268031084
A0_CURRENT_SELECTOR,1778651569891693056,DAY,eval_outside,plastic_standard_110x130x11,3,0.876155436038971,long-face-front,long-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.08228382148966941,0.04821823521362471,2.1270356502761714,0.07917636331060772,2.019876055488801
A1_GT_PARITY_ORACLE,1778651569891693056,DAY,eval_outside,plastic_standard_110x130x11,3,0.876155436038971,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.08228382148966941,0.04821823521362471,2.1270356502761714,0.07917636331060772,2.019876055488801
A2_BEST_OF_TWO_ORACLE,1778651569891693056,DAY,eval_outside,plastic_standard_110x130x11,3,0.876155436038971,long-face-front,long-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.08228382148966941,0.04821823521362471,2.1270356502761714,0.07917636331060772,2.019876055488801
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651569891693056,DAY,eval_outside,plastic_standard_110x130x11,3,0.876155436038971,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,5.850192664224979e-06,3.428206916277427e-06,0.0002860511234892525,5.0048471004480475e-06,0.00025865618009488883
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651569891693056,DAY,eval_outside,plastic_standard_110x130x11,3,0.876155436038971,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.7213496489714928,1.008709133294427,88.92684805647053,1.4941571996031393,88.91942371125158
A0_CURRENT_SELECTOR,1778651579029250816,DAY,eval_outside,plastic_standard_110x130x11,4,0.8584393858909607,long-face-front,long-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.10593128996014911,0.0620756275451114,2.317040085077203,0.10333518414635265,2.316138816807837
A1_GT_PARITY_ORACLE,1778651579029250816,DAY,eval_outside,plastic_standard_110x130x11,4,0.8584393858909607,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.10593128996014911,0.0620756275451114,2.317040085077203,0.10333518414635265,2.316138816807837
A2_BEST_OF_TWO_ORACLE,1778651579029250816,DAY,eval_outside,plastic_standard_110x130x11,4,0.8584393858909607,long-face-front,long-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.10593128996014911,0.0620756275451114,2.317040085077203,0.10333518414635265,2.316138816807837
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651579029250816,DAY,eval_outside,plastic_standard_110x130x11,4,0.8584393858909607,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,5.555875711645775e-10,3.2557374831628875e-10,0.0,2.942467289872859e-11,3.729051579198772e-08
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651579029250816,DAY,eval_outside,plastic_standard_110x130x11,4,0.8584393858909607,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.7313810101736071,1.0145875006964211,88.63842179676709,1.5065819308784212,88.63197661101877
A0_CURRENT_SELECTOR,1778651618049498624,DAY,eval_outside,plastic_standard_110x130x11,3,0.8235548138618469,long-face-front,long-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.1170920942931282,0.06861584746633118,2.480049995164516,0.11415072770622234,2.377468851570493
A1_GT_PARITY_ORACLE,1778651618049498624,DAY,eval_outside,plastic_standard_110x130x11,3,0.8235548138618469,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.1170920942931282,0.06861584746633118,2.480049995164516,0.11415072770622234,2.377468851570493
A2_BEST_OF_TWO_ORACLE,1778651618049498624,DAY,eval_outside,plastic_standard_110x130x11,3,0.8235548138618469,long-face-front,long-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.1170920942931282,0.06861584746633118,2.480049995164516,0.11415072770622234,2.377468851570493
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651618049498624,DAY,eval_outside,plastic_standard_110x130x11,3,0.8235548138618469,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,1.7008826744629646e-08,9.967155071708837e-09,0.0,1.7001009296494613e-08,3.825701744060788e-08
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651618049498624,DAY,eval_outside,plastic_standard_110x130x11,3,0.8235548138618469,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.73696783117447,1.017861372087407,88.60358692565495,1.510863293677768,88.5830208348867
A0_CURRENT_SELECTOR,1778651650570397184,DAY,eval_outside,plastic_standard_110x130x11,4,0.4933139383792877,long-face-front,short-face-front,False,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.196193005490293,0.7009678774686593,81.19930929817438,0.6127730174079485,81.16090795111619
A1_GT_PARITY_ORACLE,1778651650570397184,DAY,eval_outside,plastic_standard_110x130x11,4,0.4933139383792877,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.2130309601474184,0.12483592470802006,7.512538699523056,0.19832857811305035,7.484924987866193
A2_BEST_OF_TWO_ORACLE,1778651650570397184,DAY,eval_outside,plastic_standard_110x130x11,4,0.4933139383792877,long-face-front,long-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,0.2130309601474184,0.12483592470802006,7.512538699523056,0.19832857811305035,7.484924987866193
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651650570397184,DAY,eval_outside,plastic_standard_110x130x11,4,0.4933139383792877,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,1.1276739138630657e-08,6.608157598726098e-09,0.0,1.06438996641231e-08,3.4508123462614845e-07
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651650570397184,DAY,eval_outside,plastic_standard_110x130x11,4,0.4933139383792877,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.7592948887904671,1.030945005008995,83.03295557902214,1.543799166758483,83.03179669563757
A0_CURRENT_SELECTOR,1778651650839160832,DAY,eval_outside,plastic_standard_110x130x11,7,0.4350602924823761,long-face-front,short-face-front,False,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,4.3914638896544,2.573393346711295,87.9087205020622,4.313075081314179,87.88270820575006
A1_GT_PARITY_ORACLE,1778651650839160832,DAY,eval_outside,plastic_standard_110x130x11,7,0.4350602924823761,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,5.116701231925367,2.998381687338084,7.582238586805136,5.116205684279687,5.50358655690105
A2_BEST_OF_TWO_ORACLE,1778651650839160832,DAY,eval_outside,plastic_standard_110x130x11,7,0.4350602924823761,long-face-front,short-face-front,False,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,4.3914638896544,2.573393346711295,87.9087205020622,4.313075081314179,87.88270820575006
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651650839160832,DAY,eval_outside,plastic_standard_110x130x11,7,0.4350602924823761,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,3.484388158460027e-10,2.04184789620263e-10,0.0,3.391888254487117e-10,7.654111430198018e-09
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651650839160832,DAY,eval_outside,plastic_standard_110x130x11,7,0.4350602924823761,long-face-front,short-face-front,False,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.95431352495657,0.5592267493273432,4.773900417891314,0.9529144957979278,4.567128098413565
A0_CURRENT_SELECTOR,1778651651444080384,DAY,eval_outside,plastic_standard_110x130x11,8,0.4192810654640198,short-face-front,short-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,3.8800757458304878,2.2737204175990255,3.9645013276313996,3.8798137029684354,1.1790141742803601
A1_GT_PARITY_ORACLE,1778651651444080384,DAY,eval_outside,plastic_standard_110x130x11,8,0.4192810654640198,short-face-front,short-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,3.8800757458304878,2.2737204175990255,3.9645013276313996,3.8798137029684354,1.1790141742803601
A2_BEST_OF_TWO_ORACLE,1778651651444080384,DAY,eval_outside,plastic_standard_110x130x11,8,0.4192810654640198,short-face-front,short-face-front,True,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,3.8800757458304878,2.2737204175990255,3.9645013276313996,3.8798137029684354,1.1790141742803601
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778651651444080384,DAY,eval_outside,plastic_standard_110x130x11,8,0.4192810654640198,short-face-front,short-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,5.693738541449464e-11,3.3365249603891944e-11,0.0,1.203860745189853e-11,2.2252471252869757e-09
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778651651444080384,DAY,eval_outside,plastic_standard_110x130x11,8,0.4192810654640198,short-face-front,short-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.30380548082366,0.7640286779225631,86.91473284221208,0.7883183490186125,86.89223451104623
A0_CURRENT_SELECTOR,1778653337772735232,DAY,eval_outside,plastic_standard_110x130x11,6,0.21220523118972778,long-face-front,short-face-front,False,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,2.131722160048463,1.2491870049596294,87.01557024602921,1.9724844104509889,87.01529302697423
A1_GT_PARITY_ORACLE,1778653337772735232,DAY,eval_outside,plastic_standard_110x130x11,6,0.21220523118972778,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,3.068687284795038,1.7982476095119557,2.101190363020501,3.0686209801174744,2.100869103592194
A2_BEST_OF_TWO_ORACLE,1778653337772735232,DAY,eval_outside,plastic_standard_110x130x11,6,0.21220523118972778,long-face-front,short-face-front,False,False,False,True,PREDICTION_CACHE.keypoints_xy,True,True,2.131722160048463,1.2491870049596294,87.01557024602921,1.9724844104509889,87.01529302697423
A3_GT_V2_KEYPOINT_ANNOTATIONS_REPLAY,1778653337772735232,DAY,eval_outside,plastic_standard_110x130x11,6,0.21220523118972778,long-face-front,long-face-front,True,False,True,False,GT-v2 keypoint_annotations.xy,True,True,8.255248839189484e-11,4.837567374347287e-11,0.0,5.660674098334919e-11,3.920618474799222e-09
A4_WRONG_OBJECT_DIMENSION_CONTROL,1778653337772735232,DAY,eval_outside,plastic_standard_110x130x11,6,0.21220523118972778,long-face-front,long-face-front,True,False,False,False,PREDICTION_CACHE.keypoints_xy,True,True,1.2026584739207111,0.7047566353544766,88.3076973875287,0.3006930269735891,88.30750917550026
A0_CURRENT_SELECTOR,1778653345465966336,DAY,eval_outside,plastic_standard_110x130x11,11,0.5228400826454163,long-face-front,long-face-front,True,True,False,False,PREDICTION_CACHE.keypoints_xy,True,True,0.14931943119767316,0.08750103392266478,3.6857401550537485,0.1447023254702865,3.6648349107955656
A1_GT_PARITY_ORACLE,1778653345465966336,DAY,eval_outside,plastic_standard_110x130x11,11,0.5228400826454163,long-face-front,long-face-front,True,False,True,False,PREDICTION_CACHE.keypoints_xy,True,True,0.14931943119767316,0.08750103392266478,3.6857401550537485,0.1447023254702865,3.6648349107955656
