epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0289,0.97299,2.09671,1.43213,1.23144,0.78762,0.36643,0.43826,0.2584,0.76253,0.36174,0.45697,0.23691,1.55424,3.6206,2.92938,1.91299,0.000473093,0.000473093,0.000473093
2,153.598,1.12792,2.02355,1.22053,1.30689,0.53117,0.26228,0.21059,0.09393,0.485,0.20931,0.1286,0.05146,1.9841,4.84646,3.79257,2.2638,0.000947546,0.000947546,0.000947546
3,223.381,1.11469,1.90905,1.11598,1.29215,0.78202,0.32701,0.3522,0.20755,0.74971,0.3067,0.30739,0.14453,1.82921,3.51461,3.39615,2.14389,0.00142011,0.00142011,0.00142011
4,280.714,1.06812,1.85648,1.03669,1.26846,0.87573,0.51278,0.59952,0.40559,0.86427,0.49222,0.5744,0.31607,1.21841,2.31828,1.45419,1.42982,0.00142051,0.00142051,0.00142051
5,320.607,1.03918,1.80952,1.01602,1.2431,0.69556,0.57289,0.6115,0.35831,0.65468,0.54406,0.56509,0.28712,1.49717,2.94327,1.71755,1.78124,0.00141768,0.00141768,0.00141768
6,360.391,0.97738,1.70657,0.9544,1.19063,0.77048,0.63669,0.69978,0.5279,0.76603,0.6313,0.69278,0.46427,1.09137,1.68098,1.30666,1.40557,0.00141485,0.00141485,0.00141485
7,400.037,0.94045,1.61354,0.85964,1.17754,0.68417,0.77495,0.76966,0.54177,0.70142,0.70577,0.738,0.42592,0.99705,1.85855,1.37105,1.3179,0.00141202,0.00141202,0.00141202
8,439.785,0.91627,1.61523,0.84203,1.1605,0.73646,0.74142,0.78118,0.58753,0.73646,0.74142,0.77294,0.52921,1.00531,1.4785,1.09787,1.40463,0.00140919,0.00140919,0.00140919
9,479.375,0.86875,1.52114,0.79264,1.12768,0.82588,0.72882,0.82901,0.67433,0.82848,0.72756,0.82445,0.62899,0.99857,1.41736,0.95486,1.20807,0.00140636,0.00140636,0.00140636
10,518.985,0.83198,1.46798,0.74601,1.10522,0.74773,0.90496,0.84655,0.65888,0.79439,0.7926,0.83329,0.62005,0.9036,1.47837,0.88789,1.2229,0.00140354,0.00140354,0.00140354
11,558.845,0.85361,1.52635,0.75239,1.11171,0.92166,0.77897,0.86492,0.63295,0.92166,0.77897,0.86313,0.57783,0.96476,1.30099,0.90744,1.26094,0.00140071,0.00140071,0.00140071
12,598.78,0.81018,1.41571,0.71144,1.08891,0.89027,0.8632,0.91168,0.66436,0.88532,0.87933,0.91457,0.6421,0.87113,1.16105,0.77205,1.21048,0.00139788,0.00139788,0.00139788
13,638.844,0.77473,1.34921,0.68802,1.07618,0.84967,0.85898,0.90026,0.67217,0.84967,0.85898,0.90026,0.66116,0.82516,1.14943,0.94646,1.1469,0.00139505,0.00139505,0.00139505
14,688.778,0.78776,1.37329,0.67276,1.07725,0.92905,0.75495,0.84641,0.66182,0.81407,0.81614,0.85159,0.64967,0.7775,1.23168,0.87589,1.11875,0.00139222,0.00139222,0.00139222
15,728.115,0.77255,1.35702,0.65714,1.06842,0.95789,0.82791,0.90643,0.70412,0.95789,0.82791,0.90643,0.65396,0.8307,1.21339,0.72377,1.18397,0.00138939,0.00138939,0.00138939
16,776.23,0.77317,1.33471,0.65069,1.07402,0.90582,0.79529,0.87396,0.69609,0.90582,0.79529,0.87396,0.67327,0.83733,1.00671,0.76939,1.19169,0.00138656,0.00138656,0.00138656
17,818.413,0.75665,1.35954,0.64681,1.06634,0.89322,0.84581,0.91258,0.77451,0.89251,0.84729,0.91283,0.73598,0.72881,1.14553,0.71902,1.09967,0.00138373,0.00138373,0.00138373
18,861.365,0.73702,1.30238,0.62233,1.05632,0.94257,0.83195,0.89654,0.77309,0.94257,0.83195,0.89654,0.71914,0.78218,0.92477,0.63055,1.085,0.0013809,0.0013809,0.0013809
19,916.19,0.74833,1.34842,0.61797,1.06057,0.92099,0.90341,0.92082,0.75516,0.92099,0.90341,0.91986,0.73498,0.81762,0.91193,0.71549,1.16593,0.00137807,0.00137807,0.00137807
20,976.064,0.69897,1.25069,0.57912,1.02572,0.75496,0.8948,0.87901,0.72807,0.75496,0.8948,0.87901,0.7053,0.77666,0.92188,0.77033,1.10023,0.00137524,0.00137524,0.00137524
21,1043.82,0.70127,1.25083,0.57567,1.03988,0.90701,0.911,0.94041,0.81205,0.90701,0.911,0.94041,0.76919,0.69494,0.88925,0.5851,1.0677,0.00137241,0.00137241,0.00137241
22,1116.08,0.70574,1.21429,0.57602,1.03792,0.91267,0.89006,0.94449,0.78755,0.91267,0.89006,0.94449,0.77156,0.68195,0.95514,0.70661,1.0733,0.00136958,0.00136958,0.00136958
23,1155.93,0.68038,1.20287,0.55902,1.01305,0.90487,0.85129,0.90822,0.7438,0.90487,0.85129,0.90795,0.69211,0.72813,1.06047,0.66837,1.10101,0.00136675,0.00136675,0.00136675
