fid,set,population,n_candidates,top1_conf,top1_iou,top1_R,top1_t,top1_corner,top1_s5,best_iou_conf,best_iou_rank,detected_at_0.40,detected_at_tau_star,recovered
1778651518865604096,eval_outside,REAL_DEV_OPEN_56,2,0.9056753516197205,0.8977013580510881,2.5495684863111046,0.17496820119800588,7.373324796489472,0,0.9056753516197205,1,1,1,0
1778651519235162880,eval_outside,REAL_DEV_OPEN_56,3,0.8866291046142578,0.9154861417712399,1.3634646569901987,0.220635281737,8.200035425313029,0,0.8866291046142578,1,1,1,0
1778651530691638016,eval_outside,REAL_DEV_OPEN_56,2,0.8704738616943359,0.8661984019742972,1.167918370851895,0.10817274744525664,6.633904158092319,0,0.8704738616943359,1,1,1,0
1778651569891693056,eval_outside,REAL_DEV_OPEN_56,2,0.5799022912979126,0.2114602253269979,4.3399748082804575,6.454554555224011,96.91332394257358,0,,,1,1,0
1778651579029250816,eval_outside,REAL_DEV_OPEN_56,2,0.515810489654541,0.2170438623737159,5.539735843603599,6.706012905810748,99.6901019892119,0,,,1,1,0
1778651618049498624,eval_outside,REAL_DEV_OPEN_56,7,0.44768592715263367,0.41597534225794097,12.614162949279828,4.727925335220528,56.20932464187594,0,0.017413489520549774,3,1,1,0
1778651650570397184,eval_outside,REAL_DEV_OPEN_56,8,0.06578055769205093,0.3367605513816079,13.938311472557785,5.275578955699618,78.19310703554618,0,0.021925952285528183,2,0,1,1
1778651650839160832,eval_outside,REAL_DEV_OPEN_56,6,0.19104497134685516,0.26931429486782393,8.05191644138393,4.930556166400939,91.47054665963483,0,0.0067460439167916775,2,0,1,1
1778651651444080384,eval_outside,REAL_DEV_OPEN_56,4,0.13108618557453156,0.5708573006583021,7.7629190419562795,1.2899252593261505,60.85833402739334,0,0.13108618557453156,1,0,1,1
1778653337772735232,eval_outside,REAL_DEV_OPEN_56,6,0.08439856022596359,0.42485207738227165,2.67092549818569,5.016098121941994,38.88103202328681,0,,,0,1,1
1778653345465966336,eval_outside,REAL_DEV_OPEN_56,3,0.15395168960094452,0.7569154953646475,0.9607312261538828,0.018025275563176898,4.048487901964057,1,0.15395168960094452,1,0,1,1
1778653364045039360,eval_outside,REAL_DEV_OPEN_56,4,0.7484413981437683,0.9444226808685595,4.9083253482613625,0.0464398895253875,10.68425399446949,1,0.7484413981437683,1,1,1,0
1778653367706938112,eval_outside,REAL_DEV_OPEN_56,13,0.47698166966438293,0.9143838196737958,8.35460732172585,0.08083461360420821,14.517650562476499,0,0.47698166966438293,1,1,1,0
1778653378457989888,eval_outside,REAL_DEV_OPEN_56,6,0.8607007265090942,0.8694317268406956,8.180328907489105,0.06803373799421705,14.605353974313555,0,0.8607007265090942,1,1,1,0
1778653455932024064,eval_outside,REAL_DEV_OPEN_56,3,0.7958157658576965,0.9409166186080018,3.408211757864635,0.05383627612968955,6.042865026757706,0,0.7958157658576965,1,1,1,0
1778653498432396288,eval_outside,REAL_DEV_OPEN_56,6,0.909935474395752,0.9090357775445331,3.2804816532702095,0.260814046131473,5.886213201927777,0,0.909935474395752,1,1,1,0
1778653508779767808,eval_outside,REAL_DEV_OPEN_56,13,0.5933147668838501,0.8851897371319712,4.542395877109798,0.29388670444433834,5.467801155533698,0,0.5933147668838501,1,1,1,0
1778653522084302848,eval_outside,REAL_DEV_OPEN_56,7,0.8780291676521301,0.7752724217984744,1.9896889902413568,0.05714515240442232,3.3014325046719266,0,0.8780291676521301,1,1,1,0
1778653526955536896,eval_outside,REAL_DEV_OPEN_56,5,0.3327358663082123,0.9042578467491751,4.329868066333206,0.1246295680802096,6.094515580458843,0,0.3327358663082123,1,0,1,1
1778653539789436160,eval_outside,REAL_DEV_OPEN_56,2,0.9436296224594116,0.8282862839939336,1.9485333322798246,0.02249747532482892,3.8539231691185827,1,0.9436296224594116,1,1,1,0
1778653540259983104,eval_outside,REAL_DEV_OPEN_56,2,0.9477716088294983,0.9194422535465203,1.0780081370355914,0.029586921191789625,4.234481758594544,1,0.9477716088294983,1,1,1,0
1778653545299653120,eval_outside,REAL_DEV_OPEN_56,1,0.9273043870925903,0.9168204399264495,0.9786017941357047,0.05401752772581411,11.386116928959627,0,0.9273043870925903,1,1,1,0
1775201414728017664,eval_noapril,REAL_DEV_OPEN_56,1,0.9613998532295227,0.932673498178508,1.5572590812960323,0.028480097485436957,4.830360563800779,1,0.9613998532295227,1,1,1,0
1775201415399297536,eval_noapril,REAL_DEV_OPEN_56,1,0.8929381966590881,0.9508344041738049,2.2408219931280686,0.029512934283987866,3.8593311077600663,1,0.8929381966590881,1,1,1,0
1775201416944730624,eval_noapril,REAL_DEV_OPEN_56,1,0.9517239332199097,0.9494212104142018,0.44074025230241715,0.024212010750166307,3.7073978239133742,1,0.9517239332199097,1,1,1,0
1775201418120676608,eval_noapril,REAL_DEV_OPEN_56,1,0.9332009553909302,0.9649310533121987,0.9165961517328275,0.034295983030160654,2.1699700511335447,1,0.9332009553909302,1,1,1,0
1775201421043401984,eval_noapril,REAL_DEV_OPEN_56,1,0.9576252698898315,0.9674595759761807,0.5586895996628508,0.014119526858605633,1.9946784040879004,1,0.9576252698898315,1,1,1,0
1775201428535961600,eval_noapril,REAL_DEV_OPEN_56,1,0.9483822584152222,0.9499595807743823,0.9886969081815787,0.030415369054632067,2.329516297588555,1,0.9483822584152222,1,1,1,0
1775201429879521792,eval_noapril,REAL_DEV_OPEN_56,3,0.9493755102157593,0.9616280640246929,0.7138455285232225,0.03867483055605355,2.333014615511403,1,0.9493755102157593,1,1,1,0
1775201430551447040,eval_noapril,REAL_DEV_OPEN_56,1,0.9638331532478333,0.9447446310171596,1.4801581761042015,0.08127524198565761,3.88210650075154,0,0.9638331532478333,1,1,1,0
1775201430786751744,eval_noapril,REAL_DEV_OPEN_56,2,0.9031143188476562,0.9576925246524882,0.8548243774412432,0.030124947659702733,3.216736947242948,1,0.9031143188476562,1,1,1,0
1775201436800711168,eval_noapril,REAL_DEV_OPEN_56,1,0.9703620076179504,0.9725257599732089,1.257166106698909,0.010870340946241631,4.801562185741693,1,0.9703620076179504,1,1,1,0
1775201442546213120,eval_noapril,REAL_DEV_OPEN_56,1,0.9651439785957336,0.9656752723617305,1.5267257584827005,0.011542806051124885,4.626243227368815,1,0.9651439785957336,1,1,1,0
1775201443822140928,eval_noapril,REAL_DEV_OPEN_56,3,0.9355556964874268,0.9914608243691261,1.3312423705825474,0.02473641950758582,5.9917287521779095,1,0.9355556964874268,1,1,1,0
1778653003088339968,eval_cad,REAL_DEV_OPEN_56,4,0.968183159828186,0.9928647576593519,0.9807753800270201,0.007357936794969228,11.316056268952446,1,0.968183159828186,1,1,1,0
1778653006783606016,eval_cad,REAL_DEV_OPEN_56,1,0.9678351879119873,0.9705319003852874,2.8833518148234276,0.03321283930251478,4.883373512288745,1,0.9678351879119873,1,1,1,0
1778653007724386048,eval_cad,REAL_DEV_OPEN_56,1,0.958571195602417,0.9650311270607019,2.2662462652397353,0.015404956299397653,8.569001021489413,1,0.958571195602417,1,1,1,0
1778653017736058368,eval_cad,REAL_DEV_OPEN_56,2,0.9353963136672974,0.9697072746808469,2.779911101713438,0.04340482405069123,20.515994154023396,1,0.9353963136672974,1,1,1,0
1778653018878592768,eval_cad,REAL_DEV_OPEN_56,3,0.9248490333557129,0.9583623815994431,2.518092978869656,0.033316835626349565,19.009422392290197,1,0.9248490333557129,1,1,1,0
1778653020759897344,eval_cad,REAL_DEV_OPEN_56,1,0.9338916540145874,0.7496310030094545,1.6816597668097797,0.07162013180437676,22.052518171737198,0,0.9338916540145874,1,1,1,0
1778653029965134592,eval_cad,REAL_DEV_OPEN_56,1,0.9675031304359436,0.9784171135040438,4.230390511078544,0.048522637410230184,10.618510743776058,1,0.9675031304359436,1,1,1,0
1778653030032337920,eval_cad,REAL_DEV_OPEN_56,2,0.9467796683311462,0.9711151312672078,4.098775484270463,0.04351373616940325,8.519550535302118,1,0.9467796683311462,1,1,1,0
1778653030099587072,eval_cad,REAL_DEV_OPEN_56,6,0.9672695994377136,0.9742730891356309,3.2129208762777894,0.042309142408455486,7.742544339014918,1,0.9672695994377136,1,1,1,0
1778653030166875904,eval_cad,REAL_DEV_OPEN_56,3,0.9693264365196228,0.9818799986716074,3.5980909816139692,0.04053354087764927,10.652790677151103,1,0.9693264365196228,1,1,1,0
1778653030233998336,eval_cad,REAL_DEV_OPEN_56,2,0.9687970280647278,0.9722341840121553,2.6365779058341263,0.03673953972437549,9.390211413627533,1,0.9687970280647278,1,1,1,0
1778653030939714816,eval_cad,REAL_DEV_OPEN_56,1,0.9686207175254822,0.9640439377993568,2.8286251479414295,0.021494157934152675,10.255724933192447,1,0.9686207175254822,1,1,1,0
1778653031275751936,eval_cad,REAL_DEV_OPEN_56,1,0.9677542448043823,0.9357393606740942,1.881426699422601,0.015171824721915743,9.886983288741703,1,0.9677542448043823,1,1,1,0
1778653033056483584,eval_cad,REAL_DEV_OPEN_56,1,0.9453492760658264,0.9262814441364149,1.693862363489309,0.0377037115215661,16.096634105552834,1,0.9453492760658264,1,1,1,0
1778653041187027200,eval_cad,REAL_DEV_OPEN_56,1,0.962000846862793,0.9505142196615738,3.776143668813159,0.04153473371309494,11.274046315487166,1,0.962000846862793,1,1,1,0
1778653055734035712,eval_cad,REAL_DEV_OPEN_56,3,0.9699946641921997,0.9504814231706319,0.8050711625210388,0.01574882240748934,13.504395738469698,1,0.9699946641921997,1,1,1,0
1778653055801377280,eval_cad,REAL_DEV_OPEN_56,1,0.951400637626648,0.9511826352245314,1.8013266344208199,0.020634143614167544,12.621643482545364,1,0.951400637626648,1,1,1,0
1778653055868669952,eval_cad,REAL_DEV_OPEN_56,1,0.940169095993042,0.9491367402432918,2.2860213623750636,0.018907989661231236,13.973533309272076,1,0.940169095993042,1,1,1,0
1778653056137140480,eval_cad,REAL_DEV_OPEN_56,2,0.6253710985183716,0.9815327742645091,1.5809467085407265,0.017285299039428687,11.545362524724208,1,0.6253710985183716,1,1,1,0
1778653072734532096,eval_cad,REAL_DEV_OPEN_56,9,0.5432372093200684,0.4448343358436662,5.090616221078356,0.1999769863586857,26.729022020128372,0,0.035274479538202286,3,1,1,0
1778653072835089920,eval_cad,REAL_DEV_OPEN_56,6,0.7286849617958069,0.42094419831871127,5.5616594225248,0.2224973946123321,17.03718091396643,0,0.049595315009355545,4,1,1,0
1778653072868820224,eval_cad,REAL_DEV_OPEN_56,6,0.6588454842567444,0.4015369373203111,6.7991875775808195,0.26808935227705627,14.864589954023252,0,0.09338401257991791,3,1,1,0
1778652124170068224,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.9415188431739807,0.9406734558654614,0.9880434767379883,0.047779455555491436,9.659552062176108,1,0.9415188431739807,1,1,1,0
1778652125245035520,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.9386320114135742,0.9337234727838597,2.1925289537506156,0.048738626606858154,7.507799733356681,1,0.9386320114135742,1,1,1,0
1778652126319943168,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.94052654504776,0.9282085855177032,0.9202505629230128,0.023224732964332487,4.922065648550477,1,0.94052654504776,1,1,1,0
1778652127361815808,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.7413755655288696,0.9746752246475603,3.533458626422116,0.03714218200471643,6.792693187701045,1,0.7413755655288696,1,1,1,0
1778652128369383168,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.6822883486747742,0.9623235698335432,3.7169186740725078,0.01184032685218604,8.63093849682452,1,0.6822883486747742,1,1,1,0
1778652130452698368,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.9377869963645935,0.9510519717863459,3.270649039520116,0.017434328350670686,11.683009506441953,1,0.9377869963645935,1,1,1,0
1778652132535256576,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.8921974301338196,0.9727777495865048,1.7018367526839866,0.012946539243983545,7.754452542054471,1,0.8921974301338196,1,1,1,0
1778652134517495552,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.9582070112228394,0.9751320415209733,2.0097850745955297,0.02606508886217049,6.574759204861023,1,0.9582070112228394,1,1,1,0
1778652136533958400,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.965765118598938,0.9406986390713439,1.9495720200988693,0.021769057569447258,6.183795209577788,1,0.965765118598938,1,1,1,0
1778652138515809024,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.9605981707572937,0.9453885606419745,97.008052850487,0.08890591276926355,243.96068291240988,0,0.9605981707572937,1,1,1,0
1778652140531310080,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.933994710445404,0.8937151242726489,2.3502908594544847,0.13538263956227953,9.640882160020954,0,0.933994710445404,1,1,1,0
