fid,set,population,label_w,label_d,label_variant,n_surv,E0_R,E0_t,E0_s5,E1_R,E1_t,E1_s5,E1b_R,E1b_t,E1b_s5,E2_R,E2_t,E2_s5,E1b_pick,E2_pick,E1b_correct
1778651518865604096,eval_outside,REAL_DEV_OPEN_56,1.1,1.3,1.1x1.3,1,2.5495684863111046,0.17496820119800588,0,2.5495684863111046,0.17496820119800588,0,0.9805701468024752,0.23247361046564513,0,0.9805701468024752,0.23247361046564513,0,B,B,0
1778651519235162880,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,3,1.3634646569901987,0.220635281737,0,4.354397221421511,0.6056555931552906,0,1.3634646569901987,0.220635281737,0,1.3634646569901987,0.220635281737,0,B,B,1
1778651530691638016,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,2,1.167918370851895,0.10817274744525664,0,5.15774348207362,0.49294076669646675,0,1.167918370851895,0.10817274744525664,0,1.167918370851895,0.10817274744525664,0,B,B,1
1778651569891693056,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,2,4.3399748082804575,6.454554555224011,0,5.038486720646562,5.2189896246603436,0,5.038486720646562,5.2189896246603436,0,4.3399748082804575,6.454554555224011,0,A,B,0
1778651579029250816,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,1,5.539735843603599,6.706012905810748,0,4.270550269521364,5.516340356134243,0,4.270550269521364,5.516340356134243,0,4.270550269521364,5.516340356134243,0,A,A,0
1778651618049498624,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,3,12.614162949279828,4.727925335220528,0,6.704561563557489,3.6094796922288266,0,6.704561563557489,3.6094796922288266,0,6.704561563557489,3.6094796922288266,0,A,A,0
1778651650570397184,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,3,13.938311472557785,5.275578955699618,0,5.689012989252343,4.5102024612087375,0,5.689012989252343,4.5102024612087375,0,5.689012989252343,4.5102024612087375,0,A,A,0
1778651650839160832,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,1,8.05191644138393,4.930556166400939,0,2.0301954774861786,4.170196770808747,0,2.0301954774861786,4.170196770808747,0,2.0301954774861786,4.170196770808747,0,A,A,0
1778651651444080384,eval_outside,REAL_DEV_OPEN_56,1.1,1.3,1.1x1.3,3,7.7629190419562795,1.2899252593261505,0,7.7629190419562795,1.2899252593261505,0,7.7629190419562795,1.2899252593261505,0,5.932916182127445,1.9837020130054088,0,A,B,1
1778653337772735232,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,5,2.67092549818569,5.016098121941994,0,2.9052927320295248,3.6119577344516465,0,2.9052927320295248,3.6119577344516465,0,2.67092549818569,5.016098121941994,0,A,B,0
1778653345465966336,eval_outside,REAL_DEV_OPEN_56,1.3,1.1,1.3x1.1,3,0.9607312261538828,0.018025275563176898,1,2.965575854131155,0.489565684587329,0,2.965575854131155,0.489565684587329,0,0.9607312261538828,0.018025275563176898,1,A,B,0
