epoch,criterion,identity,rot90,rot180,rot270
0,one2many,20521,3594,40,14616
0,one2one,2052,363,7,1458
1,one2many,19689,3924,30,14119
1,one2one,1971,395,7,1405
2,one2many,20896,4229,20,12545
2,one2one,2091,428,2,1250
3,one2many,22280,4399,50,11563
3,one2one,2226,441,4,1160
4,one2many,23682,4489,20,10630
4,one2one,2367,449,4,1064
5,one2many,23379,4829,10,9496
5,one2one,2332,484,4,952
6,one2many,24023,4789,50,9304
6,one2one,2409,479,3,927
7,one2many,24009,4684,40,9404
7,one2one,2401,468,5,942
8,one2many,23104,4760,40,9920
8,one2one,2311,478,4,991
9,one2many,23592,4610,30,9670
9,one2one,2363,464,4,961
10,one2many,22970,4820,0,10128
10,one2one,2298,486,1,1008
11,one2many,23689,4470,20,10130
11,one2one,2371,450,2,1010
12,one2many,23163,4920,40,9808
12,one2one,2312,493,5,984
13,one2many,24007,4640,10,9353
13,one2one,2397,464,1,940
14,one2many,23731,4648,10,9402
14,one2one,2375,465,6,935
15,one2many,23977,4758,10,9473
15,one2one,2403,475,3,943
16,one2many,23984,4630,10,10020
16,one2one,2396,463,1,1005
17,one2many,23315,4738,0,9485
17,one2one,2332,474,5,944
18,one2many,23873,4580,40,9828
18,one2one,2388,461,2,984
19,one2many,23543,4770,20,9740
19,one2one,2356,480,3,971
20,one2many,23784,4507,20,10206
20,one2one,2382,450,1,1021
21,one2many,23905,4470,10,9925
21,one2one,2400,446,1,986
22,one2many,23917,4520,20,9772
22,one2one,2399,452,3,971
23,one2many,23623,4706,10,9890
23,one2one,2363,473,4,985
24,one2many,23395,4880,10,9755
24,one2one,2341,487,2,975
25,one2many,23368,4639,0,9683
25,one2one,2328,466,1,976
26,one2many,24166,4877,0,9545
26,one2one,2409,489,1,962
27,one2many,23074,4469,20,9797
27,one2one,2305,445,3,985
28,one2many,24032,4638,0,9810
28,one2one,2401,465,0,985
29,one2many,23907,4488,0,9709
29,one2one,2388,448,3,974
30,one2many,19279,3880,0,7710
30,one2one,1928,388,0,771
31,one2many,19289,3880,0,7700
31,one2one,1929,388,0,770
32,one2many,19269,3890,0,7710
32,one2one,1927,389,0,771
33,one2many,19268,3900,0,7700
33,one2one,1927,390,0,770
34,one2many,19290,3880,0,7700
34,one2one,1929,388,0,770
35,one2many,19289,3880,0,7700
35,one2one,1929,388,0,770
36,one2many,19257,3900,0,7710
36,one2one,1926,390,0,771
37,one2many,19280,3890,0,7700
37,one2one,1928,389,0,770
38,one2many,19269,3900,0,7700
38,one2one,1927,390,0,770
39,one2many,19269,3900,0,7700
39,one2one,1927,390,0,770
