image_id,split,domain,gt_id,s_pos,s_neg,score_pos,score_neg,delta,g_rank,target_pos,target_neg,g_bce_pos,g_bce_neg,pos_level,neg_level,pos_iou,neg_iou,neg_category,pos_kp_err,neg_kp_err,n_unassigned,n_anchors
G__f16527,train5k,SYNTH,0,2.559636116027832,-6.325107574462891,0.9282182162307259,0.0017875724611021559,8.884743690490723,0.0001384664961611501,0.8642867207527161,0.0,0.0639314954780098,0.0017875724611021559,P5,P4,0.8661167621612549,0.8225158452987671,DUPLICATE,2.833734696755573,4.329343519036767,7139,7140
G__f18717,train5k,SYNTH,0,2.0181922912597656,-7.474526405334473,0.8826939587713061,0.0005670326915466538,9.492718696594238,7.539315326407288e-05,0.8503211140632629,0.0,0.032372844708043136,0.0005670326915466538,P4,P4,0.8512009978294373,0.5873656868934631,DUPLICATE,2.2120350279797103,11.34237185341092,8399,8400
G__f39946,train5k,SYNTH,0,2.694819450378418,-9.313846588134766,0.9367202585774814,9.015891241739007e-05,12.008666038513184,6.091159320830965e-06,0.824804425239563,0.0,0.11191583333791844,9.015891241739007e-05,P5,P5,0.8251611590385437,0.7433045506477356,DUPLICATE,7.318185891315116,12.686021704528947,7139,7140
G__f8936,train5k,SYNTH,0,2.1423349380493164,-8.205205917358398,0.8949503304179882,0.00027315282865292317,10.347540855407715,3.207053293741162e-05,0.9520125985145569,0.0,-0.05706226809656867,0.00027315282865292317,P4,P4,0.9520136713981628,0.0,FAR_DISTRACTOR,1.103187256637504,266.04908185337433,7139,7140
G__f30781,train5k,SYNTH,0,-0.46448755264282227,-1.7525434494018555,0.38592179305418434,0.1477266818199459,1.2880558967590332,0.21618205223892792,0.8657331466674805,0.0,-0.47981135361329613,0.1477266818199459,P5,P4,0.8660209774971008,0.8738458752632141,DUPLICATE,2.577866696904281,2.575313205459558,5459,5460
G__f12865,train5k,SYNTH,0,0.5603466033935547,0.12071704864501953,0.6365327338253132,0.5301426662824096,0.43962955474853516,0.3918292424805375,0.9815205335617065,0.0,-0.3449877997363934,0.5301426662824096,P5,P5,0.9815436005592346,0.9789500832557678,DUPLICATE,0.692774208384992,0.9029421613960624,7139,7140
G__f30194,train5k,SYNTH,0,-0.6972208023071289,-0.6157798767089844,0.33242869949651377,0.35074185999954716,-0.08144092559814453,0.520348985377974,0.9455708265304565,0.0,-0.6131421270339428,0.35074185999954716,P4,P5,0.9455933570861816,0.9379269480705261,DUPLICATE,1.3494789387051618,1.3074518611400021,7139,7140
G__f1185,train5k,SYNTH,0,-0.15734481811523438,0.057150840759277344,0.46074475020653366,0.5142838225608685,-0.21449565887451172,0.5534192604270574,0.9089903831481934,0.0,-0.4482456329416597,0.5142838225608685,P4,P4,0.9100989103317261,0.8986839056015015,DUPLICATE,1.9115638183498427,2.0824997381880923,5459,5460
G__f17645,train5k,SYNTH,0,3.6477203369140625,-9.692121505737305,0.9746109487603056,6.176440859814454e-05,13.339841842651367,1.609087271653186e-06,0.9788101315498352,0.0,-0.004199182789529576,6.176440859814454e-05,P5,P5,0.9788182973861694,0.7144060730934143,DUPLICATE,0.6651591437789349,16.23537926584891,8399,8400
G__f21448,train5k,SYNTH,0,2.642518997192383,-9.112858772277832,0.9335484031510491,0.00011022696438160784,11.755377769470215,7.84695015890023e-06,0.8498314619064331,0.0,0.08371694124461604,0.00011022696438160784,P4,P5,0.8513033986091614,0.0,FAR_DISTRACTOR,1.6707906085979447,309.7343333152141,5459,5460
G__f36387,train5k,SYNTH,0,3.2844972610473633,-7.530401229858398,0.9638931294960689,0.0005362352419575188,10.814898490905762,2.009743046691259e-05,0.9702738523483276,0.0,-0.006380722852258769,0.0005362352419575188,P5,P5,0.9702820181846619,0.0,FAR_DISTRACTOR,3.2523087768001426,486.098208850042,8399,8400
