arm,best_epoch,n_frames,candidate_pair,availability,n_scored,conditional_polarity_acc,end_to_end_success,inversion,inversion_rate,indexed_reproj_px,macro_f1,mask_iou,gate
L0,4,5916,3716,0.6281271129141311,3716,0.9507534983853606,0.5971940500338067,183,0.0492465016146394,1.1627662274001436,0.3004470189412435,0.10338893803954123,PASS
M0,8,5916,3716,0.6281271129141311,3716,0.9496770721205597,0.5965179175118324,187,0.05032292787944026,1.162127477431592,0.32914809584617616,0.7288205383221309,FAIL
M1,20,5916,3716,0.6281271129141311,3716,0.9515608180839612,0.5977011494252874,180,0.04843918191603875,1.1505318014813313,0.40314699411392213,0.7689635291894277,PASS
