set,arm,n_scored,correct,acc,ci_lo,ci_hi,method
untouched,L0,3716,3533,0.9507534983853606,0.9433187338272268,0.957257247687685,"frame-level Wilson.  cluster-level CI not computed: untouched candidate-pair frame ids are not persisted, and real has only 2 sessions (outside/night) -- too few clusters for a meaningful cluster bootstrap.  per-domain counts are reported instead."
untouched,M0,3716,3529,0.9496770721205597,0.9421720454225949,0.956253306882729,"frame-level Wilson.  cluster-level CI not computed: untouched candidate-pair frame ids are not persisted, and real has only 2 sessions (outside/night) -- too few clusters for a meaningful cluster bootstrap.  per-domain counts are reported instead."
untouched,M1,3716,3536,0.9515608180839612,0.9441793469921294,0.9580096064299732,"frame-level Wilson.  cluster-level CI not computed: untouched candidate-pair frame ids are not persisted, and real has only 2 sessions (outside/night) -- too few clusters for a meaningful cluster bootstrap.  per-domain counts are reported instead."
real_N87,L0,86,2,0.023255813953488372,0.0064007920194777915,0.08088171408014644,"frame-level Wilson.  cluster-level CI not computed: untouched candidate-pair frame ids are not persisted, and real has only 2 sessions (outside/night) -- too few clusters for a meaningful cluster bootstrap.  per-domain counts are reported instead."
real_N87,M1,86,1,0.011627906976744186,0.0020555157424055515,0.06296558806696559,"frame-level Wilson.  cluster-level CI not computed: untouched candidate-pair frame ids are not persisted, and real has only 2 sessions (outside/night) -- too few clusters for a meaningful cluster bootstrap.  per-domain counts are reported instead."
real_domain=night,L0,43,1,0.023255813953488372,0.004116981177419916,0.12059267861216881,frame-level Wilson (per-domain)
real_domain=outside,L0,43,1,0.023255813953488372,0.004116981177419916,0.12059267861216881,frame-level Wilson (per-domain)
real_domain=night,M1,43,0,0.0,0.0,0.08201257002322722,frame-level Wilson (per-domain)
real_domain=outside,M1,43,1,0.023255813953488372,0.004116981177419916,0.12059267861216881,frame-level Wilson (per-domain)
