arm,n_frames,candidate_pair,n_scored,conditional_polarity_acc,inversion,indexed_reproj_px,point_fail_correct,point_fail_n,gate
L0,86,86,86,0.023255813953488372,84,60.69435729481083,1,17,FAIL
M1,86,86,86,0.011627906976744186,85,64.65437743455165,0,17,FAIL
