arm,untouched_gate,real_polarity,params_note,decision
L0,PASS,0.023255813953488372,line head only,REJECT (real transfer fails)
M0,FAIL,,"+mask head, outside penalty",DROP
M1,PASS,0.011627906976744186,"+mask head, soft gate",DROP
