epoch,checkpoint,n_val,box_mAP50,box_mAP50_95,pose_mAP50,pose_mAP50_95,native_fixed_corner_error,oracle_perm_corner_error,collapsed_channels,channel_detect_rate,identity_best_fraction,yaw180_best_fraction,yaw90_best_fraction,yaw270_best_fraction
10,epoch10.pt,475,0.9768197420116923,0.7931362468838578,0.8335186872028225,0.7410117467889836,0.024067445680636373,0.02286959876113123,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0}",0.9221,0.0547,0.0105,0.0126
20,epoch20.pt,487,0.9867856972423523,0.8707865562215863,0.9124231537268992,0.8599857544259921,0.015512384343577537,0.015276912148101023,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0}",0.961,0.0287,0.0041,0.0062
30,epoch30.pt,490,0.9897695656296138,0.8899013605443384,0.9275054940331542,0.8813968236063314,0.013874001846791752,0.013724059316722305,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0}",0.9694,0.0245,0.002,0.0041
40,epoch40.pt,491,0.9917604995803213,0.9000001461632892,0.9443814605788683,0.8990647828217544,0.013184313329205721,0.013111767622538496,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 0.998, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0}",0.9715,0.0265,0.0,0.002
50,epoch50.pt,491,0.9924241258856169,0.9089985690061699,0.9577389538761996,0.9152041351883426,0.012264191298950419,0.012211100108785154,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 0.998, '5': 1.0, '6': 1.0, '7': 0.998, '8': 1.0}",0.9735,0.0244,0.0,0.002
60,last.pt,492,0.993583547837335,0.9181983053714842,0.9525642577614202,0.9186206495738507,0.012064167009752953,0.011990105234868636,0,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0, '4': 0.998, '5': 1.0, '6': 1.0, '7': 0.998, '8': 1.0}",0.9736,0.0224,0.002,0.002
