epoch,beta,d_id,d_180,sym_min,asc_pos,n_sym,n_total
0,1.0,None,None,None,0.44900116324424744,0,1
1,1.0,None,None,None,0.6861081719398499,0,1
2,1.0,None,None,None,0.5082775950431824,0,1
3,1.0,None,None,None,0.36702436208724976,0,1
4,1.0,None,None,None,0.37852540612220764,0,1
5,1.0,None,None,None,0.2862909138202667,0,1
6,1.0,None,None,None,0.2763461768627167,0,1
7,1.0,None,None,None,0.2644372880458832,0,1
8,1.0,None,None,None,0.4071194529533386,0,1
9,1.0,None,None,None,0.27381014823913574,0,1
10,1.0,None,None,None,0.20174281299114227,0,1
11,1.0,None,None,None,0.2976037561893463,0,1
12,1.0,None,None,None,0.3263571560382843,0,1
13,1.0,None,None,None,0.248078390955925,0,1
14,1.0,None,None,None,0.35436421632766724,0,1
15,1.0,None,None,None,0.26152244210243225,0,1
16,1.0,None,None,None,0.24549514055252075,0,1
17,1.0,None,None,None,0.2274242490530014,0,1
18,1.0,None,None,None,0.0775342583656311,0,1
19,1.0,None,None,None,0.16665005683898926,0,1
20,1.0,None,None,None,0.3261699080467224,0,1
21,1.0,None,None,None,0.31810271739959717,0,1
22,1.0,None,None,None,0.25337618589401245,0,1
23,1.0,None,None,None,0.12084823101758957,0,1
24,1.0,None,None,None,0.209175705909729,0,1
25,1.0,None,None,None,0.29079216718673706,0,1
26,1.0,None,None,None,0.12080998718738556,0,1
27,1.0,None,None,None,0.19684678316116333,0,1
28,1.0,None,None,None,0.23629213869571686,0,1
29,1.0,None,None,None,0.21691009402275085,0,1
30,1.0,None,None,None,0.22685153782367706,0,1
31,1.0,None,None,None,0.23489542305469513,0,1
32,1.0,None,None,None,0.29248520731925964,0,1
33,1.0,None,None,None,0.245718851685524,0,1
34,1.0,None,None,None,0.16817384958267212,0,1
35,1.0,None,None,None,0.09884524345397949,0,1
36,1.0,None,None,None,0.1985241174697876,0,1
37,1.0,None,None,None,0.09334925562143326,0,1
38,1.0,None,None,None,0.09419575333595276,0,1
39,1.0,None,None,None,0.1337064802646637,0,1
40,1.0,None,None,None,0.10286393016576767,0,1
41,1.0,None,None,None,0.1475909799337387,0,1
42,1.0,None,None,None,0.07051320374011993,0,1
43,1.0,None,None,None,0.21629248559474945,0,1
44,1.0,None,None,None,0.08303068578243256,0,1
45,1.0,None,None,None,0.19493675231933594,0,1
46,1.0,None,None,None,0.0692371279001236,0,1
47,1.0,None,None,None,0.24790582060813904,0,1
48,1.0,None,None,None,0.1223636195063591,0,1
49,1.0,None,None,None,0.19138890504837036,0,1
50,1.0,None,None,None,0.04679786041378975,0,1
51,1.0,None,None,None,0.03543880209326744,0,1
52,1.0,None,None,None,0.0395038016140461,0,1
53,1.0,None,None,None,0.15863218903541565,0,1
54,1.0,None,None,None,0.06927686184644699,0,1
55,1.0,None,None,None,0.09526742249727249,0,1
56,1.0,None,None,None,0.02987900748848915,0,1
57,1.0,None,None,None,0.04383032023906708,0,1
58,1.0,None,None,None,0.04621870815753937,0,1
59,1.0,None,None,None,0.07511518150568008,0,1
