model,frame_id,session_or_scenario,denominator,pck5_numerator,pck10_numerator,pck20_numerator,matched,score,target_iou,errors_px_json
R0,G38__G__f0305,G38:G__f0305,9,8,9,9,1,0.9719770550727844,0.991758455828061,"[0.7460373683132834,5.8922073267935575,0.9486672534944793,2.2660255586705773,0.5751399901858762,1.967089771290042,4.3441262789957324,3.472170434822587,0.3329557539732147]"
R0,G38__G__f0337,G38:G__f0337,9,6,9,9,1,0.9534928798675537,0.92699452833619,"[2.211223058682362,2.390036334142091,5.923783830708346,2.270287895446377,2.09908100687054,6.239301115891886,7.908593908775371,0.6712751234096805,3.213689143993809]"
R0,G38__G__f0348,G38:G__f0348,9,6,7,9,1,0.9397979974746704,0.9436659965596463,"[15.22333099216781,5.839464061651648,4.348531644577089,12.900335226273134,2.5763473173573512,1.8191849716537098,3.560752488403585,1.8908788018966345,2.236987369187562]"
R0,G38__G__f0462,G38:G__f0462,9,7,9,9,1,0.9666146636009216,0.942174961825251,"[0.970214937032878,4.224997284618046,6.987552101778078,0.8517621711773614,0.25335624469540147,4.426576515581449,6.706978943073446,1.7931563640072168,2.345739090964935]"
R0,G38__G__f0569,G38:G__f0569,7,4,7,7,1,0.7830539345741272,0.9251215698849315,"[5.423391438819679,6.8770949926423555,1.9772849824667738,4.492972533151835,9.226081649112267,0.10143852827477466,3.1201034845829634]"
R0,G38__G__f0717,G38:G__f0717,9,5,8,9,1,0.9403759837150574,0.8001662848918425,"[2.867199595474327,2.5537805376271074,1.210049359371568,4.727990883405437,9.889627106118102,11.930358581422926,8.009773997197426,6.297231873271367,4.722785420873878]"
R0,G38__G__f0748,G38:G__f0748,9,3,4,5,1,0.6103842854499817,0.7443193473574617,"[30.502702428824385,3.2347452951103897,3.1772715131297327,28.092212746450592,32.16358423830873,0.9896768429472226,5.271675153282159,30.912082832388617,15.703852501375732]"
R0,G38__G__f0916,G38:G__f0916,9,3,5,5,1,0.584769606590271,0.6941417674365129,"[1.396885667561368,22.71622630045879,22.792756721121147,2.619976605769377,27.125496171485512,8.41284458608378,8.648005989639826,27.126911408932575,3.922205824568916]"
R0,G38__G__f10209,G38:G__f10209,9,9,9,9,1,0.9597532153129578,0.9765121090682604,"[0.4021229997431284,1.428147236391933,1.1052018726803212,1.1842603626685764,1.2130412850533872,1.8935921082004996,0.06978046950986437,1.4719365436284149,0.4452217019219072]"
R0,G38__G__f10285,G38:G__f10285,9,8,9,9,1,0.9693249464035034,0.9808831304321153,"[2.6286775277260217,7.680343528207644,1.568128341470301,1.9351796319049666,1.3212151825001357,1.10295236976807,2.2716035975024536,1.5305707000409858,2.231303452845381]"
R0,G38__G__f10347,G38:G__f10347,9,5,9,9,1,0.9639152884483337,0.9821045563013171,"[3.6993988210941176,7.608961684412292,9.558554477324032,0.7663340339927052,3.9668335718820473,7.33352936061932,7.84958808144015,3.6140649772111115,2.931610175381097]"
R0,G38__G__f10451,G38:G__f10451,9,8,9,9,1,0.9498456120491028,0.9295346534017526,"[4.407385870844406,4.308388290832593,4.793472737466172,5.7109603592825176,1.803719624933453,3.1600500247983865,2.978594045969618,1.5387630095138591,3.224487803855671]"
R0,G38__G__f10456,G38:G__f10456,9,9,9,9,1,0.9766567349433899,0.9893860417252953,"[1.5765360899700873,1.9413548008947101,2.051864970046406,3.019258838686522,2.0541451289574613,3.2765422376480524,3.6212444915006614,1.8825622825342827,2.1011536418662873]"
R0,G38__G__f10501,G38:G__f10501,9,6,9,9,1,0.9189004302024841,0.9062065201606303,"[7.201586147520287,4.625338778826729,3.7019032602601065,8.037330917279155,5.2487668985755604,1.6305622803184454,3.055098619018769,3.6054518251273957,2.20697991339088]"
R0,G38__G__f1055,G38:G__f1055,7,0,3,5,1,0.6887226104736328,0.9310954571195021,"[10.843766640702055,7.764692062047913,9.801371382867295,10.575051447536403,21.334537605365856,22.552672370259057,8.628545569475603]"
R0,G38__G__f10611,G38:G__f10611,9,9,9,9,1,0.9653890132904053,0.9848052848332988,"[2.480090301498328,0.9961428706991627,2.074330842506223,2.290080929568447,0.6671356655992613,0.6562175434541805,0.8955712634459946,0.43667696905993564,0.8670247959887024]"
R0,G38__G__f10686,G38:G__f10686,9,9,9,9,1,0.9351220726966858,0.9669164600482718,"[0.4254553402816378,1.8750887428866223,1.3925017877420263,0.4986124848495568,0.6425460074429916,0.4898942389561803,0.15190802423256747,0.5245501661590146,0.27611444765119675]"
R0,G38__G__f10917,G38:G__f10917,9,9,9,9,1,0.9362116456031799,0.92949665870572,"[2.8105162526184633,0.30568462672369334,0.3365906145993011,2.762438383663429,2.4480194377331785,1.9971317372853734,2.1482685197312352,2.394817202748278,1.7354081851641017]"
R0,G38__G__f11201,G38:G__f11201,9,9,9,9,1,0.9768669009208679,0.9831484354545071,"[2.036972438026432,1.383878125767892,2.096304559329529,0.803155666382593,0.9729262803326665,0.8684441175135367,1.80086929408672,1.027888008070392,1.2430110999858361]"
R0,G38__G__f11296,G38:G__f11296,9,7,9,9,1,0.9454187750816345,0.9564916688959874,"[1.3908127007471154,9.139781503736305,7.101242249128347,1.0424838348438699,1.2086776644796988,4.142368815964995,3.1148959922901014,2.145552118460997,1.8292322415087883]"
R0,G38__G__f11549,G38:G__f11549,9,9,9,9,1,0.8539036512374878,0.9394459993097687,"[0.39412697409698855,0.21313883994152938,0.8730045976342867,0.8069156337116804,2.3109369979885543,2.0530146109292846,3.13316925160349,3.0948495173195565,1.9248201211880376]"
R0,G38__G__f11659,G38:G__f11659,9,4,5,9,1,0.9401258826255798,0.9216941925517917,"[13.844847683660051,1.5861398004952112,0.4610434612378155,12.98245993805706,11.35869916412605,4.251160018586691,4.393190005290112,11.416615818949943,7.812100240617956]"
R0,G38__G__f11769,G38:G__f11769,9,4,5,9,1,0.7717629075050354,0.7646824014882504,"[15.839008428803488,3.6179178070178866,2.803334460200062,15.100955483632298,14.742781796397677,1.492813362418086,2.0145371241556767,14.029948257381898,7.345436148978443]"
R0,G38__G__f11860,G38:G__f11860,9,9,9,9,1,0.9600512385368347,0.9739116510763439,"[1.6879057015141579,1.5221145430315042,2.1941534699643572,0.24098010631943967,2.4297654896099776,1.4279789336503836,2.375910014012185,1.224980738190118,0.7455619619450549]"
R0,G38__G__f11884,G38:G__f11884,9,6,7,9,1,0.9447015523910522,0.9755261703099862,"[3.018638401843662,14.293431822423825,13.25748010575825,2.226491863353848,2.5826857218531063,3.60521442018213,1.2949676023137495,3.6613460936003963,6.181235604115812]"
R0,G38__G__f11928,G38:G__f11928,9,9,9,9,1,0.9698294997215271,0.9848506243189975,"[0.8866898682032557,0.9678194632347124,0.2241512819821731,0.46174249946529416,1.119560753473349,1.2955463646951348,1.5064785858750513,1.2123343839946308,0.45287822021501895]"
R0,G38__G__f12149,G38:G__f12149,9,9,9,9,1,0.9741421341896057,0.9858351028510428,"[1.5507892985081033,2.0474785681125316,1.8676547108756179,1.193392703103347,0.6435109617791316,2.0330130942789406,2.0304076317216464,1.6329864278499313,0.8664949874952038]"
R0,G38__G__f12173,G38:G__f12173,9,2,7,9,1,0.9277862310409546,0.981225913029348,"[7.173612711338416,9.042346784921902,9.720764687319502,4.661889826607861,5.004656144093579,11.97665396426433,11.83923615025968,7.120723348595307,1.7550811319505624]"
R0,G38__G__f12460,G38:G__f12460,9,9,9,9,1,0.9644820690155029,0.9797750072837969,"[1.0435624968950017,0.7500836173373194,1.0987260517691086,0.9694446071330789,1.193269840415879,1.1800785084462493,1.0619662899079352,1.8370807579635542,0.8022847574322534]"
R0,G38__G__f1264,G38:G__f1264,9,9,9,9,1,0.9575507640838623,0.9787757974217707,"[0.813315945236918,2.2213765582016762,1.062954515061665,1.0106778169408017,0.46651217837457837,0.5100759432517247,1.4172871072278268,1.1384054244524764,0.8319755214286568]"
R0,G38__G__f12806,G38:G__f12806,9,7,9,9,1,0.961353600025177,0.983909818545062,"[2.3372011651269893,8.513245551100919,6.888107820262975,4.759616723075962,1.22191510506182,3.537943450095081,3.5225985397543895,1.619058509430555,2.3517058663712107]"
R0,G38__G__f12829,G38:G__f12829,9,9,9,9,1,0.9356065392494202,0.9402306974642939,"[1.8734773789150263,0.979183458567727,2.388768413412046,2.007879429354637,0.13144631450279495,0.7567347017651092,2.9229703142224697,1.792576500673325,0.901598686048676]"
R0,G38__G__f13064,G38:G__f13064,9,5,9,9,1,0.9586771130561829,0.9768528064242473,"[3.6735404487703684,5.278494741732301,5.419813151653256,7.297376219092613,3.4738669660361055,1.6384880064954412,5.786432239394847,2.4215764766157117,3.9505610040926538]"
R0,G38__G__f13210,G38:G__f13210,9,9,9,9,1,0.9748300909996033,0.9909209077216201,"[1.479458895438334,1.2773179576375635,0.36138586536928596,0.23002897252975532,0.6446984339962928,0.7362455921301229,1.3952783926751993,0.49260906831571477,0.11029433901446338]"
R0,G38__G__f1333,G38:G__f1333,9,9,9,9,1,0.966004490852356,0.9955471166607792,"[2.468827727567296,1.9565833850460703,1.1999007937174626,1.466007910529202,0.7628906962515957,1.1153292825648027,1.669057461599513,0.4747217649570714,0.13567173368641702]"
R0,G38__G__f13404,G38:G__f13404,9,7,8,9,1,0.9748363494873047,0.9785666266673331,"[1.1495092925295696,0.7701494311659148,2.24126872550239,1.803901929578481,1.0814892844218267,10.549702511113193,8.708641110558931,1.5737972067231814,2.662659099643436]"
